SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1994,16,MIA,John Salley,29,5,5,40.2,4.4,11.4,0.39,0.0,0.0,,4.4,11.4,0.39,0.39,2.2,3.2,0.69,3.2,4.8,8.0,1.6,0.4,1.0,1.2,4.2,11.0
1994,16,MIA,Glen Rice,26,5,5,39.0,5.2,13.6,0.38,1.4,4.6,0.3,3.8,9.0,0.42,0.43,1.2,1.6,0.75,1.2,6.0,7.2,2.0,2.2,0.4,2.8,2.8,13.0
1994,16,MIA,Steve Smith,24,5,5,38.4,6.6,16.0,0.41,1.8,4.4,0.41,4.8,11.6,0.41,0.47,4.2,5.0,0.84,3.4,2.6,6.0,2.2,0.8,0.4,2.0,2.4,19.2
1994,16,MIA,Rony Seikaly,28,5,3,33.0,2.8,6.4,0.44,0.0,0.0,,2.8,6.4,0.44,0.44,2.6,4.6,0.56,3.8,5.6,9.4,1.6,0.8,1.4,2.2,4.4,8.2
1994,16,MIA,Bimbo Coles,25,5,0,28.0,5.0,9.4,0.53,0.2,0.8,0.25,4.8,8.6,0.56,0.54,3.6,4.6,0.78,0.4,2.4,2.8,3.4,1.4,0.2,2.2,3.0,13.8
1994,16,MIA,Grant Long,27,4,2,27.5,3.5,9.0,0.39,0.0,0.0,,3.5,9.0,0.39,0.39,5.3,6.8,0.78,2.5,2.0,4.5,1.8,0.8,0.5,2.5,4.0,12.3
1994,16,MIA,Brian Shaw,27,5,5,22.4,3.2,8.2,0.39,0.0,2.6,0.0,3.2,5.6,0.57,0.39,1.4,2.4,0.58,0.6,3.4,4.0,1.8,0.8,0.2,2.6,1.6,7.8
1994,16,MIA,Harold Miner,22,4,0,14.3,3.0,6.5,0.46,0.0,0.0,,3.0,6.5,0.46,0.46,2.0,2.8,0.73,0.8,1.3,2.0,0.5,0.3,0.0,0.5,1.0,8.0
1994,16,MIA,Keith Askins,26,1,0,6.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
1994,16,MIA,Willie Burton,25,2,0,5.5,0.5,2.0,0.25,0.0,1.0,0.0,0.5,1.0,0.5,0.25,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,1.0
1994,16,MIA,Matt Geiger,24,2,0,5.5,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.5,1.0,0.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.5,0.5
