Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
1998,26,3,SAC,Sacramento Kings,3,Mahmoud Abdul-Rauf,PG,6-1,162,"March 9, 1969",US,7,LSU
1998,26,4,SAC,Sacramento Kings,9,Tariq Abdul-Wahad,SG,6-6,223,"November 3, 1974",FR,R,"Michigan, San Jose State"
1998,26,718,SAC,Sacramento Kings,24,Terry Dehere,PG,6-2,190,"September 12, 1971",US,4,Seton Hall
1998,26,972,SAC,Sacramento Kings,51,Lawrence Funderburke,PF,6-9,230,"December 15, 1970",US,R,"Indiana, Ohio State"
1998,26,1130,SAC,Sacramento Kings,54,Derek Grimm,SF,6-9,230,"August 3, 1974",US,R,Missouri
1998,26,1258,SAC,Sacramento Kings,42,Mark Hendrickson,PF,6-9,220,"June 23, 1974",US,1,Washington State
1998,26,1372,SAC,Sacramento Kings,7,Bobby Hurley,PG,6-0,165,"June 28, 1971",US,4,Duke
1998,26,1465,SAC,Sacramento Kings,10,Anthony Johnson,PG,6-3,190,"October 2, 1974",US,R,College of Charleston
1998,26,2226,SAC,Sacramento Kings,30,Billy Owens,SF,6-8,220,"May 1, 1969",US,6,Syracuse
1998,26,2331,SAC,Sacramento Kings,0,Olden Polynice,C,6-11,220,"November 21, 1964",HT,10,Virginia
1998,26,2450,SAC,Sacramento Kings,2,Mitch Richmond,SG,6-5,215,"June 30, 1965",US,9,Kansas State
1998,26,2471,SAC,Sacramento Kings,5,Chris Robinson,SG,6-5,200,"April 2, 1974",US,1,Western Kentucky
1998,26,2545,SAC,Sacramento Kings,32,Kevin Salvadori,C,7-0,231,"December 30, 1970",US,1,UNC
1998,26,2696,SAC,Sacramento Kings,34,Michael Smith (1972),PF,6-8,230,"March 28, 1972",US,3,Providence
1998,26,2757,SAC,Sacramento Kings,13,Michael Stewart,C,6-10,230,"April 25, 1975",FR,R,California
1998,26,2884,SAC,Sacramento Kings,33,Otis Thorpe,PF,6-9,225,"August 5, 1962",US,13,Providence
1998,26,3191,SAC,Sacramento Kings,4,Corliss Williamson,SF,6-7,245,"December 4, 1973",US,2,Arkansas
