Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1984,2,1632,BOS,Boston Celtics,Greg Kite,1961-08-05,22.0,NBA,C,35.0,1.0,5.6,0.9,1.9,0.46,0.0,0.0,,0.9,1.9,0.46,0.46,0.1,0.5,0.31,0.8,1.0,1.8,0.2,0.0,0.1,0.6,1.2,1.9
1985,2,1632,BOS,Boston Celtics,Greg Kite,1961-08-05,23.0,NBA,C,55.0,4.0,7.7,0.6,1.6,0.38,0.0,0.0,,0.6,1.6,0.38,0.38,0.4,0.6,0.69,0.7,0.9,1.6,0.3,0.1,0.2,0.5,1.5,1.6
1986,2,1632,BOS,Boston Celtics,Greg Kite,1961-08-05,24.0,NBA,C,64.0,2.0,7.3,0.5,1.4,0.37,0.0,0.0,0.0,0.5,1.4,0.38,0.37,0.2,0.6,0.38,0.5,1.5,2.0,0.3,0.0,0.4,0.5,1.3,1.3
1987,2,1632,BOS,Boston Celtics,Greg Kite,1961-08-05,25.0,NBA,C,74.0,1.0,10.1,0.6,1.5,0.43,0.0,0.0,0.0,0.6,1.5,0.43,0.43,0.4,1.0,0.38,0.8,1.5,2.3,0.4,0.2,0.6,0.5,2.0,1.7
1988,31,1632,TOT,Total After Trade,Greg Kite,1961-08-05,26.0,NBA,C,53.0,19.0,20.1,1.7,3.9,0.45,0.0,0.0,0.0,1.7,3.8,0.45,0.45,0.8,1.5,0.51,1.6,3.4,5.0,0.9,0.4,1.1,1.4,2.9,4.2
1988,2,1632,BOS,Boston Celtics,Greg Kite,1961-08-05,26.0,NBA,C,13.0,0.0,6.6,0.7,1.8,0.39,0.0,0.0,,0.7,1.8,0.39,0.39,0.1,0.5,0.17,0.8,1.1,1.8,0.2,0.2,0.6,0.7,1.2,1.5
1988,13,1632,LAC,Los Angeles Clippers,Greg Kite,1961-08-05,26.0,NBA,C,40.0,19.0,24.4,2.1,4.6,0.46,0.0,0.0,0.0,2.1,4.5,0.46,0.46,1.0,1.8,0.53,1.9,4.1,6.0,1.1,0.4,1.3,1.6,3.4,5.1
1989,31,1632,TOT,Total After Trade,Greg Kite,1961-08-05,27.0,NBA,C,70.0,24.0,13.5,0.9,2.2,0.43,0.0,0.0,,0.9,2.2,0.43,0.43,0.3,0.6,0.49,1.2,2.3,3.5,0.5,0.4,0.8,0.8,2.3,2.1
1989,13,1632,LAC,Los Angeles Clippers,Greg Kite,1961-08-05,27.0,NBA,C,58.0,12.0,12.6,0.8,2.1,0.4,0.0,0.0,,0.8,2.1,0.4,0.4,0.2,0.5,0.45,1.1,2.1,3.3,0.5,0.4,0.8,0.8,2.0,1.9
1989,4,1632,CHO,Charlotte Hornets,Greg Kite,1961-08-05,27.0,NBA,C,12.0,12.0,17.8,1.3,2.5,0.53,0.0,0.0,,1.3,2.5,0.53,0.53,0.5,0.8,0.6,1.3,3.2,4.4,0.6,0.3,0.7,1.0,3.6,3.2
1990,26,1632,SAC,Sacramento Kings,Greg Kite,1961-08-05,28.0,NBA,C,71.0,47.0,21.3,1.4,3.3,0.43,0.0,0.0,1.0,1.4,3.3,0.43,0.43,0.4,0.8,0.5,1.8,3.5,5.3,1.1,0.4,0.7,1.1,2.8,3.2
1991,22,1632,ORL,Orlando Magic,Greg Kite,1961-08-05,29.0,NBA,C,82.0,82.0,27.1,2.0,4.1,0.49,0.0,0.0,,2.0,4.1,0.49,0.49,0.8,1.5,0.51,2.3,4.9,7.2,0.7,0.3,1.0,1.2,3.6,4.8
1992,22,1632,ORL,Orlando Magic,Greg Kite,1961-08-05,30.0,NBA,C,72.0,44.0,20.5,1.3,3.0,0.44,0.0,0.0,0.0,1.3,3.0,0.44,0.44,0.6,0.9,0.59,2.2,3.4,5.6,0.6,0.4,0.8,0.8,2.9,3.2
1993,22,1632,ORL,Orlando Magic,Greg Kite,1961-08-05,31.0,NBA,C,64.0,1.0,10.0,0.6,1.3,0.45,0.0,0.0,0.0,0.6,1.3,0.46,0.45,0.2,0.4,0.54,1.0,2.0,3.0,0.2,0.2,0.2,0.5,2.1,1.4
1994,22,1632,ORL,Orlando Magic,Greg Kite,1961-08-05,32.0,NBA,C,29.0,0.0,10.7,0.4,1.2,0.37,0.0,0.0,,0.4,1.2,0.37,0.37,0.3,0.8,0.36,0.8,1.7,2.4,0.1,0.1,0.4,0.6,2.1,1.2
1995,31,1632,TOT,Total After Trade,Greg Kite,1961-08-05,33.0,NBA,C,11.0,0.0,7.0,0.3,1.5,0.18,0.0,0.0,,0.3,1.5,0.18,0.18,0.2,0.9,0.2,1.1,0.9,2.0,0.1,0.0,0.0,0.5,1.4,0.7
1995,20,1632,NYK,New York Knicks,Greg Kite,1961-08-05,33.0,NBA,C,2.0,0.0,8.0,0.0,1.5,0.0,0.0,0.0,,0.0,1.5,0.0,0.0,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.5,1.0,0.0
1995,12,1632,IND,Indiana Pacers,Greg Kite,1961-08-05,33.0,NBA,C,9.0,0.0,6.8,0.3,1.6,0.21,0.0,0.0,,0.3,1.6,0.21,0.21,0.2,1.1,0.2,1.1,0.9,2.0,0.1,0.0,0.0,0.6,1.4,0.9
