Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008,23,2689,PHI,Philadelphia 76Ers,Jason Smith,1986-03-02,21.0,NBA,PF,76.0,1.0,1107.0,141.0,310.0,0.46,4.0,14.0,0.29,137.0,296.0,0.46,0.46,54.0,82.0,0.66,77.0,153.0,230.0,20.0,22.0,50.0,48.0,142.0,340.0
2010,23,2689,PHI,Philadelphia 76Ers,Jason Smith,1986-03-02,23.0,NBA,PF,56.0,2.0,658.0,75.0,174.0,0.43,10.0,29.0,0.34,65.0,145.0,0.45,0.46,29.0,42.0,0.69,54.0,81.0,135.0,33.0,21.0,28.0,35.0,110.0,189.0
2011,19,2689,NOH,New Orleans Hornets,Jason Smith,1986-03-02,24.0,NBA,C,77.0,6.0,1102.0,136.0,307.0,0.44,0.0,2.0,0.0,136.0,305.0,0.45,0.44,59.0,70.0,0.84,89.0,152.0,241.0,36.0,26.0,32.0,53.0,150.0,331.0
2012,19,2689,NOH,New Orleans Hornets,Jason Smith,1986-03-02,25.0,NBA,PF,40.0,29.0,947.0,181.0,348.0,0.52,1.0,9.0,0.11,180.0,339.0,0.53,0.52,33.0,47.0,0.7,72.0,124.0,196.0,34.0,21.0,41.0,40.0,102.0,396.0
2013,19,2689,NOH,New Orleans Hornets,Jason Smith,1986-03-02,26.0,NBA,C,51.0,0.0,876.0,167.0,341.0,0.49,0.0,4.0,0.0,167.0,337.0,0.5,0.49,86.0,102.0,0.84,64.0,122.0,186.0,34.0,15.0,45.0,55.0,123.0,420.0
2014,19,2689,NOP,New Orleans Pelicans,Jason Smith,1986-03-02,27.0,NBA,PF,31.0,27.0,830.0,131.0,282.0,0.46,0.0,0.0,,131.0,282.0,0.46,0.46,39.0,50.0,0.78,51.0,130.0,181.0,29.0,11.0,29.0,28.0,100.0,301.0
2015,20,2689,NYK,New York Knicks,Jason Smith,1986-03-02,28.0,NBA,C,82.0,31.0,1785.0,257.0,592.0,0.43,15.0,42.0,0.36,242.0,550.0,0.44,0.45,127.0,153.0,0.83,98.0,226.0,324.0,140.0,32.0,44.0,104.0,205.0,656.0
2016,22,2689,ORL,Orlando Magic,Jason Smith,1986-03-02,29.0,NBA,C,76.0,2.0,1181.0,244.0,503.0,0.48,4.0,16.0,0.25,240.0,487.0,0.49,0.49,54.0,67.0,0.81,53.0,166.0,219.0,62.0,33.0,65.0,57.0,163.0,546.0
2017,30,2689,WAS,Washington Wizards,Jason Smith,1986-03-02,30.0,NBA,C,74.0,3.0,1068.0,174.0,329.0,0.53,37.0,78.0,0.47,137.0,251.0,0.55,0.58,35.0,51.0,0.69,64.0,194.0,258.0,37.0,21.0,54.0,58.0,168.0,420.0
2018,30,2689,WAS,Washington Wizards,Jason Smith,1986-03-02,31.0,NBA,C,33.0,2.0,285.0,45.0,115.0,0.39,4.0,32.0,0.12,41.0,83.0,0.49,0.41,19.0,21.0,0.9,18.0,35.0,53.0,14.0,3.0,13.0,16.0,44.0,113.0
2019,31,2689,TOT,Total After Trade,Jason Smith,1986-03-02,32.0,NBA,"C,PF",20.0,1.0,190.0,21.0,59.0,0.36,9.0,26.0,0.35,12.0,33.0,0.36,0.43,14.0,16.0,0.88,16.0,36.0,52.0,14.0,3.0,7.0,13.0,30.0,65.0
2019,30,2689,WAS,Washington Wizards,Jason Smith,1986-03-02,32.0,NBA,C,12.0,1.0,130.0,15.0,37.0,0.4,4.0,10.0,0.4,11.0,27.0,0.41,0.46,10.0,12.0,0.83,11.0,26.0,37.0,12.0,1.0,5.0,7.0,21.0,44.0
2019,17,2689,MIL,Milwaukee Bucks,Jason Smith,1986-03-02,32.0,NBA,PF,6.0,0.0,40.0,4.0,13.0,0.31,3.0,9.0,0.33,1.0,4.0,0.25,0.42,2.0,2.0,1.0,3.0,8.0,11.0,1.0,2.0,2.0,5.0,6.0,13.0
2019,19,2689,NOP,New Orleans Pelicans,Jason Smith,1986-03-02,32.0,NBA,C,2.0,0.0,20.0,2.0,9.0,0.22,2.0,7.0,0.29,0.0,2.0,0.0,0.33,2.0,2.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,3.0,8.0
