Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2001,21.0,CHI,NBA,PF,74.0,74.0,2906.0,578.0,1215.0,0.476,0.0,2.0,0.0,578.0,1213.0,0.477,0.476,334.0,472.0,0.708,285.0,461.0,746.0,240.0,71.0,118.0,219.0,243.0,1490.0,,0.0
2002,22.0,LAC,NBA,PF,80.0,80.0,3020.0,532.0,1010.0,0.527,0.0,0.0,,532.0,1010.0,0.527,0.527,389.0,524.0,0.742,396.0,529.0,925.0,191.0,80.0,163.0,173.0,254.0,1453.0,,0.0
2003,23.0,LAC,NBA,PF,62.0,61.0,2454.0,451.0,899.0,0.502,0.0,1.0,0.0,451.0,898.0,0.502,0.502,244.0,356.0,0.685,283.0,420.0,703.0,157.0,71.0,158.0,161.0,204.0,1146.0,,1.0
2004,24.0,LAC,NBA,PF,69.0,68.0,2670.0,484.0,982.0,0.493,0.0,1.0,0.0,484.0,981.0,0.493,0.493,411.0,532.0,0.773,269.0,445.0,714.0,227.0,64.0,154.0,193.0,229.0,1379.0,,0.0
2005,25.0,LAC,NBA,PF,81.0,81.0,3001.0,629.0,1251.0,0.503,0.0,3.0,0.0,629.0,1248.0,0.504,0.503,364.0,484.0,0.752,296.0,474.0,770.0,208.0,62.0,169.0,183.0,240.0,1622.0,,0.0
2006,26.0,LAC,NBA,PF,79.0,79.0,3099.0,756.0,1435.0,0.527,1.0,3.0,0.333,755.0,1432.0,0.527,0.527,440.0,568.0,0.775,236.0,554.0,790.0,208.0,81.0,201.0,173.0,227.0,1953.0,,0.0
2007,27.0,LAC,NBA,PF,80.0,80.0,3077.0,645.0,1211.0,0.533,1.0,1.0,1.0,644.0,1210.0,0.532,0.533,351.0,461.0,0.761,268.0,476.0,744.0,235.0,77.0,179.0,202.0,238.0,1642.0,,0.0
2008,28.0,LAC,NBA,PF,8.0,6.0,274.0,52.0,114.0,0.456,0.0,0.0,,52.0,114.0,0.456,0.456,37.0,47.0,0.787,21.0,43.0,64.0,16.0,3.0,15.0,17.0,21.0,141.0,,0.0
2009,29.0,PHI,NBA,PF,29.0,23.0,920.0,163.0,365.0,0.447,0.0,0.0,,163.0,365.0,0.447,0.447,73.0,108.0,0.676,77.0,177.0,254.0,37.0,17.0,45.0,68.0,78.0,399.0,,0.0
2010,30.0,PHI,NBA,PF,76.0,57.0,2297.0,412.0,858.0,0.48,0.0,1.0,0.0,412.0,857.0,0.481,0.48,172.0,233.0,0.738,179.0,282.0,461.0,109.0,82.0,80.0,131.0,232.0,996.0,,0.0
2011,31.0,PHI,NBA,PF,81.0,81.0,2809.0,502.0,981.0,0.512,0.0,1.0,0.0,502.0,980.0,0.512,0.512,213.0,273.0,0.78,237.0,439.0,676.0,120.0,92.0,106.0,101.0,244.0,1217.0,,0.0
2012,32.0,PHI,NBA,C,60.0,60.0,1732.0,287.0,581.0,0.494,0.0,1.0,0.0,287.0,580.0,0.495,0.494,85.0,116.0,0.733,145.0,284.0,429.0,97.0,58.0,97.0,65.0,176.0,659.0,,0.0
2013,33.0,DAL,NBA,C,72.0,18.0,1527.0,226.0,478.0,0.473,0.0,1.0,0.0,226.0,477.0,0.474,0.473,66.0,93.0,0.71,130.0,300.0,430.0,70.0,50.0,90.0,57.0,192.0,518.0,,0.0
2014,34.0,ATL,NBA,C,73.0,15.0,1414.0,179.0,332.0,0.539,0.0,2.0,0.0,179.0,330.0,0.542,0.539,61.0,94.0,0.649,97.0,264.0,361.0,74.0,40.0,88.0,60.0,192.0,419.0,,0.0
2015,35.0,ATL,NBA,C,36.0,4.0,486.0,42.0,95.0,0.442,0.0,1.0,0.0,42.0,94.0,0.447,0.442,12.0,23.0,0.522,28.0,72.0,100.0,22.0,17.0,25.0,18.0,54.0,96.0,,0.0
2016,36.0,PHI,NBA,C,17.0,1.0,225.0,31.0,72.0,0.431,0.0,1.0,0.0,31.0,71.0,0.437,0.431,8.0,9.0,0.889,9.0,54.0,63.0,18.0,9.0,8.0,11.0,32.0,70.0,,0.0
