Season,Tm,Player,Rank,Pts Won,Pts Max,Share,Type
1994,HOU,Hakeem Olajuwon,1,889.0,1010,0.88,MVP
1994,SAS,David Robinson,2,730.0,1010,0.723,MVP
1994,CHI,Scottie Pippen,3,390.0,1010,0.386,MVP
1994,ORL,Shaquille O'Neal,4,289.0,1010,0.286,MVP
1994,NYK,Patrick Ewing,5,255.0,1010,0.252,MVP
1994,SEA,Gary Payton,6,20.0,1010,0.02,MVP
1994,SEA,Shawn Kemp,7T,17.0,1010,0.017,MVP
1994,UTA,Karl Malone,7T,17.0,1010,0.017,MVP
1994,CLE,Mark Price,9,7.0,1010,0.007,MVP
1994,PHO,Charles Barkley,10,5.0,1010,0.005,MVP
1994,ATL,Mookie Blaylock,11T,1.0,1010,0.001,MVP
1994,PHO,Kevin Johnson,11T,1.0,1010,0.001,MVP
1994,SAS,Dennis Rodman,11T,1.0,1010,0.001,MVP
1994,GSW,Latrell Sprewell,11T,1.0,1010,0.001,MVP
1994,UTA,John Stockton,11T,1.0,1010,0.001,MVP
1994,TOT,Dominique Wilkins,11T,1.0,1010,0.001,MVP
1994,ATL,Kevin Willis,11T,1.0,1010,0.001,MVP
