SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1993,5,CHI,Scottie Pippen,27,81,81,3123,7.2,15.3,0.47,0.3,1.1,0.24,7.0,14.2,0.49,2.7,4.0,0.66,2.3,4.8,7.2,5.8,2.0,0.8,2.8,2.5,17.4
1993,5,CHI,Michael Jordan,29,78,78,3067,11.6,23.5,0.5,1.0,2.7,0.35,10.7,20.8,0.51,5.6,6.7,0.84,1.6,4.5,6.1,5.0,2.6,0.7,2.4,2.2,29.8
1993,5,CHI,Horace Grant,27,77,77,2745,5.5,10.9,0.51,0.0,0.1,0.2,5.5,10.8,0.51,2.3,3.7,0.62,4.5,5.1,9.6,2.6,1.2,1.3,1.4,2.9,13.3
1993,5,CHI,B.J. Armstrong,25,82,74,2492,5.9,11.8,0.5,0.9,2.0,0.45,5.0,9.8,0.51,1.9,2.2,0.86,0.4,1.8,2.2,4.8,1.0,0.1,1.2,2.4,14.6
1993,5,CHI,Scott Williams,24,71,5,1369,4.4,9.4,0.47,0.0,0.2,0.0,4.4,9.2,0.48,2.4,3.3,0.71,4.4,7.4,11.9,1.8,1.4,1.7,1.9,6.0,11.1
1993,5,CHI,Bill Cartwright,35,63,63,1253,4.1,9.9,0.41,0.0,0.0,,4.1,9.9,0.41,2.1,2.8,0.74,2.4,4.3,6.7,2.4,0.6,0.3,1.8,4.4,10.2
1993,5,CHI,Stacey King,26,76,3,1059,5.4,11.6,0.47,0.1,0.2,0.33,5.4,11.4,0.47,2.9,4.1,0.7,3.6,3.5,7.0,2.4,0.9,0.7,2.4,4.4,13.9
1993,5,CHI,John Paxson,32,59,8,1030,3.7,8.1,0.45,0.7,1.4,0.46,3.0,6.7,0.45,0.6,0.7,0.85,0.3,1.4,1.7,4.8,1.3,0.1,1.1,3.5,8.6
1993,5,CHI,Rodney McCray,31,64,5,1019,3.3,7.2,0.45,0.1,0.2,0.4,3.2,7.0,0.45,1.3,1.8,0.69,1.9,3.7,5.6,2.9,0.4,0.5,1.9,3.5,7.8
1993,5,CHI,Will Perdue,27,72,16,998,4.9,8.9,0.56,0.0,0.0,0.0,4.9,8.8,0.56,2.4,4.0,0.6,3.7,6.6,10.4,2.7,0.8,1.7,2.7,5.0,12.3
1993,5,CHI,Trent Tucker,33,69,0,909,5.7,11.7,0.48,2.1,5.2,0.4,3.6,6.5,0.56,0.7,0.9,0.82,0.6,2.2,2.8,3.2,1.0,0.2,0.7,2.6,14.1
1993,5,CHI,Darrell Walker,31,28,0,367,3.0,7.6,0.4,0.0,0.0,,3.0,7.6,0.4,1.0,2.0,0.5,1.8,2.1,3.8,4.3,2.3,0.2,1.2,5.0,7.1
1993,5,CHI,Corey Williams,22,35,0,242,4.6,12.6,0.36,0.1,0.4,0.33,4.5,12.2,0.37,2.7,3.3,0.82,2.8,1.8,4.6,3.4,0.6,0.3,1.6,3.6,12.0
1993,5,CHI,Ed Nealy,32,11,0,79,4.6,10.5,0.44,0.5,2.3,0.2,4.1,8.2,0.5,0.9,0.9,1.0,1.8,5.5,7.3,0.9,1.4,0.5,0.9,2.7,10.5
1993,5,CHI,Joe Courtney,23,5,0,34,4.2,9.5,0.44,0.0,0.0,,4.2,9.5,0.44,3.2,4.2,0.75,2.1,0.0,2.1,1.1,2.1,1.1,3.2,9.5,11.6
1993,5,CHI,Jo Jo English,22,6,0,31,3.5,11.6,0.3,0.0,3.5,0.0,3.5,8.1,0.43,0.0,2.3,0.0,2.3,4.6,7.0,1.2,3.5,2.3,4.6,5.8,7.0
1993,5,CHI,Ricky Blanton,26,2,0,13,8.3,19.4,0.43,0.0,0.0,,8.3,19.4,0.43,0.0,0.0,,5.5,2.8,8.3,2.8,5.5,0.0,2.8,2.8,16.6
