Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
1985,29,2763,UTA,Utah Jazz,John Stockton,"March 26, 1962",22.0,NBA,PG,10,0,186,5.1,10.9,0.47,0.0,0.5,0.0,5.1,10.5,0.49,6.3,8.5,0.74,1.7,5.1,6.8,10.5,2.7,0.5,3.9,7.3,16.5,110,106
1986,29,2763,UTA,Utah Jazz,John Stockton,"March 26, 1962",23.0,NBA,PG,4,0,73,6.3,12.0,0.53,0.7,0.7,1.0,5.6,11.2,0.5,5.6,6.3,0.89,2.1,2.1,4.2,9.8,3.5,0.0,2.8,7.0,19.0,128,114
1987,29,2763,UTA,Utah Jazz,John Stockton,"March 26, 1962",24.0,NBA,PG,5,2,157,5.7,9.2,0.62,1.3,1.6,0.8,4.5,7.6,0.58,3.2,4.1,0.77,0.6,2.9,3.5,12.7,4.8,0.3,3.5,5.7,15.9,130,104
1988,29,2763,UTA,Utah Jazz,John Stockton,"March 26, 1962",25.0,NBA,PG,11,11,478,7.2,14.1,0.51,0.4,1.5,0.29,6.8,12.7,0.53,7.9,9.6,0.82,1.5,3.3,4.8,17.2,3.9,0.3,5.1,3.8,22.7,121,106
1989,29,2763,UTA,Utah Jazz,John Stockton,"March 26, 1962",26.0,NBA,PG,3,3,139,10.4,20.5,0.51,1.0,1.4,0.75,9.4,19.1,0.49,6.6,7.3,0.9,0.7,2.8,3.5,14.2,3.8,1.7,3.8,5.2,28.4,128,111
1990,29,2763,UTA,Utah Jazz,John Stockton,"March 26, 1962",27.0,NBA,PG,5,5,194,7.6,18.0,0.42,0.3,3.4,0.08,7.3,14.6,0.5,4.2,5.2,0.8,1.0,3.1,4.2,19.6,1.6,0.0,3.7,5.2,19.6,112,114
1991,29,2763,UTA,Utah Jazz,John Stockton,"March 26, 1962",28.0,NBA,PG,9,9,373,7.8,14.5,0.54,1.5,3.6,0.41,6.3,10.9,0.58,5.0,5.9,0.84,1.3,4.3,5.7,16.7,2.7,0.3,4.3,4.4,22.1,124,107
1992,29,2763,UTA,Utah Jazz,John Stockton,"March 26, 1962",29.0,NBA,PG,16,16,623,6.6,15.6,0.42,1.5,5.0,0.31,5.1,10.6,0.48,5.6,6.7,0.83,0.9,3.2,4.0,18.6,2.9,0.4,5.0,3.3,20.3,115,113
1993,29,2763,UTA,Utah Jazz,John Stockton,"March 26, 1962",30.0,NBA,PG,5,5,193,6.7,14.9,0.45,1.5,3.8,0.38,5.3,11.1,0.47,4.4,5.3,0.83,1.5,2.0,3.5,16.1,3.5,0.0,4.4,4.7,19.3,115,108
1994,29,2763,UTA,Utah Jazz,John Stockton,"March 26, 1962",31.0,NBA,PG,16,16,597,8.2,18.0,0.46,0.4,2.2,0.17,7.8,15.7,0.5,4.7,5.9,0.81,1.3,3.5,4.8,14.6,2.5,0.7,3.7,4.1,21.5,112,106
1995,29,2763,UTA,Utah Jazz,John Stockton,"March 26, 1962",32.0,NBA,PG,5,5,193,9.4,20.5,0.46,2.2,5.5,0.4,7.2,15.0,0.48,3.6,4.7,0.76,1.7,3.1,4.7,14.1,1.9,0.3,3.9,3.6,24.7,116,122
1996,29,2763,UTA,Utah Jazz,John Stockton,"March 26, 1962",33.0,NBA,PG,18,18,679,5.8,12.9,0.45,0.9,3.1,0.29,4.9,9.8,0.5,4.0,4.9,0.81,1.2,3.6,4.8,16.1,2.4,0.6,4.8,4.1,16.4,112,102
1997,29,2763,UTA,Utah Jazz,John Stockton,"March 26, 1962",34.0,NBA,PG,20,20,739,8.5,16.3,0.52,1.4,3.8,0.38,7.1,12.5,0.56,5.8,6.8,0.86,1.4,4.5,5.9,14.3,2.5,0.4,4.7,3.9,24.2,122,108
1998,29,2763,UTA,Utah Jazz,John Stockton,"March 26, 1962",35.0,NBA,PG,20,20,596,7.6,15.4,0.49,0.8,2.4,0.35,6.8,13.0,0.52,4.8,6.7,0.72,1.5,4.1,5.6,14.6,2.9,0.3,4.5,5.1,20.9,112,101
1999,29,2763,UTA,Utah Jazz,John Stockton,"March 26, 1962",36.0,NBA,PG,11,11,352,6.6,16.6,0.4,0.6,1.9,0.33,6.0,14.7,0.41,5.4,7.3,0.74,1.7,3.9,5.7,14.5,2.8,0.2,4.9,5.1,19.3,102,100
2000,29,2763,UTA,Utah Jazz,John Stockton,"March 26, 1962",37.0,NBA,PG,10,10,350,6.4,13.9,0.46,1.1,2.8,0.39,5.3,11.1,0.48,3.6,4.7,0.77,1.1,3.6,4.7,16.1,2.0,0.3,4.1,4.7,17.5,113,108
2001,29,2763,UTA,Utah Jazz,John Stockton,"March 26, 1962",38.0,NBA,PG,5,5,186,5.1,11.1,0.46,0.0,2.4,0.0,5.1,8.7,0.59,4.5,6.3,0.71,3.3,5.1,8.4,17.0,3.0,0.9,2.1,5.7,14.6,128,106
2002,29,2763,UTA,Utah Jazz,John Stockton,"March 26, 1962",39.0,NBA,PG,4,4,141,6.9,15.3,0.45,0.8,2.7,0.29,6.1,12.6,0.48,4.6,5.0,0.92,1.1,5.0,6.1,15.3,4.2,0.4,3.1,6.1,19.1,120,98
2003,29,2763,UTA,Utah Jazz,John Stockton,"March 26, 1962",40.0,NBA,PG,5,5,149,6.5,14.1,0.46,0.0,0.4,0.0,6.5,13.7,0.47,7.2,7.2,1.0,1.8,4.0,5.8,9.4,2.9,0.4,5.1,4.7,20.2,110,116
