TEAM,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CHI,82,19730,44.0,92.0,0.48,7.3,18.0,0.4,36.7,74.0,0.5,20.0,26.8,0.75,16.7,32.2,48.8,27.1,9.9,4.6,15.7,24.1,115.2
SEA,82,19880,39.5,82.3,0.48,7.5,20.5,0.36,32.1,61.8,0.52,23.7,31.2,0.76,12.3,31.5,43.8,25.7,11.3,5.1,18.5,25.3,110.3
ORL,82,19855,42.2,87.4,0.48,8.2,21.7,0.38,34.0,65.8,0.52,20.3,29.4,0.69,12.7,31.6,44.3,27.4,8.7,5.3,15.3,22.5,112.9
PHO,82,19955,40.8,86.1,0.47,4.2,12.7,0.33,36.5,73.4,0.5,24.6,31.9,0.77,13.0,32.3,45.3,25.8,8.0,4.3,15.6,22.9,110.3
BOS,82,19905,39.6,87.0,0.46,6.8,18.2,0.37,32.9,68.8,0.48,20.4,28.6,0.71,13.2,30.4,43.6,22.4,8.2,5.1,16.3,25.6,106.4
SAS,82,19780,40.9,85.8,0.48,6.7,17.2,0.39,34.2,68.7,0.5,21.6,29.4,0.74,12.2,33.6,45.8,26.6,8.4,7.0,15.5,23.7,110.2
LAL,82,19680,42.5,88.5,0.48,6.3,17.9,0.35,36.2,70.6,0.51,20.2,27.0,0.75,13.1,30.4,43.5,27.5,9.5,6.8,15.4,22.5,111.4
CHO,82,19880,41.0,87.3,0.47,7.7,20.0,0.38,33.3,67.2,0.5,21.5,27.9,0.77,13.0,29.7,42.8,25.1,7.7,3.7,16.4,23.9,111.2
DAL,82,19930,39.4,93.8,0.42,9.3,25.7,0.36,30.1,68.0,0.44,18.0,24.9,0.72,17.8,30.0,47.8,24.1,8.1,4.3,16.0,23.2,106.1
WAB,82,19805,41.4,85.5,0.48,6.4,15.7,0.41,35.0,69.9,0.5,19.5,26.8,0.73,12.0,30.1,42.1,23.5,7.7,6.5,17.2,25.6,108.7
HOU,82,19805,40.0,86.3,0.46,8.3,22.9,0.36,31.7,63.4,0.5,20.9,27.4,0.76,11.9,31.9,43.9,25.8,8.4,6.2,16.2,22.8,109.3
UTA,82,19780,42.2,86.5,0.49,5.1,13.7,0.37,37.1,72.9,0.51,23.9,31.0,0.77,13.4,32.0,45.4,28.8,9.0,5.6,16.4,27.6,113.3
GSW,82,19755,39.7,87.1,0.46,5.8,15.6,0.37,33.9,71.5,0.47,23.1,30.4,0.76,15.3,29.7,45.0,24.6,9.2,6.1,17.5,23.9,108.4
SAC,82,19755,38.6,84.5,0.46,6.0,15.5,0.39,32.6,68.9,0.47,22.9,31.3,0.73,14.5,30.5,45.0,23.8,8.4,5.7,18.8,27.7,106.2
LAC,82,19730,40.8,86.4,0.47,6.6,17.9,0.37,34.2,68.5,0.5,18.2,25.9,0.7,12.8,28.6,41.4,21.8,9.2,5.4,17.7,26.2,106.5
POR,82,19905,39.9,87.1,0.46,6.2,17.7,0.35,33.6,69.4,0.48,20.0,30.2,0.66,15.1,33.6,48.7,22.9,7.7,5.4,17.9,24.2,106.0
IND,82,19755,40.5,84.4,0.48,4.9,13.2,0.37,35.6,71.2,0.5,24.8,32.9,0.76,13.7,30.8,44.5,26.1,7.9,4.4,18.2,27.6,110.8
ALT,82,19730,40.5,90.4,0.45,7.7,21.6,0.36,32.8,68.8,0.48,20.7,27.3,0.76,16.0,29.1,45.2,21.8,10.5,4.3,16.7,23.3,109.4
MIN,82,19780,38.6,84.1,0.46,3.6,11.1,0.33,35.0,73.0,0.48,23.3,30.0,0.78,12.8,29.5,42.2,24.2,8.4,6.2,18.5,25.9,104.1
DEN,82,19830,39.4,87.4,0.45,5.2,15.1,0.35,34.2,72.3,0.47,21.2,28.5,0.74,13.9,32.6,46.5,24.3,6.8,7.8,16.6,24.7,105.2
TOR,82,19830,40.0,85.7,0.47,5.4,15.2,0.35,34.7,70.5,0.49,18.3,25.4,0.72,13.9,28.7,42.6,25.0,9.7,6.4,20.0,25.8,103.8
NYK,82,19830,39.9,84.9,0.47,6.5,17.1,0.38,33.5,67.8,0.49,19.7,26.0,0.76,11.0,32.6,43.6,24.2,8.6,5.0,16.9,24.8,106.0
MIA,82,19780,38.6,84.5,0.46,7.4,19.4,0.38,31.3,65.1,0.48,20.7,29.1,0.71,13.3,33.2,46.5,23.3,7.6,5.8,18.6,28.7,105.3
MIL,82,19730,40.9,87.5,0.47,4.8,14.2,0.34,36.1,73.3,0.49,19.0,25.8,0.74,13.1,29.2,42.3,23.7,7.8,4.1,17.5,26.2,105.6
DET,82,19830,38.8,84.5,0.46,7.5,18.6,0.4,31.3,65.8,0.48,22.9,30.4,0.75,12.2,33.7,45.9,22.2,7.0,4.9,16.8,26.9,107.9
PHI,82,19730,36.9,84.7,0.44,6.5,19.0,0.34,30.4,65.7,0.46,21.9,29.9,0.73,13.6,28.5,42.1,21.5,8.5,5.5,18.7,23.4,102.2
NJN,82,19905,38.2,89.5,0.43,3.3,9.9,0.34,34.9,79.6,0.44,22.2,29.8,0.74,17.9,33.2,51.1,23.2,8.3,7.6,18.2,24.9,101.9
CLE,82,19830,40.6,88.2,0.46,8.8,23.3,0.38,31.8,64.9,0.49,19.9,26.1,0.76,12.7,30.2,43.0,26.7,9.9,5.0,15.8,24.8,109.9
VAN,82,19880,36.8,86.0,0.43,4.9,15.0,0.33,31.8,71.0,0.45,19.2,26.5,0.72,12.7,28.8,41.5,22.6,9.7,4.4,17.9,24.6,97.6
