SEASON,TEAM ID,TEAM,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004,7,DAL,82,19805,43.2,94.0,0.46,6.6,18.9,0.35,36.6,75.1,0.49,19.2,24.1,0.8,15.3,33.0,48.3,25.5,8.5,5.7,13.0,20.9,112.1
2004,26,SAC,82,19780,40.6,87.8,0.46,7.9,19.6,0.4,32.7,68.2,0.48,21.3,26.7,0.8,11.6,32.6,44.2,28.1,9.3,4.3,14.9,20.7,110.3
2004,14,LAL,82,19855,39.7,87.4,0.45,4.8,14.6,0.33,34.9,72.8,0.48,21.4,30.8,0.69,13.1,33.2,46.3,25.5,8.9,5.0,14.8,22.7,105.5
2004,17,MIL,82,19780,39.4,88.1,0.45,5.3,15.2,0.35,34.0,72.9,0.47,22.5,29.0,0.78,12.7,33.2,45.9,24.8,7.3,5.1,14.7,22.1,106.5
2004,8,DEN,82,19730,39.0,88.1,0.44,4.3,12.8,0.34,34.7,75.3,0.46,21.6,28.1,0.77,14.1,31.1,45.2,23.4,9.7,6.8,16.7,23.5,103.9
2004,21,SEA,82,19805,39.6,88.8,0.45,9.7,26.1,0.37,29.9,62.7,0.48,18.4,24.0,0.76,12.2,31.2,43.5,24.0,8.9,5.2,16.0,24.0,107.3
2004,15,MEM,82,19880,39.2,88.0,0.44,5.9,17.4,0.34,33.2,70.6,0.47,20.6,28.3,0.73,13.8,31.5,45.3,25.3,10.5,7.5,16.2,25.1,104.8
2004,2,BOS,82,19705,37.2,83.9,0.44,7.2,20.9,0.35,29.9,63.0,0.48,20.5,27.4,0.75,11.1,31.9,43.0,22.0,10.1,4.3,17.4,24.0,102.1
2004,13,LAC,82,19805,37.5,87.7,0.43,4.4,13.6,0.32,33.1,74.0,0.45,24.1,30.7,0.78,15.3,32.2,47.5,22.0,7.9,5.0,17.9,24.2,103.5
2004,18,MIN,82,19755,41.4,89.7,0.46,4.5,12.2,0.36,37.0,77.5,0.48,18.6,23.8,0.78,11.9,36.1,48.1,25.8,7.7,6.3,14.2,23.6,105.9
2004,24,PHO,82,19730,38.8,87.6,0.44,5.5,15.8,0.34,33.4,71.8,0.46,18.3,24.5,0.75,12.1,31.6,43.7,20.8,9.6,5.0,16.4,24.5,101.4
2004,22,ORL,82,19830,38.7,90.2,0.43,5.7,16.6,0.34,33.0,73.5,0.45,19.6,26.6,0.74,13.4,31.3,44.7,21.1,7.3,4.1,15.0,23.2,102.7
2004,10,GSW,82,19855,38.7,87.7,0.44,5.8,17.3,0.33,32.9,70.4,0.47,19.8,27.3,0.72,13.5,34.1,47.6,22.6,7.8,5.2,16.3,22.8,103.0
2004,6,CLE,82,19855,38.9,89.9,0.43,3.3,10.5,0.31,35.6,79.4,0.45,20.3,27.0,0.75,14.9,34.8,49.7,24.1,7.8,7.1,16.2,23.2,101.4
2004,1,ALT,82,19905,37.6,86.7,0.43,5.6,16.6,0.34,32.0,70.1,0.46,20.4,26.2,0.78,13.2,33.3,46.5,21.9,8.3,5.4,17.9,24.2,101.0
2004,20,NYK,82,19880,38.9,87.8,0.44,5.5,15.0,0.36,33.4,72.8,0.46,18.5,23.4,0.79,12.8,34.3,47.1,22.9,8.2,5.3,17.4,25.6,101.7
2004,19,NOH,82,19830,37.7,89.7,0.42,7.2,22.6,0.32,30.4,67.1,0.45,19.7,26.3,0.75,14.8,32.8,47.7,23.3,9.6,4.7,16.7,23.3,102.3
2004,30,WAS,82,19830,36.2,86.0,0.42,5.7,16.6,0.34,30.5,69.4,0.44,20.7,29.0,0.71,14.6,31.4,46.0,20.2,9.6,5.3,18.9,22.5,98.8
2004,27,SAS,82,19755,38.7,87.6,0.44,5.6,15.5,0.36,33.2,72.1,0.46,19.2,28.2,0.68,14.0,36.4,50.4,22.8,9.0,7.3,16.4,22.7,102.2
2004,12,IND,82,19805,38.1,87.5,0.44,6.2,17.7,0.35,31.9,69.8,0.46,21.3,27.9,0.76,13.4,34.0,47.3,24.6,10.1,5.7,16.4,23.7,103.8
2004,25,POR,82,19980,40.4,90.1,0.45,5.3,15.4,0.35,35.1,74.7,0.47,17.6,24.1,0.73,14.5,33.1,47.6,24.6,8.5,6.2,16.9,21.7,103.7
2004,16,MIA,82,19755,37.7,88.6,0.42,6.7,18.7,0.36,31.0,69.9,0.44,20.2,26.5,0.76,13.0,34.0,47.0,21.6,8.1,4.3,15.7,25.0,102.2
2004,3,NJN,82,19705,38.3,86.8,0.44,5.1,15.3,0.34,33.2,71.5,0.46,19.0,25.3,0.75,11.7,33.7,45.4,27.4,9.7,4.4,16.5,23.5,100.8
2004,9,DET,82,19780,37.9,87.2,0.44,4.6,13.4,0.34,33.3,73.8,0.45,21.6,28.6,0.75,14.0,34.4,48.4,23.5,9.1,7.9,17.1,23.0,102.0
2004,11,HOU,82,19930,37.5,84.9,0.44,7.1,19.3,0.37,30.5,65.7,0.46,18.8,24.3,0.77,11.6,36.3,47.9,21.7,7.7,6.1,18.8,24.2,100.9
2004,5,CHI,82,19830,36.7,88.7,0.41,5.6,16.5,0.34,31.1,72.2,0.43,17.5,24.1,0.72,13.8,33.1,46.8,23.5,8.7,5.2,17.3,25.1,96.6
2004,29,UTA,82,19780,37.7,86.5,0.44,3.5,11.0,0.32,34.2,75.5,0.45,23.0,30.8,0.75,15.5,31.8,47.3,23.4,8.2,6.9,19.1,29.4,101.9
2004,23,PHI,82,19855,36.8,86.0,0.43,4.7,13.6,0.34,32.2,72.3,0.44,20.8,27.6,0.75,12.9,33.1,46.0,22.5,9.0,4.9,17.9,23.4,99.1
2004,28,TOR,82,19980,36.7,87.9,0.42,6.4,17.9,0.36,30.4,70.0,0.43,17.1,22.8,0.75,11.5,33.5,45.0,21.8,8.4,5.6,16.1,24.2,97.0
