TEAM,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DAL,82,19880,41.6,90.1,0.46,8.1,21.4,0.38,33.5,68.7,0.49,20.9,25.9,0.81,11.9,33.4,45.3,23.6,7.6,5.1,12.9,24.0,112.2
SAC,82,19755,41.5,89.0,0.47,5.4,14.7,0.37,36.1,74.3,0.49,20.6,27.4,0.75,12.9,34.3,47.2,24.9,9.4,4.8,14.3,19.8,109.0
LAL,82,19780,41.5,90.1,0.46,6.7,19.0,0.35,34.8,71.2,0.49,19.7,28.2,0.7,13.5,34.3,47.8,24.8,8.2,6.3,13.7,24.0,109.4
ORL,82,19830,40.1,89.5,0.45,8.1,21.6,0.37,32.0,68.0,0.47,18.8,24.9,0.75,12.2,31.7,43.9,23.4,8.6,5.0,14.5,22.1,107.0
MIN,82,19805,42.5,92.2,0.46,5.3,14.0,0.38,37.2,78.2,0.48,18.7,23.5,0.8,14.2,34.3,48.5,26.7,7.0,5.7,14.7,23.3,109.0
SEA,82,19830,42.6,90.8,0.47,6.6,17.6,0.38,35.9,73.3,0.49,17.2,22.7,0.76,13.2,31.7,44.9,26.2,9.5,4.9,15.3,23.5,108.9
GSW,82,19780,38.5,89.7,0.43,4.1,12.8,0.32,34.4,77.0,0.45,21.7,30.1,0.72,17.1,32.0,49.1,21.9,8.3,6.7,17.7,24.2,102.8
MIL,82,19905,40.6,87.9,0.46,7.9,21.2,0.38,32.7,66.7,0.49,17.7,23.6,0.75,11.2,34.2,45.4,24.7,8.0,5.2,15.5,23.9,106.9
IND,82,19905,38.5,86.3,0.45,5.3,15.7,0.34,33.2,70.6,0.47,21.8,28.3,0.77,12.2,33.7,45.9,24.7,8.6,5.7,16.4,24.6,104.1
SAS,82,19855,39.1,85.4,0.46,5.9,16.3,0.36,33.2,69.2,0.48,22.4,30.2,0.74,12.2,34.5,46.6,22.1,8.4,7.2,15.8,21.1,106.5
POR,82,19830,40.7,90.4,0.45,6.3,17.9,0.35,34.4,72.5,0.47,19.7,25.8,0.76,14.7,33.1,47.8,26.1,9.5,5.0,15.9,21.8,107.4
BOS,82,19830,37.3,88.1,0.42,9.1,25.5,0.36,28.2,62.6,0.45,19.6,25.6,0.76,11.7,33.6,45.3,22.5,10.4,3.8,14.6,23.2,103.4
NJN,82,19830,40.1,89.9,0.45,5.3,15.7,0.34,34.8,74.1,0.47,18.5,25.1,0.74,13.7,33.2,46.9,26.2,9.4,6.5,15.7,22.9,104.0
UTA,82,19830,38.5,85.5,0.45,3.8,11.3,0.33,34.7,74.2,0.47,24.8,32.6,0.76,14.9,31.5,46.4,26.8,10.0,7.0,18.1,26.4,105.6
LAC,82,19805,40.0,89.7,0.44,5.5,15.4,0.36,34.5,74.3,0.46,20.1,27.3,0.74,14.6,33.3,47.8,23.1,6.9,7.3,16.3,21.8,105.5
CLE,82,19855,39.5,88.1,0.45,5.2,13.7,0.38,34.3,74.4,0.46,20.5,26.5,0.77,13.0,33.2,46.2,25.3,7.7,6.3,16.0,23.5,104.6
PHO,82,19830,41.0,91.8,0.45,4.7,14.5,0.33,36.3,77.3,0.47,16.5,21.6,0.77,14.2,32.2,46.4,24.3,8.8,5.3,16.0,23.6,103.3
DET,82,19680,38.5,85.3,0.45,7.7,20.4,0.38,30.9,64.9,0.48,20.0,26.5,0.76,11.0,32.1,43.0,23.9,8.8,7.7,16.2,23.0,104.8
ALT,82,19780,38.3,87.3,0.44,5.6,15.8,0.35,32.7,71.5,0.46,19.6,25.6,0.76,12.6,32.3,44.9,21.9,8.8,4.6,16.8,22.5,101.8
CHO,82,19755,39.2,89.2,0.44,4.7,13.5,0.35,34.5,75.7,0.46,21.2,28.5,0.74,14.3,33.9,48.3,23.8,8.8,6.2,15.6,23.7,104.3
WAS,82,19730,40.5,91.8,0.44,4.2,10.8,0.39,36.3,80.9,0.45,19.7,25.7,0.76,14.5,33.0,47.5,23.6,7.8,4.9,14.7,24.3,104.8
HOU,82,19980,38.6,90.3,0.43,6.8,20.2,0.34,31.9,70.1,0.46,19.1,25.8,0.74,14.0,32.8,46.8,20.2,7.3,6.1,15.7,20.1,103.1
DEN,82,19805,39.1,92.1,0.42,5.7,17.2,0.33,33.4,74.9,0.45,17.5,23.6,0.74,15.0,31.0,46.0,24.4,8.2,6.2,16.2,25.1,101.4
NYK,82,19805,38.0,88.1,0.43,6.4,18.2,0.35,31.6,69.9,0.45,19.0,24.1,0.79,11.8,33.2,45.0,23.2,7.5,3.9,16.1,24.3,101.5
TOR,82,19755,40.0,92.1,0.43,5.3,15.2,0.35,34.7,76.9,0.45,17.4,23.5,0.74,15.2,32.0,47.2,24.3,9.4,6.2,16.1,24.2,102.6
PHI,82,19730,38.4,88.1,0.44,2.9,9.8,0.3,35.4,78.3,0.45,22.4,28.8,0.78,14.9,34.7,49.6,22.4,9.6,5.0,17.2,22.5,102.1
MEM,82,19780,38.0,87.0,0.44,4.5,14.6,0.31,33.5,72.4,0.46,17.8,25.1,0.71,13.1,32.1,45.2,23.8,8.6,6.5,17.9,20.9,98.2
CHI,82,19805,37.6,86.9,0.43,4.0,11.6,0.35,33.6,75.3,0.45,18.9,26.2,0.72,12.4,31.6,43.9,24.3,8.5,4.8,16.8,24.5,98.2
MIA,82,19930,38.6,87.9,0.44,4.3,12.4,0.35,34.3,75.5,0.45,17.0,23.5,0.72,12.4,35.0,47.5,22.9,7.5,6.2,16.8,25.4,98.5
