TEAM,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
PHO,82,19730,42.6,86.5,0.49,4.9,13.3,0.36,37.7,73.1,0.52,23.3,30.9,0.75,13.9,30.6,44.5,25.4,9.2,5.5,16.6,21.2,113.3
CHO,82,19755,42.6,87.4,0.49,2.1,6.5,0.33,40.5,80.9,0.5,22.2,28.8,0.77,13.3,30.4,43.7,26.2,7.7,5.7,16.1,21.7,109.5
GSW,82,19905,42.1,87.4,0.48,3.6,10.3,0.35,38.5,77.0,0.5,21.4,29.9,0.72,14.8,28.9,43.6,24.3,8.4,4.6,17.6,24.9,109.2
POR,82,19905,40.9,89.4,0.46,3.3,10.3,0.33,37.6,79.1,0.48,23.1,31.0,0.74,14.9,30.5,45.4,24.0,9.4,5.2,14.8,23.0,108.3
SEA,82,19780,43.9,90.2,0.49,2.8,7.7,0.36,41.1,82.5,0.5,21.7,28.5,0.76,15.4,28.5,43.9,24.1,11.9,5.2,16.0,24.9,112.3
SAC,82,19780,40.4,87.4,0.46,3.2,9.5,0.33,37.3,78.0,0.48,22.5,29.5,0.76,13.7,27.5,41.1,25.0,9.2,4.2,16.4,25.1,106.5
IND,82,19755,42.7,88.9,0.48,3.3,10.0,0.33,39.4,78.9,0.5,23.3,30.4,0.77,15.4,31.1,46.5,27.1,7.8,5.1,15.9,25.9,111.9
CLE,82,19830,43.7,87.9,0.5,3.6,9.5,0.38,40.1,78.4,0.51,21.7,27.0,0.8,11.9,31.9,43.7,30.0,7.9,6.8,14.3,20.2,112.7
ALT,82,19830,42.1,90.2,0.47,4.7,13.3,0.36,37.3,76.9,0.49,20.4,27.5,0.74,16.0,29.1,45.1,25.9,10.0,3.4,16.6,22.4,109.3
LAC,82,19805,43.3,89.6,0.48,1.6,6.0,0.27,41.7,83.6,0.5,19.1,26.6,0.72,14.5,28.9,43.3,27.4,10.4,6.0,16.4,23.5,107.4
UTA,82,19755,42.0,85.9,0.49,1.6,5.2,0.31,40.3,80.7,0.5,24.0,31.3,0.77,13.1,31.0,44.1,27.4,9.4,4.3,16.0,24.7,109.6
ORL,82,19880,40.8,84.1,0.49,4.0,11.1,0.36,36.9,73.0,0.5,22.8,31.3,0.73,13.0,32.2,45.2,24.5,6.8,5.9,17.9,24.1,108.5
SAS,82,19855,41.9,85.7,0.49,3.0,8.8,0.34,39.0,76.9,0.51,22.7,29.7,0.76,11.6,32.2,43.8,25.5,7.4,6.5,15.5,23.4,109.6
DEN,82,19830,40.6,88.3,0.46,1.7,5.5,0.3,39.0,82.8,0.47,21.6,28.6,0.76,15.4,31.1,46.4,21.0,7.9,6.9,17.1,24.7,104.6
CHI,82,19830,45.5,94.3,0.48,3.2,8.8,0.36,42.3,85.5,0.49,18.7,25.5,0.73,16.9,29.9,46.8,27.9,10.2,5.4,14.4,23.6,112.9
PHI,82,19930,39.4,86.5,0.46,4.0,11.5,0.35,35.4,75.0,0.47,21.7,27.6,0.79,12.6,29.7,42.3,24.9,8.2,6.9,16.7,19.6,104.6
LAL,82,19830,41.6,88.0,0.47,2.4,7.9,0.3,39.3,80.1,0.49,21.9,29.0,0.76,13.9,28.8,42.7,25.3,9.8,5.4,15.9,22.4,107.6
HOU,82,19780,42.2,86.7,0.49,5.0,13.8,0.36,37.2,72.9,0.51,20.4,26.9,0.76,12.7,32.5,45.2,27.2,8.8,7.0,16.6,21.8,109.6
BOS,82,19780,44.1,90.7,0.49,1.4,4.9,0.29,42.7,85.8,0.5,19.0,24.4,0.78,13.8,31.1,44.9,25.6,8.3,5.9,15.0,23.8,108.7
MIA,82,20005,39.7,86.9,0.46,4.2,11.9,0.35,35.4,75.0,0.47,24.2,31.4,0.77,14.4,30.2,44.6,21.4,7.7,4.4,16.3,25.5,107.7
NJN,82,19780,41.3,89.5,0.46,2.0,6.2,0.32,39.4,83.3,0.47,21.9,28.5,0.77,16.3,31.7,48.0,23.7,8.8,6.6,17.1,23.9,106.5
MIL,82,19730,41.4,87.6,0.47,3.9,11.8,0.33,37.4,75.8,0.49,19.5,26.3,0.74,13.3,26.7,40.0,26.4,10.9,5.0,17.3,25.0,106.2
WAB,82,19805,41.0,87.6,0.47,2.2,7.2,0.3,38.8,80.5,0.48,19.5,26.1,0.75,12.8,28.7,41.5,26.2,8.3,4.5,16.4,22.3,103.6
NYK,82,19930,40.9,87.9,0.46,2.5,7.7,0.32,38.4,80.2,0.48,21.9,29.5,0.74,14.7,33.9,48.6,27.1,8.7,4.7,16.5,26.9,106.1
DET,82,19780,42.5,93.8,0.45,3.8,11.8,0.32,38.7,82.0,0.47,18.6,25.5,0.73,16.8,30.1,46.9,25.3,7.5,3.2,15.0,22.7,107.4
DAL,82,19730,38.7,88.9,0.44,3.5,10.2,0.34,35.2,78.6,0.45,18.7,26.5,0.7,15.1,27.7,42.8,20.6,7.9,4.3,17.8,28.1,99.5
MIN,82,19855,39.2,84.1,0.47,2.1,7.3,0.29,37.1,76.8,0.48,23.1,28.9,0.8,12.1,28.4,40.5,25.8,8.4,5.9,18.3,26.1,103.6
