TEAM,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
PHO,82,19905,42.7,86.4,0.49,9.9,24.8,0.4,32.8,61.6,0.53,18.6,23.0,0.81,9.3,32.6,41.9,26.8,7.0,5.0,15.0,20.9,113.9
GSW,82,19755,40.0,86.4,0.46,8.6,24.1,0.36,31.4,62.3,0.5,18.6,25.9,0.72,11.5,30.1,41.6,23.9,9.2,5.7,16.0,23.7,107.0
DEN,82,19780,39.4,84.7,0.46,6.0,17.9,0.34,33.4,66.8,0.5,22.7,30.5,0.75,12.5,31.9,44.3,23.9,8.4,5.4,16.8,21.9,107.6
WAS,82,19830,39.5,87.7,0.45,7.2,20.8,0.35,32.3,67.0,0.48,23.9,31.2,0.76,12.8,30.6,43.4,21.4,8.2,4.8,14.6,23.5,110.1
LAL,82,20030,39.7,85.4,0.47,7.8,22.1,0.35,32.0,63.3,0.5,21.3,28.5,0.75,11.3,32.0,43.3,23.7,7.7,5.4,16.3,24.2,108.6
MEM,82,19980,38.5,82.7,0.46,6.4,17.5,0.37,32.1,65.3,0.49,23.5,30.9,0.76,11.1,30.5,41.6,21.6,7.2,5.2,17.2,23.4,106.9
UTA,82,19805,40.6,85.6,0.47,4.7,14.0,0.34,35.9,71.6,0.5,24.2,32.6,0.74,13.6,32.5,46.1,26.8,7.6,4.5,16.9,27.3,110.1
SAC,82,19805,37.6,83.5,0.45,6.8,19.3,0.35,30.8,64.2,0.48,24.2,31.6,0.76,10.2,30.6,40.8,21.3,8.6,3.4,15.3,22.9,106.2
DAL,82,19755,40.8,87.4,0.47,7.3,19.1,0.38,33.6,68.4,0.49,22.3,27.7,0.8,12.5,34.1,46.6,22.1,7.6,5.5,15.5,24.9,111.3
MIL,82,19855,40.9,87.9,0.46,6.9,19.3,0.36,34.0,68.6,0.5,18.4,25.1,0.73,12.3,29.7,42.1,23.2,7.7,2.9,16.2,23.8,107.0
TOR,82,19755,39.8,85.9,0.46,7.0,19.2,0.36,32.8,66.7,0.49,20.5,26.0,0.79,9.9,32.5,42.5,23.9,7.6,4.2,14.5,21.9,107.0
SEA,82,19830,40.2,87.4,0.46,6.9,19.1,0.36,33.2,68.2,0.49,19.9,25.2,0.79,12.2,30.6,42.8,22.3,8.3,4.0,16.7,23.7,107.2
CHI,82,19780,39.5,86.3,0.46,6.2,16.0,0.39,33.2,70.3,0.47,19.8,27.0,0.73,12.7,33.6,46.4,23.7,8.3,5.8,17.0,24.7,104.9
SAS,82,19780,40.5,85.5,0.47,8.0,21.1,0.38,32.5,64.4,0.5,20.1,26.8,0.75,10.3,34.8,45.1,24.5,7.9,5.6,15.4,21.5,109.2
NJN,82,19880,38.5,84.3,0.46,8.0,22.1,0.36,30.4,62.1,0.49,20.7,28.5,0.73,10.9,33.4,44.2,25.9,6.6,3.6,16.0,24.7,105.7
NYK,82,20005,38.4,84.0,0.46,6.3,18.1,0.35,32.1,65.9,0.49,22.7,31.7,0.72,13.6,33.3,46.9,20.3,7.2,3.4,18.6,25.5,105.7
HOU,82,19855,38.7,87.0,0.44,9.4,25.2,0.37,29.3,61.8,0.48,19.1,25.4,0.75,11.7,35.6,47.3,22.7,7.8,4.5,15.5,22.8,106.0
CHA,82,20005,38.6,86.6,0.45,6.0,16.7,0.36,32.6,69.9,0.47,20.4,27.8,0.73,12.0,30.6,42.6,23.9,8.3,4.8,16.0,25.9,103.6
CLE,82,19880,39.6,88.5,0.45,6.6,18.7,0.35,33.0,69.9,0.47,19.7,28.4,0.7,13.8,33.6,47.4,22.7,8.3,4.7,15.6,23.7,105.5
MIN,82,20005,39.5,85.8,0.46,5.1,14.4,0.35,34.5,71.4,0.48,19.8,25.0,0.79,10.8,32.6,43.4,24.4,7.0,4.3,16.9,23.2,103.9
DET,82,19880,40.7,89.7,0.45,6.2,18.1,0.34,34.5,71.6,0.48,21.3,27.5,0.77,13.1,32.8,46.0,24.5,8.1,6.5,13.8,23.1,108.9
BOS,82,19855,37.5,84.8,0.44,6.2,16.9,0.37,31.4,67.9,0.46,21.9,28.6,0.77,12.1,31.4,43.5,21.4,7.7,5.0,17.7,25.9,103.2
LAC,82,19730,38.6,84.7,0.46,4.2,12.1,0.35,34.4,72.6,0.47,23.7,30.1,0.79,11.9,33.3,45.2,23.6,8.0,6.3,16.6,24.9,105.1
IND,82,19780,37.7,86.1,0.44,6.3,18.2,0.35,31.4,67.9,0.46,21.2,27.9,0.76,13.0,32.0,45.0,22.0,7.9,5.9,17.5,25.1,102.9
NOK,82,19880,39.8,89.3,0.44,6.1,16.8,0.36,33.7,72.5,0.46,19.2,26.0,0.74,13.7,33.6,47.3,20.6,7.0,4.6,15.9,21.7,104.8
PHI,82,19880,39.0,85.3,0.46,3.8,11.0,0.34,35.2,74.3,0.47,21.8,28.4,0.77,12.0,31.3,43.3,22.2,7.9,5.2,16.7,22.2,103.6
ORL,82,19780,38.8,82.2,0.47,4.6,13.0,0.36,34.2,69.2,0.49,22.7,32.3,0.7,12.4,32.7,45.1,20.6,7.6,5.6,18.8,25.7,104.9
MIA,82,19855,39.2,84.5,0.46,7.1,20.7,0.34,32.1,63.8,0.5,18.7,27.1,0.69,11.0,33.9,44.9,22.6,7.6,5.9,16.1,23.5,104.3
