SEASON,TEAM ID,TEAM,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001,26,SAC,82,20080,39.7,88.2,0.45,6.1,17.1,0.35,33.6,71.1,0.47,20.3,26.3,0.77,12.5,34.2,46.7,23.4,10.0,5.5,15.5,20.2,105.6
2001,17,MIL,82,19780,41.0,89.5,0.46,7.4,19.5,0.38,33.6,70.0,0.48,19.4,24.7,0.79,12.8,32.9,45.8,24.3,8.8,5.1,14.8,25.4,108.8
2001,14,LAL,82,19905,40.9,87.9,0.46,5.8,16.8,0.34,35.1,71.1,0.49,20.9,30.7,0.68,14.3,33.9,48.2,24.8,7.4,6.4,15.6,24.6,108.4
2001,7,DAL,82,19805,40.1,87.3,0.46,6.7,17.6,0.38,33.4,69.7,0.48,20.2,25.4,0.79,10.8,33.4,44.2,22.6,8.0,6.4,14.8,24.8,107.1
2001,28,TOR,82,19955,40.3,92.2,0.44,5.7,15.4,0.37,34.6,76.8,0.45,19.6,26.2,0.75,14.8,33.4,48.2,26.5,7.9,6.9,14.3,23.1,105.9
2001,22,ORL,82,19955,38.9,88.7,0.44,6.3,17.4,0.36,32.6,71.4,0.46,19.1,26.7,0.71,13.8,31.6,45.4,23.3,8.7,6.2,16.1,26.7,103.2
2001,18,MIN,82,19830,41.5,90.5,0.46,4.2,11.9,0.36,37.2,78.7,0.47,18.0,22.9,0.78,13.2,32.6,45.8,27.5,9.0,6.0,15.0,25.0,105.2
2001,21,SEA,82,19805,40.1,88.0,0.46,6.2,15.5,0.4,33.9,72.5,0.47,19.2,26.3,0.73,13.2,32.1,45.3,23.7,8.7,5.4,16.6,22.9,105.6
2001,11,HOU,82,19830,39.4,86.9,0.45,6.7,18.9,0.36,32.7,68.0,0.48,21.2,27.9,0.76,12.3,33.8,46.1,21.6,7.9,4.8,16.1,22.2,106.7
2001,29,UTA,82,19780,40.0,85.0,0.47,4.4,11.5,0.38,35.6,73.5,0.48,23.2,30.8,0.75,12.7,32.2,45.0,28.5,8.9,6.3,17.5,28.5,107.6
2001,8,DEN,82,19780,39.0,90.1,0.43,6.7,18.9,0.36,32.3,71.2,0.45,19.0,25.7,0.74,13.7,33.8,47.5,25.8,7.2,7.0,14.9,23.8,103.7
2001,27,SAS,82,19830,39.0,84.6,0.46,6.0,14.8,0.41,33.0,69.8,0.47,22.6,31.6,0.72,12.2,36.6,48.8,24.0,7.7,7.8,15.5,21.0,106.6
2001,9,DET,82,19855,37.2,87.8,0.42,5.0,14.2,0.35,32.3,73.6,0.44,20.5,28.5,0.72,14.1,33.5,47.6,20.8,7.8,5.7,16.6,24.9,100.0
2001,25,POR,82,19780,40.9,87.3,0.47,5.0,14.4,0.35,35.9,73.0,0.49,19.7,25.8,0.76,13.1,33.8,46.8,26.7,9.1,5.7,17.1,23.8,106.5
2001,23,PHI,82,19855,38.7,86.6,0.45,3.5,10.7,0.33,35.2,75.8,0.46,22.6,30.4,0.74,14.3,34.7,49.0,22.6,9.2,5.4,17.2,22.3,103.6
2001,2,BOS,82,19830,36.3,84.8,0.43,7.7,21.3,0.36,28.5,63.4,0.45,21.2,28.6,0.74,11.7,30.9,42.7,22.3,10.1,4.4,16.8,25.5,101.4
2001,24,PHO,82,19805,38.3,87.9,0.44,4.3,13.7,0.32,34.0,74.2,0.46,19.4,25.7,0.76,12.6,32.9,45.5,24.8,10.1,5.6,16.3,24.3,100.3
2001,30,WAS,82,19680,37.3,84.9,0.44,3.6,11.2,0.32,33.7,73.8,0.46,22.4,29.5,0.76,13.4,31.2,44.6,21.7,8.3,5.0,18.3,25.2,100.6
2001,12,IND,82,19980,38.0,86.4,0.44,5.3,15.6,0.34,32.7,70.8,0.46,20.7,27.0,0.77,12.4,34.9,47.2,23.7,7.6,6.5,16.7,25.9,102.0
2001,10,GSW,82,19780,37.9,92.5,0.41,3.6,12.4,0.29,34.2,80.1,0.43,18.4,26.1,0.71,17.3,30.8,48.1,23.1,9.6,5.3,16.8,22.3,97.8
2001,13,LAC,82,20030,38.7,86.4,0.45,4.8,14.2,0.34,33.9,72.2,0.47,19.1,27.5,0.69,12.9,34.2,47.1,21.2,6.5,6.9,17.3,23.7,101.3
2001,6,CLE,82,19830,38.3,86.7,0.44,2.9,8.7,0.33,35.4,77.9,0.46,20.7,27.1,0.76,13.5,32.4,45.8,22.7,8.5,5.8,17.9,25.3,100.3
2001,3,NJN,82,19730,36.8,86.8,0.42,4.8,14.4,0.33,32.1,72.4,0.44,21.6,28.4,0.76,12.0,31.0,43.0,21.2,8.6,5.4,16.0,26.3,100.0
2001,4,CHO,82,19880,37.8,87.8,0.43,4.6,13.3,0.35,33.2,74.5,0.45,21.6,29.0,0.74,13.9,35.2,49.2,25.7,9.0,6.1,16.0,23.7,101.8
2001,15,VAN,82,19780,38.0,86.5,0.44,4.3,12.5,0.34,33.7,74.0,0.46,19.3,25.0,0.77,11.8,32.2,44.0,25.1,7.8,4.8,17.1,22.9,99.6
2001,1,ALT,82,19730,38.0,88.2,0.43,4.4,12.3,0.36,33.6,75.9,0.44,18.2,24.0,0.76,13.6,32.9,46.5,20.6,8.4,5.1,18.1,24.6,98.7
2001,16,MIA,82,19880,37.4,86.8,0.43,6.6,19.2,0.34,30.7,67.6,0.46,19.7,26.0,0.76,11.3,33.8,45.0,22.6,8.8,4.2,15.6,23.9,101.1
2001,20,NYK,82,19905,38.3,86.2,0.44,5.4,15.5,0.35,32.9,70.7,0.46,19.1,24.0,0.8,10.8,35.1,45.9,21.1,7.6,4.8,16.5,25.9,101.2
2001,5,CHI,82,19855,36.8,86.8,0.42,4.5,12.9,0.35,32.4,73.9,0.44,19.1,25.8,0.74,12.5,30.6,43.1,24.5,9.1,5.1,17.5,25.7,97.2
