TEAM,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DEN,82,19780,43.4,91.6,0.47,2.2,6.5,0.34,41.2,85.1,0.48,21.2,26.3,0.8,13.4,28.1,41.5,26.5,9.6,4.6,13.6,22.8,110.1
POR,82,19730,43.0,87.6,0.49,1.4,4.5,0.31,41.6,83.1,0.5,24.4,31.7,0.77,14.7,29.3,43.9,27.1,8.5,4.1,15.9,24.6,111.8
BOS,82,19780,44.6,85.5,0.52,3.4,8.7,0.38,41.2,76.8,0.54,22.9,28.5,0.8,11.5,30.2,41.8,30.3,7.7,5.1,16.2,22.3,115.4
SAS,82,19805,43.0,87.8,0.49,1.5,4.8,0.32,41.5,83.0,0.5,20.5,28.0,0.73,13.7,27.1,40.9,27.2,8.6,5.4,16.5,23.1,108.2
LAL,82,19805,43.7,86.6,0.5,1.7,5.8,0.3,42.0,80.7,0.52,23.9,30.3,0.79,13.1,30.5,43.6,28.7,8.2,4.9,16.1,21.0,113.1
SEA,82,19855,42.7,89.8,0.48,2.7,7.7,0.35,40.1,82.1,0.49,22.0,29.5,0.75,15.8,27.9,43.7,25.9,9.3,5.4,16.6,28.7,110.2
DAL,82,19755,42.7,90.1,0.48,1.9,6.6,0.29,40.8,83.5,0.49,24.8,31.4,0.79,16.8,31.2,48.0,24.8,8.1,5.6,15.7,21.7,112.2
DET,82,19780,42.7,86.6,0.49,0.7,2.5,0.29,42.0,84.1,0.5,24.4,32.2,0.76,14.6,30.6,45.2,24.8,7.3,4.9,16.6,24.1,110.5
HOU,82,19680,41.5,88.1,0.47,0.8,3.5,0.24,40.7,84.6,0.48,23.2,29.8,0.78,14.8,30.3,45.2,23.2,8.5,6.0,16.4,22.3,107.1
PHO,82,19730,42.7,87.8,0.49,1.4,4.3,0.33,41.3,83.5,0.49,20.2,26.4,0.76,13.4,28.6,42.0,28.0,8.1,4.2,17.0,24.6,107.0
UTA,82,19705,41.8,85.1,0.49,1.5,4.8,0.32,40.2,80.2,0.5,21.6,28.8,0.75,12.8,30.6,43.4,28.9,9.2,7.5,17.8,23.8,106.8
SAC,82,19780,41.6,88.2,0.47,1.7,5.4,0.32,39.8,82.8,0.48,21.6,27.9,0.77,14.8,29.6,44.4,25.4,7.0,5.9,17.5,22.8,106.5
ALT,82,19780,43.3,89.4,0.48,1.1,3.6,0.3,42.3,85.9,0.49,23.6,30.7,0.77,15.5,30.0,45.4,26.0,8.0,6.8,15.4,25.8,111.3
GSW,82,19780,41.4,88.4,0.47,1.1,3.7,0.29,40.3,84.7,0.48,20.9,26.3,0.8,13.6,26.9,40.5,23.9,8.8,3.4,16.7,25.7,104.7
MIL,82,19780,41.9,88.0,0.48,1.7,5.1,0.32,40.2,82.9,0.48,22.8,29.4,0.78,13.9,29.0,42.9,27.3,8.3,4.7,15.9,24.7,108.2
PHI,82,19905,40.4,85.2,0.47,1.9,5.9,0.32,38.4,79.3,0.48,26.2,34.3,0.76,15.3,29.0,44.3,23.8,8.4,5.8,18.0,23.4,108.8
NYK,82,19805,41.1,88.5,0.46,2.2,6.9,0.32,38.9,81.5,0.48,21.4,28.2,0.76,15.7,26.8,42.6,24.6,9.7,5.4,18.6,28.9,105.9
WAB,82,19880,41.3,88.1,0.47,0.4,1.7,0.21,40.9,86.5,0.47,23.6,30.5,0.77,15.1,28.3,43.4,23.1,8.6,6.2,17.0,23.6,106.5
CHI,82,19855,43.5,88.8,0.49,0.7,3.1,0.23,42.8,85.7,0.5,21.3,28.1,0.76,14.8,31.1,46.0,27.2,9.0,6.0,16.0,23.4,109.0
IND,82,19705,42.7,88.9,0.48,2.0,6.0,0.34,40.7,82.9,0.49,19.2,24.6,0.78,13.4,30.5,43.9,24.6,7.7,4.3,16.4,25.3,106.6
CLE,82,19780,41.3,84.2,0.49,1.6,4.2,0.38,39.7,80.0,0.5,22.6,30.4,0.74,12.7,28.5,41.2,25.8,9.1,6.6,17.9,22.9,106.8
NJN,82,19780,39.5,84.4,0.47,1.7,5.6,0.3,37.8,78.8,0.48,20.7,28.4,0.73,13.2,27.8,41.1,22.1,8.9,4.7,18.5,25.1,101.4
LAC,82,19805,38.3,86.5,0.44,0.9,3.8,0.25,37.4,82.7,0.45,19.8,27.7,0.71,14.3,28.2,42.6,22.7,8.7,6.2,18.4,22.9,97.4
