Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
2008,19,2267,NOH,New Orleans Hornets,Chris Paul,1985-05-06,22.0,NBA,PG,12.0,12.0,486.0,111.0,221.0,0.5,5.0,21.0,0.24,106.0,200.0,0.53,0.51,62.0,79.0,0.78,16.0,43.0,59.0,135.0,28.0,2.0,22.0,43.0,289.0,1.0
2009,19,2267,NOH,New Orleans Hornets,Chris Paul,1985-05-06,23.0,NBA,PG,5.0,5.0,201.0,30.0,73.0,0.41,5.0,16.0,0.31,25.0,57.0,0.44,0.44,18.0,21.0,0.86,4.0,18.0,22.0,52.0,8.0,0.0,24.0,8.0,83.0,0.0
2011,19,2267,NOH,New Orleans Hornets,Chris Paul,1985-05-06,25.0,NBA,PG,6.0,6.0,250.0,42.0,77.0,0.55,9.0,19.0,0.47,33.0,58.0,0.57,0.6,39.0,49.0,0.8,3.0,37.0,40.0,69.0,11.0,0.0,22.0,11.0,132.0,1.0
2012,13,2267,LAC,Los Angeles Clippers,Chris Paul,1985-05-06,26.0,NBA,PG,11.0,11.0,423.0,70.0,164.0,0.43,13.0,39.0,0.33,57.0,125.0,0.46,0.47,41.0,47.0,0.87,6.0,50.0,56.0,87.0,30.0,1.0,43.0,30.0,194.0,0.0
2013,13,2267,LAC,Los Angeles Clippers,Chris Paul,1985-05-06,27.0,NBA,PG,6.0,6.0,224.0,49.0,92.0,0.53,6.0,19.0,0.32,43.0,73.0,0.59,0.56,33.0,37.0,0.89,3.0,21.0,24.0,38.0,11.0,0.0,9.0,17.0,137.0,0.0
2014,13,2267,LAC,Los Angeles Clippers,Chris Paul,1985-05-06,28.0,NBA,PG,13.0,13.0,472.0,92.0,197.0,0.47,32.0,70.0,0.46,60.0,127.0,0.47,0.55,41.0,53.0,0.77,12.0,43.0,55.0,134.0,37.0,0.0,39.0,50.0,257.0,0.0
2015,13,2267,LAC,Los Angeles Clippers,Chris Paul,1985-05-06,29.0,NBA,PG,12.0,12.0,445.0,95.0,189.0,0.5,27.0,65.0,0.42,68.0,124.0,0.55,0.57,48.0,51.0,0.94,7.0,46.0,53.0,105.0,22.0,3.0,26.0,37.0,265.0,0.0
2016,13,2267,LAC,Los Angeles Clippers,Chris Paul,1985-05-06,30.0,NBA,PG,4.0,4.0,125.0,37.0,76.0,0.49,6.0,20.0,0.3,31.0,56.0,0.55,0.53,15.0,15.0,1.0,4.0,12.0,16.0,29.0,9.0,0.0,4.0,12.0,95.0,0.0
2017,13,2267,LAC,Los Angeles Clippers,Chris Paul,1985-05-06,31.0,NBA,PG,7.0,7.0,260.0,67.0,135.0,0.5,14.0,38.0,0.37,53.0,97.0,0.55,0.55,29.0,33.0,0.88,4.0,31.0,35.0,69.0,12.0,1.0,19.0,24.0,177.0,0.0
2018,11,2267,HOU,Houston Rockets,Chris Paul,1985-05-06,32.0,NBA,PG,15.0,15.0,517.0,118.0,257.0,0.46,37.0,99.0,0.37,81.0,158.0,0.51,0.53,44.0,53.0,0.83,9.0,80.0,89.0,87.0,30.0,4.0,28.0,47.0,317.0,0.0
2019,11,2267,HOU,Houston Rockets,Chris Paul,1985-05-06,33.0,NBA,PG,11.0,11.0,397.0,66.0,148.0,0.45,17.0,63.0,0.27,49.0,85.0,0.58,0.5,38.0,45.0,0.84,14.0,56.0,70.0,60.0,24.0,7.0,37.0,36.0,187.0,0.0
2020,21,2267,OKC,Oklahoma City Thunder,Chris Paul,1985-05-06,34.0,NBA,PG,7.0,7.0,261.0,55.0,112.0,0.49,16.0,43.0,0.37,39.0,69.0,0.56,0.56,23.0,26.0,0.88,3.0,49.0,52.0,37.0,11.0,3.0,23.0,18.0,149.0,1.0
