PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Ron Harper,30.0,75,75.0,2856,569,1335,0.426,71,236,0.301,498,1099,0.45299999999999996,0.45299999999999996,299,418,0.715,129,331,460,344,144,54,242,167,1508
Mark Jackson,28.0,79,79.0,2711,331,732,0.452,36,127,0.28300000000000003,295,605,0.488,0.47700000000000004,167,211,0.7909999999999999,107,241,348,678,120,6,232,115,865
Loy Vaught,25.0,75,56.0,2118,373,695,0.537,0,5,0.0,373,690,0.541,0.537,131,182,0.72,218,438,656,74,76,22,96,221,877
Elmore Spencer,24.0,76,63.0,1930,288,540,0.5329999999999999,0,2,0.0,288,538,0.535,0.5329999999999999,97,162,0.599,96,319,415,75,30,127,168,208,673
Danny Manning,27.0,42,41.0,1595,409,829,0.493,2,14,0.14300000000000002,407,815,0.499,0.495,174,258,0.674,82,214,296,176,53,57,147,167,994
Gary Grant,28.0,78,8.0,1533,253,563,0.449,17,62,0.27399999999999997,236,501,0.47100000000000003,0.46399999999999997,65,76,0.855,42,100,142,291,119,12,136,139,588
Dominique Wilkins,34.0,25,25.0,948,268,592,0.45299999999999996,24,97,0.247,244,495,0.493,0.473,167,200,0.835,63,113,176,55,29,8,52,39,727
Harold Ellis,23.0,49,16.0,923,159,292,0.545,0,4,0.0,159,288,0.552,0.545,106,149,0.711,94,59,153,31,73,2,43,97,424
Bo Outlaw,22.0,37,14.0,871,98,167,0.5870000000000001,0,2,0.0,98,165,0.594,0.5870000000000001,61,103,0.5920000000000001,81,131,212,36,36,37,31,94,257
Mark Aguirre,34.0,39,0.0,859,163,348,0.46799999999999997,37,93,0.39799999999999996,126,255,0.494,0.522,50,72,0.6940000000000001,28,88,116,104,21,8,70,98,413
Terry Dehere,22.0,64,6.0,759,129,342,0.377,23,57,0.40399999999999997,106,285,0.37200000000000005,0.41100000000000003,61,81,0.753,25,43,68,78,28,3,61,69,342
John Williams,27.0,34,6.0,725,81,188,0.431,5,20,0.25,76,168,0.452,0.444,24,36,0.667,37,90,127,97,25,10,35,85,191
Tom Tolbert,28.0,49,6.0,640,74,177,0.418,6,16,0.375,68,161,0.42200000000000004,0.435,33,45,0.733,36,72,108,30,13,15,39,61,187
Bob Martin,24.0,53,1.0,535,40,88,0.455,0,0,,40,88,0.455,0.455,31,51,0.608,36,81,117,17,8,33,29,106,111
Randy Woods,23.0,40,0.0,352,49,133,0.368,27,78,0.34600000000000003,22,55,0.4,0.47,20,35,0.5710000000000001,13,16,29,71,24,2,34,40,145
Stanley Roberts,23.0,14,14.0,350,43,100,0.43,0,0,,43,100,0.43,0.43,18,44,0.409,27,66,93,11,6,25,24,54,104
Henry James,28.0,12,0.0,75,16,42,0.381,4,18,0.222,12,24,0.5,0.429,5,5,1.0,6,8,14,1,2,0,2,9,41
Team Totals,,82,,19780,3343,7163,0.467,252,831,0.303,3091,6332,0.488,0.484,1509,2128,0.7090000000000001,1120,2410,3530,2169,807,421,1474,1769,8447
