Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
2020,2,1105,BOS,Boston Celtics,Javonte Green,"July 23, 1993",26.0,NBA,SG,48,2,468,6.5,13.0,0.5,0.9,3.4,0.27,5.6,9.6,0.58,2.9,4.3,0.67,2.5,7.1,9.6,2.7,2.5,0.8,2.4,4.4,16.8,110,106
2021,2,1105,BOS,Boston Celtics,Javonte Green,"July 23, 1993",27.0,NBA,SG,13,0,212,5.3,10.8,0.49,0.9,3.7,0.25,4.4,7.1,0.61,2.8,4.4,0.63,3.5,4.8,8.3,1.8,2.5,0.2,1.8,3.0,14.3,114,112
