Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012,16,MIA,Miami Heat,LeBron James,27.0,62,62.0,2326,621,1169,0.53,54,149,0.36,567,1020,0.56,0.55,387,502,0.77,94,398,492,387,115,50,213,96,1683
2012,16,MIA,Miami Heat,Chris Bosh,27.0,57,57.0,2007,393,807,0.49,10,35,0.29,383,772,0.5,0.49,229,279,0.82,94,358,452,103,51,45,117,128,1025
2012,16,MIA,Miami Heat,Mario Chalmers,25.0,64,64.0,1825,223,498,0.45,101,260,0.39,122,238,0.51,0.55,80,101,0.79,16,155,171,222,97,11,142,166,627
2012,16,MIA,Miami Heat,Dwyane Wade,30.0,49,49.0,1625,416,837,0.5,15,56,0.27,401,781,0.51,0.51,235,297,0.79,73,164,237,225,82,63,129,110,1082
2012,16,MIA,Miami Heat,Udonis Haslem,31.0,64,10.0,1589,151,357,0.42,0,0,,151,357,0.42,0.42,83,102,0.81,117,353,470,42,35,24,60,142,385
2012,16,MIA,Miami Heat,Shane Battier,33.0,65,10.0,1499,113,292,0.39,62,183,0.34,51,109,0.47,0.49,23,37,0.62,56,100,156,82,64,33,37,105,311
2012,16,MIA,Miami Heat,Joel Anthony,29.0,64,51.0,1349,85,152,0.56,0,0,,85,152,0.56,0.56,49,71,0.69,100,150,250,9,36,84,45,126,219
2012,16,MIA,Miami Heat,Norris Cole,23.0,65,2.0,1260,177,450,0.39,21,76,0.28,156,374,0.42,0.42,66,85,0.78,21,70,91,133,44,2,105,124,441
2012,16,MIA,Miami Heat,Mike Miller,31.0,39,2.0,752,91,209,0.44,53,117,0.45,38,92,0.41,0.56,2,5,0.4,22,106,128,42,14,6,30,58,237
2012,16,MIA,Miami Heat,James Jones,31.0,51,10.0,666,57,150,0.38,46,114,0.4,11,36,0.31,0.53,25,30,0.83,6,43,49,19,17,9,10,45,185
2012,16,MIA,Miami Heat,Terrel Harris,24.0,22,1.0,318,29,83,0.35,8,39,0.2,21,44,0.48,0.4,14,21,0.67,18,33,51,26,9,2,25,34,80
2012,16,MIA,Miami Heat,Dexter Pittman,23.0,35,6.0,301,44,94,0.47,0,0,,44,94,0.47,0.47,18,28,0.64,27,44,71,9,8,8,17,73,106
2012,16,MIA,Miami Heat,Ronny Turiaf,29.0,13,5.0,221,16,30,0.53,0,1,0.0,16,29,0.55,0.53,13,22,0.59,19,39,58,5,8,14,8,32,45
2012,16,MIA,Miami Heat,Juwan Howard,38.0,28,0.0,190,17,55,0.31,0,0,,17,55,0.31,0.31,8,10,0.8,18,29,47,10,4,1,20,18,42
2012,16,MIA,Miami Heat,Eddy Curry,29.0,14,1.0,83,12,26,0.46,0,0,,12,26,0.46,0.46,6,8,0.75,4,8,12,1,0,2,10,17,30
2012,16,MIA,Miami Heat,Mickell Gladness,25.0,8,0.0,28,1,3,0.33,0,0,,1,3,0.33,0.33,0,0,,1,10,11,2,1,1,3,8,2
2012,16,MIA,Miami Heat,Team Totals,,66,,16040,2446,5212,0.47,370,1030,0.36,2076,4182,0.5,0.5,1238,1598,0.78,686,2060,2746,1317,585,355,1002,1282,6500
