Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995,6,CLE,Cleveland Cavaliers,Bobby Phills,25,4,4,146,4.7,10.6,0.44,1.0,1.7,0.57,3.7,8.9,0.42,3.7,4.9,0.75,0.7,2.2,3.0,1.5,2.2,0.0,2.2,2.0,14.1
1995,6,CLE,Cleveland Cavaliers,Hot Rod Williams,32,4,4,144,3.0,10.5,0.29,0.0,0.2,0.0,3.0,10.2,0.29,0.7,2.0,0.38,0.7,5.5,6.2,2.7,2.3,0.7,2.5,2.7,6.8
1995,6,CLE,Cleveland Cavaliers,Mark Price,30,4,4,143,3.0,10.1,0.3,1.0,4.3,0.24,2.0,5.8,0.35,8.1,8.3,0.97,0.5,2.5,3.0,6.5,1.5,0.0,4.5,1.3,15.1
1995,6,CLE,Cleveland Cavaliers,Tyrone Hill,26,4,4,139,2.3,7.5,0.31,0.0,0.3,0.0,2.3,7.3,0.32,4.1,6.5,0.64,2.1,3.9,6.0,0.8,1.8,0.3,2.6,4.7,8.8
1995,6,CLE,Cleveland Cavaliers,Chris Mills,25,4,4,139,5.2,9.6,0.54,2.1,3.6,0.57,3.1,6.0,0.52,1.3,1.3,1.0,0.5,3.6,4.1,2.8,0.8,0.5,1.6,4.7,13.7
1995,6,CLE,Cleveland Cavaliers,Michael Cage,33,4,0,81,3.6,8.0,0.44,0.0,0.4,0.0,3.6,7.6,0.47,0.0,0.9,0.0,3.6,4.4,8.0,1.3,0.9,1.8,0.4,4.0,7.1
1995,6,CLE,Cleveland Cavaliers,Danny Ferry,28,4,0,67,7.0,13.4,0.52,4.3,8.1,0.53,2.7,5.4,0.5,2.1,3.2,0.67,0.0,1.6,1.6,3.2,1.1,0.0,0.0,4.8,20.4
1995,6,CLE,Cleveland Cavaliers,Steve Colter,32,4,0,43,4.2,8.4,0.5,0.0,0.8,0.0,4.2,7.5,0.56,1.7,3.3,0.5,0.8,0.0,0.8,1.7,0.8,0.0,0.0,1.7,10.0
1995,6,CLE,Cleveland Cavaliers,Tony Campbell,32,4,0,37,5.8,13.6,0.43,1.0,1.9,0.5,4.9,11.7,0.42,9.7,11.7,0.83,1.0,1.0,1.9,1.0,1.0,1.0,2.9,2.9,22.4
1995,6,CLE,Cleveland Cavaliers,John Battle,32,2,0,7,10.3,15.4,0.67,0.0,5.1,0.0,10.3,10.3,1.0,0.0,0.0,,0.0,0.0,0.0,5.1,0.0,0.0,0.0,5.1,20.6
1995,6,CLE,Cleveland Cavaliers,Greg Dreiling,32,1,0,7,0.0,10.3,0.0,0.0,0.0,,0.0,10.3,0.0,0.0,0.0,,0.0,5.1,5.1,0.0,0.0,0.0,0.0,10.3,0.0
1995,6,CLE,Cleveland Cavaliers,Fred Roberts,34,1,0,7,15.4,20.6,0.75,0.0,0.0,,15.4,20.6,0.75,0.0,10.3,0.0,5.1,5.1,10.3,0.0,0.0,0.0,5.1,0.0,30.9
