Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1986,5,2181,CHI,Charlotte Bobcats,22.0,NBA,PF,3.0,3.0,88.0,11.0,21.0,0.52,0.0,0.0,,11.0,21.0,0.52,0.52,8.0,13.0,0.62,10.0,20.0,30.0,3.0,6.0,2.0,5.0,13.0,30.0
1987,5,2181,CHI,Charlotte Bobcats,23.0,NBA,PF,3.0,3.0,129.0,19.0,50.0,0.38,2.0,4.0,0.5,17.0,46.0,0.37,0.4,20.0,24.0,0.83,17.0,29.0,46.0,6.0,4.0,1.0,8.0,13.0,60.0
1988,5,2181,CHI,Charlotte Bobcats,24.0,NBA,PF,10.0,10.0,373.0,40.0,91.0,0.44,0.0,2.0,0.0,40.0,89.0,0.45,0.44,21.0,24.0,0.88,39.0,89.0,128.0,32.0,6.0,4.0,18.0,33.0,101.0
1989,20,2181,NYK,New York Knicks,25.0,NBA,PF,9.0,9.0,299.0,35.0,73.0,0.48,1.0,2.0,0.5,34.0,71.0,0.48,0.49,16.0,24.0,0.67,43.0,58.0,101.0,11.0,12.0,1.0,22.0,31.0,87.0
1990,20,2181,NYK,New York Knicks,26.0,NBA,PF,10.0,8.0,336.0,43.0,84.0,0.51,1.0,1.0,1.0,42.0,83.0,0.51,0.52,34.0,52.0,0.65,39.0,71.0,110.0,27.0,11.0,2.0,22.0,33.0,121.0
1991,20,2181,NYK,New York Knicks,27.0,NBA,PF,3.0,3.0,100.0,10.0,21.0,0.48,0.0,0.0,,10.0,21.0,0.48,0.48,3.0,6.0,0.5,15.0,16.0,31.0,3.0,2.0,1.0,7.0,13.0,23.0
1992,20,2181,NYK,New York Knicks,28.0,NBA,PF,12.0,12.0,354.0,22.0,58.0,0.38,0.0,0.0,,22.0,58.0,0.38,0.38,20.0,27.0,0.74,44.0,64.0,108.0,8.0,8.0,5.0,15.0,36.0,64.0
1993,20,2181,NYK,New York Knicks,29.0,NBA,PF,15.0,15.0,507.0,63.0,131.0,0.48,0.0,0.0,,63.0,131.0,0.48,0.48,40.0,55.0,0.73,71.0,94.0,165.0,17.0,16.0,2.0,36.0,51.0,166.0
1994,20,2181,NYK,New York Knicks,30.0,NBA,PF,25.0,25.0,992.0,125.0,262.0,0.48,0.0,0.0,,125.0,262.0,0.48,0.48,79.0,102.0,0.78,116.0,176.0,292.0,59.0,35.0,5.0,65.0,87.0,329.0
1995,20,2181,NYK,New York Knicks,31.0,NBA,PF,11.0,11.0,421.0,49.0,109.0,0.45,4.0,10.0,0.4,45.0,99.0,0.46,0.47,42.0,51.0,0.82,31.0,62.0,93.0,41.0,19.0,6.0,24.0,42.0,144.0
1996,20,2181,NYK,New York Knicks,32.0,NBA,PF,8.0,8.0,308.0,39.0,78.0,0.5,2.0,6.0,0.33,37.0,72.0,0.51,0.51,25.0,36.0,0.69,28.0,41.0,69.0,14.0,8.0,0.0,28.0,33.0,105.0
1997,20,2181,NYK,New York Knicks,33.0,NBA,PF,10.0,10.0,358.0,38.0,86.0,0.44,0.0,1.0,0.0,38.0,85.0,0.45,0.44,22.0,29.0,0.76,23.0,65.0,88.0,16.0,22.0,3.0,18.0,37.0,98.0
1998,20,2181,NYK,New York Knicks,34.0,NBA,PF,10.0,10.0,342.0,29.0,71.0,0.41,0.0,0.0,,29.0,71.0,0.41,0.41,23.0,25.0,0.92,21.0,64.0,85.0,14.0,11.0,2.0,13.0,38.0,81.0
2001,28,2181,TOR,Toronto Raptors,37.0,NBA,PF,12.0,12.0,391.0,47.0,108.0,0.44,3.0,8.0,0.38,44.0,100.0,0.44,0.45,14.0,17.0,0.82,20.0,56.0,76.0,21.0,12.0,7.0,22.0,29.0,111.0
