Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1991,22.0,CHH,NBA,SG,82.0,36.0,1944.0,9.5,21.2,0.45,0.1,0.4,0.143,9.5,20.9,0.455,3.9,4.6,0.835,2.7,4.0,6.7,7.7,2.6,1.0,4.1,4.7,23.0,,100.0,110.0
1992,23.0,CHH,NBA,SG,79.0,79.0,2906.0,10.8,23.2,0.467,0.1,0.4,0.24,10.7,22.8,0.471,4.6,6.2,0.745,2.7,3.9,6.5,5.3,2.5,0.7,2.9,3.9,26.4,,106.0,111.0
1993,24.0,CHH,NBA,SG,69.0,67.0,2430.0,9.1,20.3,0.449,0.3,1.2,0.274,8.8,19.1,0.46,4.4,5.7,0.772,2.4,4.3,6.7,5.3,1.9,0.7,3.4,3.8,23.0,,103.0,111.0
1994,25.0,SEA,NBA,SG,79.0,77.0,2435.0,8.9,20.1,0.443,0.8,2.5,0.317,8.1,17.6,0.461,4.5,5.7,0.782,1.9,3.7,5.6,5.7,3.1,0.7,3.0,4.0,23.0,,108.0,103.0
1995,26.0,SEA,NBA,SG,73.0,58.0,2125.0,9.3,20.3,0.457,1.5,4.0,0.368,7.8,16.3,0.479,3.7,4.9,0.742,2.3,4.5,6.9,4.5,2.8,0.7,3.3,4.4,23.7,,107.0,107.0
1996,27.0,TOT,NBA,SG,47.0,46.0,1683.0,7.7,16.4,0.469,0.8,2.5,0.329,6.9,13.9,0.494,4.3,5.5,0.784,2.2,5.0,7.2,8.1,2.0,0.7,4.1,4.1,20.5,,109.0,111.0
1996,27.0,CHH,NBA,SG,36.0,36.0,1265.0,7.4,15.4,0.481,0.7,2.2,0.315,6.7,13.2,0.509,3.7,4.8,0.761,2.3,5.5,7.8,9.3,1.7,0.9,4.6,4.2,19.2,,108.0,112.0
1996,27.0,NJN,NBA,SG,11.0,10.0,418.0,8.5,19.2,0.441,1.1,3.2,0.36,7.3,16.0,0.457,6.2,7.5,0.831,2.0,3.4,5.4,4.4,2.8,0.3,2.7,3.8,24.3,,114.0,108.0
1997,28.0,NJN,NBA,SF,82.0,81.0,3199.0,10.5,23.6,0.443,1.2,3.6,0.336,9.3,20.0,0.462,6.9,8.7,0.797,3.0,5.1,8.1,5.3,2.5,0.7,3.5,3.7,29.1,,112.0,109.0
1998,29.0,NJN,NBA,SF,81.0,81.0,2733.0,8.1,18.8,0.429,0.5,1.9,0.257,7.6,16.8,0.449,4.3,6.3,0.688,2.2,5.4,7.5,3.9,3.0,1.2,2.4,5.2,21.0,,106.0,105.0
1999,30.0,NJN,NBA,SF,50.0,47.0,1606.0,7.7,19.4,0.398,0.1,0.6,0.118,7.6,18.8,0.406,3.7,5.5,0.683,2.0,6.0,8.0,4.0,4.4,0.8,2.3,5.3,19.2,,96.0,100.0
2001,32.0,NJN,NBA,SG,31.0,26.0,892.0,6.3,18.9,0.331,0.2,0.8,0.286,6.0,18.1,0.333,3.8,5.3,0.722,1.9,5.8,7.7,5.1,2.8,0.4,2.8,3.8,16.6,,85.0,105.0
2002,33.0,MIA,NBA,SG,65.0,49.0,1410.0,6.3,16.4,0.384,0.2,1.7,0.136,6.1,14.7,0.413,1.6,2.4,0.677,1.1,6.0,7.2,3.9,1.7,0.3,2.1,5.5,14.5,,87.0,101.0
2003,34.0,MIN,NBA,SG,82.0,34.0,2068.0,7.2,17.1,0.422,0.5,1.5,0.322,6.7,15.6,0.432,3.1,4.1,0.764,1.3,5.0,6.3,3.9,2.0,0.4,2.7,4.4,18.0,,96.0,105.0
2004,35.0,CHI,NBA,SG,56.0,35.0,1411.0,7.9,20.2,0.392,0.3,1.4,0.237,7.6,18.8,0.404,3.7,5.0,0.735,2.3,4.8,7.0,3.3,2.4,0.6,3.1,3.9,19.9,,90.0,104.0
2005,36.0,MIL,NBA,SG,14.0,0.0,284.0,6.0,14.9,0.4,0.6,1.7,0.333,5.4,13.2,0.408,3.4,3.7,0.9,2.0,4.8,6.9,5.0,2.6,0.7,1.7,6.9,15.8,,107.0,108.0
