Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2001,21,3217,SEA,Seattle Supersonics,27.0,NBA,PF,34.0,305.0,6.4,0.4,0.02,0.43,4.5,12.7,8.7,1.4,1.0,4.3,11.3,15.7,,-0.3,0.2,-0.1,-0.01,,-5.3,-0.6,-5.9,-0.3
2003,2,3217,BOS,Boston Celtics,29.0,NBA,PF,7.0,24.0,1.2,0.43,0.25,1.0,0.0,4.8,2.4,7.0,0.0,0.0,14.8,13.1,,0.0,0.0,0.0,-0.05,,-6.3,-2.5,-8.8,0.0
