Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
1988,12,1997,IND,Indiana Pacers,Reggie Miller,"August 24, 1965",22.0,NBA,SG,82,1,1840,306,627,0.49,61,172,0.36,245,455,0.54,0.54,149,186,0.8,95,95,190,132,53,19,101,157,822,0
1989,12,1997,IND,Indiana Pacers,Reggie Miller,"August 24, 1965",23.0,NBA,SG,74,70,2536,398,831,0.48,98,244,0.4,300,587,0.51,0.54,287,340,0.84,73,219,292,227,93,29,143,170,1181,0
1990,12,1997,IND,Indiana Pacers,Reggie Miller,"August 24, 1965",24.0,NBA,SG,82,82,3192,661,1287,0.51,150,362,0.41,511,925,0.55,0.57,544,627,0.87,95,200,295,311,110,18,222,175,2016,0
1991,12,1997,IND,Indiana Pacers,Reggie Miller,"August 24, 1965",25.0,NBA,SG,82,82,2972,596,1164,0.51,112,322,0.35,484,842,0.57,0.56,551,600,0.92,81,200,281,331,109,13,163,165,1855,1
1992,12,1997,IND,Indiana Pacers,Reggie Miller,"August 24, 1965",26.0,NBA,SG,82,82,3120,562,1121,0.5,129,341,0.38,433,780,0.56,0.56,442,515,0.86,82,236,318,314,105,26,157,210,1695,0
1993,12,1997,IND,Indiana Pacers,Reggie Miller,"August 24, 1965",27.0,NBA,SG,82,82,2954,571,1193,0.48,167,419,0.4,404,774,0.52,0.55,427,485,0.88,67,191,258,262,120,26,145,182,1736,0
1994,12,1997,IND,Indiana Pacers,Reggie Miller,"August 24, 1965",28.0,NBA,SG,79,79,2638,524,1042,0.5,123,292,0.42,401,750,0.54,0.56,403,444,0.91,30,182,212,248,119,24,175,193,1574,0
1995,12,1997,IND,Indiana Pacers,Reggie Miller,"August 24, 1965",29.0,NBA,SG,81,81,2665,505,1092,0.46,195,470,0.42,310,622,0.5,0.55,383,427,0.9,30,180,210,242,98,16,151,157,1588,0
1996,12,1997,IND,Indiana Pacers,Reggie Miller,"August 24, 1965",30.0,NBA,SG,76,76,2621,504,1066,0.47,168,410,0.41,336,656,0.51,0.55,430,498,0.86,38,176,214,253,77,13,189,175,1606,0
1997,12,1997,IND,Indiana Pacers,Reggie Miller,"August 24, 1965",31.0,NBA,SG,81,81,2966,552,1244,0.44,229,536,0.43,323,708,0.46,0.54,418,475,0.88,53,233,286,273,75,25,166,172,1751,0
1998,12,1997,IND,Indiana Pacers,Reggie Miller,"August 24, 1965",32.0,NBA,SG,81,81,2795,516,1081,0.48,164,382,0.43,352,699,0.5,0.55,382,440,0.87,46,186,232,171,78,11,128,148,1578,0
1999,12,1997,IND,Indiana Pacers,Reggie Miller,"August 24, 1965",33.0,NBA,SG,50,50,1787,294,671,0.44,106,275,0.38,188,396,0.48,0.52,226,247,0.92,25,110,135,112,37,9,76,101,920,0
2000,12,1997,IND,Indiana Pacers,Reggie Miller,"August 24, 1965",34.0,NBA,SG,81,81,2987,466,1041,0.45,165,404,0.41,301,637,0.47,0.53,373,406,0.92,50,189,239,187,85,25,129,126,1470,0
2001,12,1997,IND,Indiana Pacers,Reggie Miller,"August 24, 1965",35.0,NBA,SG,81,81,3181,517,1176,0.44,170,464,0.37,347,712,0.49,0.51,323,348,0.93,38,247,285,260,81,15,133,162,1527,0
2002,12,1997,IND,Indiana Pacers,Reggie Miller,"August 24, 1965",36.0,NBA,SG,79,79,2889,414,913,0.45,180,443,0.41,234,470,0.5,0.55,296,325,0.91,23,196,219,253,88,10,120,143,1304,0
2003,12,1997,IND,Indiana Pacers,Reggie Miller,"August 24, 1965",37.0,NBA,SG,70,70,2117,281,637,0.44,113,318,0.36,168,319,0.53,0.53,207,230,0.9,21,151,172,170,62,4,66,89,882,0
2004,12,1997,IND,Indiana Pacers,Reggie Miller,"August 24, 1965",38.0,NBA,SG,80,80,2254,260,594,0.44,134,334,0.4,126,260,0.48,0.55,146,165,0.88,18,170,188,249,65,11,68,96,800,0
2005,12,1997,IND,Indiana Pacers,Reggie Miller,"August 24, 1965",39.0,NBA,SG,66,66,2105,314,719,0.44,96,298,0.32,218,421,0.52,0.5,250,268,0.93,18,138,156,146,50,5,77,109,974,0
