PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Magic Johnson,24,21,837,22.8,0.601,0.026000000000000002,0.365,3.7,14.2,9.3,42.7,2.4,1.3,19.9,19.7,,2.4,1.1,3.5,0.198,,5.9,1.6,7.6,2.0
Kareem Abdul-Jabbar,36,21,767,24.0,0.5920000000000001,0.0,0.32299999999999995,8.8,16.1,12.7,14.6,1.4,3.2,9.6,25.3,,2.3,1.0,3.3,0.20600000000000002,,5.3,1.0,6.3,1.6
Michael Cooper,27,21,723,13.7,0.545,0.188,0.325,3.3,9.0,6.4,19.3,1.6,1.5,11.7,14.2,,1.2,0.7,1.9,0.126,,1.4,1.0,2.4,0.8
James Worthy,22,21,708,17.9,0.609,0.006999999999999999,0.252,6.1,10.3,8.3,10.6,1.8,0.9,11.4,20.1,,1.4,0.7,2.1,0.142,,3.0,-0.1,2.9,0.9
Bob McAdoo,32,20,447,17.7,0.557,0.005,0.377,8.1,18.4,13.6,3.7,1.3,3.3,13.5,26.9,,0.3,0.6,0.9,0.10099999999999999,,-0.2,-0.5,-0.8,0.1
Kurt Rambis,25,21,428,13.5,0.662,0.0,0.359,9.3,21.7,15.9,3.9,1.1,1.3,17.1,12.4,,0.6,0.6,1.2,0.133,,0.3,-0.2,0.2,0.2
Byron Scott,22,20,404,10.5,0.485,0.062,0.217,3.3,6.8,5.2,10.6,2.1,0.3,12.8,20.8,,-0.1,0.3,0.2,0.024,,-2.3,-0.8,-3.0,-0.1
Mike McGee,24,17,370,15.1,0.606,0.10800000000000001,0.248,7.2,3.4,5.2,8.5,1.4,0.1,13.4,22.5,,0.6,0.2,0.8,0.10099999999999999,,1.3,-1.7,-0.4,0.1
Jamaal Wilkes,30,14,196,6.5,0.42100000000000004,0.013999999999999999,0.157,6.2,8.6,7.5,5.5,1.0,0.6,8.6,17.3,,-0.1,0.1,0.0,0.004,,-3.9,-1.8,-5.7,-0.2
Swen Nater,34,17,146,11.8,0.5870000000000001,0.0,0.684,13.2,17.3,15.4,0.8,0.3,0.8,13.9,16.3,,0.2,0.1,0.4,0.124,,-1.6,-2.5,-4.1,-0.1
Mitch Kupchak,29,9,69,8.1,0.389,0.0,0.8240000000000001,21.0,26.0,23.6,3.2,0.7,1.6,20.6,17.5,,-0.1,0.1,0.0,0.012,,-4.3,-2.8,-7.0,-0.1
Larry Spriggs,24,9,45,8.9,0.524,0.0,0.579,10.7,11.7,11.2,8.1,0.0,1.2,22.7,28.4,,0.0,0.0,0.0,0.003,,-5.4,-3.3,-8.7,-0.1
