SEASON,TEAM ID,TEAM,PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1984,3,NJN,Buck Williams,23,11,473,14.7,0.52,0.0,0.62,12.6,25.5,18.5,5.2,1.5,2.4,14.9,16.7,0.2,1.0,1.2,0.12,1.9,-0.4,1.5,0.4
1984,3,NJN,Micheal Ray Richardson,28,11,443,15.9,0.48,0.13,0.33,4.7,9.4,6.9,28.5,3.7,0.6,13.4,20.5,0.3,0.9,1.2,0.13,3.2,1.9,5.1,0.8
1984,3,NJN,Otis Birdsong,28,11,387,10.1,0.44,0.01,0.28,1.9,6.0,3.8,17.7,2.5,0.2,10.3,22.5,-0.3,0.6,0.3,0.04,-0.8,-0.2,-1.0,0.1
1984,3,NJN,Darryl Dawkins,27,11,340,17.8,0.65,0.02,0.7,6.8,16.7,11.3,6.5,0.7,1.9,17.2,22.3,0.8,0.6,1.3,0.19,3.0,-0.2,2.8,0.4
1984,3,NJN,Albert King,24,11,295,12.8,0.46,0.02,0.36,8.9,13.8,11.1,14.1,1.7,0.9,13.4,23.6,-0.1,0.5,0.4,0.07,1.4,-0.9,0.5,0.2
1984,3,NJN,Mike Gminski,24,11,223,19.3,0.64,0.0,1.04,10.3,18.2,14.0,4.1,1.5,4.4,11.0,14.9,0.6,0.5,1.0,0.22,4.9,1.1,6.1,0.5
1984,3,NJN,Mike O'Koren,25,11,216,7.4,0.45,0.02,0.1,8.7,9.7,9.2,14.6,0.7,1.2,16.3,13.9,0.0,0.3,0.3,0.06,-1.0,-0.6,-1.7,0.0
1984,3,NJN,Darwin Cook,25,11,185,11.0,0.44,0.16,0.29,4.5,6.7,5.5,27.0,3.9,0.0,18.5,25.0,-0.3,0.4,0.1,0.02,-0.6,0.6,-0.1,0.1
1984,3,NJN,Kelvin Ransey,25,5,44,5.9,0.46,0.07,0.0,0.0,2.8,1.3,35.2,0.0,1.5,26.3,17.6,-0.1,0.0,0.0,-0.01,-0.9,-2.8,-3.7,0.0
1984,3,NJN,Reggie Johnson,26,7,17,-2.2,0.38,0.0,1.5,6.2,29.0,16.6,0.0,0.0,3.9,37.6,25.4,-0.1,0.0,-0.1,-0.22,-10.1,-3.1,-13.2,0.0
1984,3,NJN,Bill Willoughby,26,3,13,5.9,0.33,0.0,0.0,24.2,0.0,13.1,0.0,0.0,0.0,0.0,9.4,0.0,0.0,0.0,0.07,0.1,-4.9,-4.7,0.0
1984,3,NJN,Foots Walker,32,2,4,-8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0,0.0,-0.18,-8.6,-5.0,-13.6,0.0
