PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Scott Wedman,28,15,,657,7.1,16.3,0.434,0.5,1.8,0.281,6.6,14.5,0.45299999999999996,2.2,3.1,0.7140000000000001,0.9,3.9,4.8,3.2,1.0,0.4,2.1,2.8,16.8
Ernie Grunfeld,25,15,,633,5.6,11.4,0.488,0.1,0.2,0.5,5.5,11.2,0.48700000000000004,3.1,3.8,0.8059999999999999,0.6,3.0,3.6,5.0,1.7,0.5,2.4,2.9,14.3
Reggie King,23,15,,620,7.1,14.4,0.49200000000000005,0.0,0.1,0.0,7.1,14.3,0.494,4.4,5.9,0.735,3.3,5.4,8.7,1.5,1.0,0.6,2.0,2.8,18.5
Sam Lacey,32,15,,533,4.1,9.7,0.42,0.0,0.2,0.0,4.1,9.5,0.429,2.0,2.4,0.857,2.0,6.1,8.1,5.4,1.9,1.6,2.6,4.3,10.1
Leon Douglas,26,15,,318,1.7,3.6,0.469,0.0,0.0,,1.7,3.6,0.469,1.7,4.0,0.429,2.0,5.3,7.4,1.2,0.5,0.3,2.0,5.3,5.1
Otis Birdsong,25,8,,234,8.6,15.1,0.5710000000000001,0.2,0.2,1.0,8.5,14.9,0.5670000000000001,1.7,2.8,0.611,1.2,2.0,3.2,4.2,1.8,0.0,3.1,2.0,19.1
Joe Meriweather,27,10,,199,4.3,8.9,0.49,0.0,0.0,,4.3,8.9,0.49,1.4,2.5,0.5710000000000001,2.2,3.4,5.6,0.9,0.9,1.3,1.6,5.6,10.1
John Lambert,28,15,,175,4.5,11.1,0.40700000000000003,0.0,0.6,0.0,4.5,10.5,0.431,1.0,1.2,0.833,3.9,3.7,7.6,1.9,1.0,0.8,1.2,4.3,10.1
Phil Ford,24,5,,158,3.4,8.0,0.429,0.0,0.2,0.0,3.4,7.7,0.441,2.1,3.0,0.6920000000000001,0.2,1.6,1.8,6.6,1.1,0.0,3.9,2.1,8.9
Lloyd Walton,27,8,,73,2.0,7.4,0.267,0.0,0.5,0.0,2.0,6.9,0.28600000000000003,1.5,2.0,0.75,1.5,2.0,3.5,9.4,2.0,0.0,4.4,3.0,5.4
Frankie Sanders,24,9,,50,6.5,13.0,0.5,0.7,1.4,0.5,5.8,11.5,0.5,2.9,2.9,1.0,2.9,0.7,3.6,1.4,2.2,0.0,5.8,5.8,16.6
