Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1983,31,1224,TOT,Total After Trade,22.0,NBA,"C,PF",31.0,0.0,140.0,13.0,38.0,0.34,0.0,3.0,0.0,13.0,35.0,0.37,0.34,11.0,20.0,0.55,15.0,26.0,41.0,3.0,6.0,1.0,9.0,34.0,37.0
1983,20,1224,NYK,New York Knicks,22.0,NBA,C,21.0,0.0,98.0,8.0,22.0,0.36,0.0,1.0,0.0,8.0,21.0,0.38,0.36,7.0,14.0,0.5,10.0,21.0,31.0,1.0,5.0,0.0,6.0,31.0,23.0
1983,1,1224,ATL,Atlanta Hawks,22.0,NBA,PF,10.0,0.0,42.0,5.0,16.0,0.31,0.0,2.0,0.0,5.0,14.0,0.36,0.31,4.0,6.0,0.67,5.0,5.0,10.0,2.0,1.0,1.0,3.0,3.0,14.0
1984,1,1224,ATL,Atlanta Hawks,23.0,NBA,PF,68.0,8.0,1135.0,111.0,237.0,0.47,1.0,4.0,0.25,110.0,233.0,0.47,0.47,82.0,104.0,0.79,96.0,174.0,270.0,46.0,40.0,36.0,66.0,220.0,305.0
1985,1,1224,ATL,Atlanta Hawks,24.0,NBA,PF,64.0,1.0,825.0,89.0,188.0,0.47,0.0,0.0,,89.0,188.0,0.47,0.47,63.0,81.0,0.78,59.0,100.0,159.0,46.0,24.0,23.0,50.0,135.0,241.0
1986,1,1224,ATL,Atlanta Hawks,25.0,NBA,PF,62.0,0.0,650.0,65.0,159.0,0.41,3.0,4.0,0.75,62.0,155.0,0.4,0.42,60.0,70.0,0.86,44.0,80.0,124.0,26.0,14.0,8.0,40.0,118.0,193.0
1987,1,1224,ATL,Atlanta Hawks,26.0,NBA,PF,40.0,0.0,256.0,23.0,68.0,0.34,2.0,12.0,0.17,21.0,56.0,0.38,0.35,23.0,29.0,0.79,16.0,54.0,70.0,13.0,10.0,7.0,13.0,35.0,71.0
1988,1,1224,ATL,Atlanta Hawks,27.0,NBA,PF,55.0,0.0,403.0,40.0,82.0,0.49,5.0,12.0,0.42,35.0,70.0,0.5,0.52,25.0,27.0,0.93,27.0,70.0,97.0,16.0,8.0,10.0,14.0,67.0,110.0
1989,16,1224,MIA,Miami Heat,28.0,NBA,C,75.0,6.0,1206.0,143.0,328.0,0.44,9.0,28.0,0.32,134.0,300.0,0.45,0.45,91.0,107.0,0.85,72.0,159.0,231.0,59.0,32.0,42.0,68.0,203.0,386.0
1990,9,1224,DET,Detroit Pistons,29.0,NBA,PF,40.0,0.0,166.0,10.0,33.0,0.3,3.0,12.0,0.25,7.0,21.0,0.33,0.35,19.0,22.0,0.86,7.0,25.0,32.0,8.0,3.0,3.0,7.0,31.0,42.0
1991,9,1224,DET,Detroit Pistons,30.0,NBA,PF,27.0,0.0,113.0,16.0,28.0,0.57,3.0,4.0,0.75,13.0,24.0,0.54,0.62,13.0,13.0,1.0,14.0,14.0,28.0,7.0,0.0,0.0,7.0,23.0,48.0
1992,8,1224,DEN,Denver Nuggets,31.0,NBA,C,40.0,4.0,421.0,17.0,50.0,0.34,0.0,9.0,0.0,17.0,41.0,0.42,0.34,24.0,28.0,0.86,30.0,68.0,98.0,26.0,10.0,15.0,22.0,56.0,58.0
1993,8,1224,DEN,Denver Nuggets,32.0,NBA,C,76.0,0.0,670.0,57.0,112.0,0.51,2.0,8.0,0.25,55.0,104.0,0.53,0.52,40.0,55.0,0.73,44.0,93.0,137.0,34.0,12.0,8.0,29.0,115.0,156.0
