Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2009,17,1894,MIL,Milwaukee Bucks,Luc Mbah a Moute,1986-09-09,22.0,NBA,PF,82.0,2114.0,12.3,0.52,0.01,0.39,10.1,17.4,13.6,6.3,2.1,1.8,14.8,14.3,1.2,2.8,4.0,0.09,-1.6,0.8,-0.8,0.6
2010,17,1894,MIL,Milwaukee Bucks,Luc Mbah a Moute,1986-09-09,23.0,NBA,PF,73.0,1866.0,11.8,0.53,0.05,0.36,9.9,14.6,12.2,6.5,1.7,1.6,14.1,12.1,1.8,3.0,4.7,0.12,-1.8,1.5,-0.3,0.8
2011,17,1894,MIL,Milwaukee Bucks,Luc Mbah a Moute,1986-09-09,24.0,NBA,PF,79.0,2093.0,11.5,0.52,0.02,0.44,9.2,14.3,11.7,5.3,1.8,1.1,13.1,13.1,1.5,3.3,4.8,0.11,-2.3,1.1,-1.3,0.4
2012,17,1894,MIL,Milwaukee Bucks,Luc Mbah a Moute,1986-09-09,25.0,NBA,PF,43.0,1009.0,13.9,0.54,0.02,0.4,8.2,16.9,12.4,4.4,2.0,1.6,11.3,15.1,1.2,1.1,2.4,0.11,-1.2,0.1,-1.1,0.2
2013,17,1894,MIL,Milwaukee Bucks,Luc Mbah a Moute,1986-09-09,26.0,NBA,SF,58.0,1326.0,9.1,0.45,0.1,0.33,7.0,14.0,10.4,6.1,1.6,0.8,13.9,16.5,-0.8,1.2,0.5,0.02,-3.5,-0.6,-4.1,-0.7
2014,31,1894,TOT,Total After Trade,Luc Mbah a Moute,1986-09-09,27.0,NBA,"PF,SF",64.0,1003.0,8.3,0.5,0.09,0.35,6.0,10.1,8.0,5.1,1.5,1.1,15.2,11.2,0.2,0.8,1.0,0.05,-3.0,0.2,-2.8,-0.2
2014,26,1894,SAC,Sacramento Kings,Luc Mbah a Moute,1986-09-09,27.0,NBA,SF,9.0,196.0,11.7,0.53,0.09,0.41,5.1,10.5,7.8,11.1,2.3,2.1,9.6,9.4,0.3,0.2,0.4,0.11,-1.7,2.3,0.5,0.1
2014,18,1894,MIN,Minnesota Timberwolves,Luc Mbah a Moute,1986-09-09,27.0,NBA,PF,55.0,807.0,7.5,0.5,0.09,0.34,6.2,10.0,8.0,3.6,1.3,0.8,16.3,11.6,0.0,0.6,0.6,0.04,-3.4,-0.2,-3.6,-0.3
2015,23,1894,PHI,Philadelphia 76Ers,Luc Mbah a Moute,1986-09-09,28.0,NBA,PF,67.0,1916.0,10.6,0.47,0.32,0.26,4.4,14.6,9.3,9.8,2.1,0.9,12.3,18.3,-0.9,2.0,1.1,0.03,-2.7,-0.1,-2.8,-0.4
2016,13,1894,LAC,Los Angeles Clippers,Luc Mbah a Moute,1986-09-09,29.0,NBA,PF,75.0,1274.0,7.3,0.5,0.19,0.28,5.2,9.4,7.3,3.3,1.7,1.2,12.8,9.4,0.2,1.3,1.6,0.06,-3.2,0.6,-2.6,-0.2
2017,13,1894,LAC,Los Angeles Clippers,Luc Mbah a Moute,1986-09-09,30.0,NBA,SF,80.0,1787.0,10.2,0.58,0.29,0.23,2.8,7.7,5.3,3.1,2.3,1.6,10.0,11.6,1.3,1.8,3.1,0.08,-1.6,1.3,-0.2,0.8
2018,11,1894,HOU,Houston Rockets,Luc Mbah a Moute,1986-09-09,31.0,NBA,PF,61.0,1564.0,10.3,0.6,0.5,0.28,1.6,11.7,6.7,5.0,2.3,1.4,15.0,12.8,0.8,2.1,2.8,0.09,-1.6,1.4,-0.2,0.7
2019,13,1894,LAC,Los Angeles Clippers,Luc Mbah a Moute,1986-09-09,32.0,NBA,PF,4.0,61.0,6.7,0.5,0.33,0.28,3.6,8.4,6.1,4.5,0.8,1.3,9.0,15.4,0.0,0.0,0.0,0.01,-2.9,0.0,-3.0,0.0
2020,11,1894,HOU,Houston Rockets,Luc Mbah a Moute,1986-09-09,33.0,NBA,PF,3.0,25.0,6.4,0.42,0.4,0.4,4.2,4.2,4.2,0.0,3.7,0.0,14.5,11.4,0.0,0.0,0.0,-0.01,-5.2,-2.2,-7.4,0.0
