Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1984,22.0,DAL,NBA,PG,82.0,1.0,1712.0,5.7,12.8,0.443,0.1,0.7,0.115,5.6,12.0,0.464,1.9,2.8,0.673,1.5,3.4,4.9,6.8,2.7,0.6,3.1,4.1,13.3,,97.0,109.0
1985,23.0,DAL,NBA,PG,82.0,1.0,2218.0,7.2,13.9,0.52,0.5,1.3,0.344,6.7,12.5,0.538,2.4,3.4,0.721,1.0,3.3,4.4,7.9,3.2,0.8,2.7,4.2,17.3,,113.0,107.0
1986,24.0,DAL,NBA,PG,79.0,39.0,2150.0,8.5,15.9,0.534,0.3,1.1,0.235,8.3,14.8,0.557,3.7,5.0,0.747,1.6,3.3,4.9,9.1,3.3,0.5,3.1,3.6,21.0,,116.0,109.0
1987,25.0,DAL,NBA,PG,77.0,76.0,2556.0,9.3,18.6,0.501,1.4,4.0,0.358,7.9,14.6,0.539,3.0,4.4,0.684,1.0,2.8,3.7,11.4,3.1,0.5,2.6,3.6,23.0,,121.0,109.0
1988,26.0,DAL,NBA,PG,82.0,82.0,3032.0,8.7,19.0,0.459,1.0,3.1,0.313,7.8,15.9,0.488,4.3,5.6,0.759,1.2,2.9,4.0,10.3,2.7,0.6,3.1,2.7,22.7,,115.0,108.0
1989,27.0,DAL,NBA,PG,81.0,81.0,2968.0,9.1,19.0,0.477,1.7,4.7,0.356,7.4,14.3,0.517,3.9,4.8,0.806,0.8,3.1,3.8,9.6,2.9,0.7,3.5,3.7,23.7,,113.0,109.0
1990,28.0,DAL,NBA,PG,82.0,82.0,3007.0,9.6,19.6,0.488,1.5,4.1,0.371,8.1,15.6,0.519,4.2,5.3,0.794,0.9,3.2,4.1,10.3,3.2,0.4,3.5,3.8,24.9,,115.0,107.0
1991,29.0,DAL,NBA,PG,77.0,77.0,2879.0,10.1,21.7,0.467,1.6,4.4,0.362,8.6,17.4,0.493,5.1,6.9,0.731,1.0,3.1,4.1,9.7,2.6,0.2,3.1,3.9,26.9,,113.0,111.0
1992,30.0,DAL,NBA,PG,65.0,64.0,2252.0,10.1,22.8,0.443,1.3,4.2,0.312,8.8,18.6,0.473,4.5,5.9,0.759,1.1,2.7,3.8,8.4,2.3,0.4,3.5,3.4,26.0,,107.0,112.0
1993,31.0,DAL,NBA,SG,62.0,60.0,2108.0,9.0,21.5,0.419,2.3,5.9,0.393,6.7,15.6,0.428,5.5,7.2,0.756,1.0,1.9,2.8,7.6,1.8,0.4,3.1,3.3,25.8,,109.0,117.0
1994,32.0,TOT,NBA,PG,82.0,55.0,2204.0,7.1,17.3,0.407,1.7,4.7,0.36,5.4,12.6,0.425,2.6,3.8,0.687,0.5,2.8,3.3,7.8,2.9,0.2,3.1,3.8,18.4,,102.0,104.0
1994,32.0,DAL,NBA,PG,28.0,28.0,893.0,7.4,19.5,0.38,2.1,6.0,0.352,5.3,13.5,0.392,1.6,2.8,0.56,0.6,2.6,3.1,5.6,2.6,0.2,3.1,2.6,18.5,,94.0,111.0
1994,32.0,NYK,NBA,PG,54.0,27.0,1311.0,6.8,15.9,0.43,1.4,3.9,0.367,5.4,12.0,0.451,3.3,4.5,0.743,0.4,3.0,3.4,9.3,3.2,0.2,3.2,4.6,18.4,,108.0,99.0
1995,33.0,NYK,NBA,PG,80.0,80.0,2716.0,6.5,14.7,0.446,2.1,5.7,0.363,4.5,9.0,0.498,2.7,3.7,0.724,0.6,3.2,3.8,8.9,1.5,0.2,2.9,4.2,17.8,,111.0,107.0
1996,34.0,NYK,NBA,PG,82.0,82.0,2893.0,7.9,17.1,0.464,2.2,5.9,0.372,5.7,11.2,0.513,2.8,3.8,0.757,0.6,3.1,3.7,6.4,2.4,0.1,3.2,3.7,20.9,,107.0,106.0
1997,35.0,DAL,NBA,PG,75.0,29.0,2210.0,7.3,16.4,0.444,1.5,4.3,0.341,5.8,12.1,0.48,2.3,3.1,0.742,0.7,2.6,3.3,7.8,2.2,0.3,3.2,3.5,18.4,,104.0,111.0
1998,36.0,ORL,NBA,SG,66.0,45.0,1761.0,7.1,17.0,0.417,1.8,5.1,0.36,5.2,11.8,0.442,1.7,2.5,0.696,0.7,2.5,3.2,7.3,2.3,0.3,3.2,4.4,17.7,,101.0,107.0
1999,37.0,LAL,NBA,PG,45.0,29.0,1120.0,5.6,13.6,0.412,2.0,5.5,0.368,3.6,8.1,0.443,1.2,1.5,0.813,0.6,2.5,3.1,8.7,2.1,0.2,2.4,3.1,14.5,,109.0,108.0
