PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Moses Malone,29,13,13,505,8.6,20.3,0.425,0.0,0.1,0.0,8.6,20.2,0.42700000000000005,7.8,9.9,0.7959999999999999,3.4,9.8,13.2,2.3,1.6,2.1,2.2,3.7,25.1,,113,103
Maurice Cheeks,28,13,13,483,8.1,15.3,0.529,0.0,0.5,0.0,8.1,14.8,0.547,3.6,4.2,0.857,1.2,3.4,4.6,6.7,3.1,0.5,3.4,2.9,19.8,,113,106
Andrew Toney,27,13,13,442,9.1,19.0,0.47700000000000004,0.7,1.5,0.429,8.4,17.5,0.48100000000000004,5.1,6.7,0.77,0.9,2.6,3.5,7.2,1.3,0.5,5.5,5.0,23.9,,102,110
Julius Erving,34,13,13,434,9.4,20.8,0.449,0.0,0.1,0.0,9.4,20.7,0.452,6.0,7.0,0.857,3.2,4.9,8.1,5.3,2.8,1.2,4.1,3.8,24.7,,107,105
Charles Barkley,21,13,2,408,8.9,16.5,0.54,0.5,0.7,0.667,8.4,15.8,0.534,4.7,7.5,0.635,6.2,10.9,17.1,3.1,2.7,1.8,4.1,5.8,23.0,,112,100
Bobby Jones,33,13,11,309,7.2,12.2,0.59,0.0,0.0,,7.2,12.2,0.59,2.2,3.1,0.7,3.4,4.1,7.5,2.5,1.9,2.3,3.0,5.9,16.6,,113,106
Clint Richardson,28,13,0,281,9.1,16.2,0.564,0.0,0.0,,9.1,16.2,0.564,1.5,1.7,0.9,2.4,4.1,6.5,4.6,1.7,0.3,2.9,4.0,19.8,,114,108
Clemon Johnson,28,13,0,165,3.8,9.7,0.39399999999999996,0.0,0.3,0.0,3.8,9.4,0.406,4.7,6.2,0.762,5.0,5.6,10.5,0.6,0.9,1.8,3.8,9.4,12.3,,95,107
Sedale Threatt,23,4,0,28,3.5,12.1,0.28600000000000003,0.0,0.0,,3.5,12.1,0.28600000000000003,0.0,0.0,,1.7,0.0,1.7,8.6,1.7,0.0,5.2,3.5,6.9,,69,111
Sam Williams,25,5,0,26,1.9,11.2,0.16699999999999998,0.0,0.0,,1.9,11.2,0.16699999999999998,5.6,18.6,0.3,7.4,14.9,22.3,0.0,0.0,0.0,7.4,3.7,9.3,,52,104
George Johnson,28,5,0,24,10.1,16.1,0.625,2.0,2.0,1.0,8.1,14.1,0.5710000000000001,0.0,0.0,,6.0,8.1,14.1,0.0,0.0,0.0,2.0,4.0,22.2,,131,109
Leon Wood,22,5,0,15,12.9,29.0,0.444,0.0,3.2,0.0,12.9,25.8,0.5,19.3,25.8,0.75,0.0,3.2,3.2,6.4,0.0,0.0,9.7,0.0,45.1,,101,113
