PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Marques Johnson,23,7,303,14.6,0.47700000000000004,0.023,0.313,6.4,11.3,8.9,10.3,0.8,1.1,5.2,21.2,,0.4,0.3,0.8,0.11900000000000001,,2.7,-1.4,1.4,0.3
Brian Winters,27,7,268,13.6,0.532,0.21,0.1,1.7,7.0,4.4,21.3,2.0,0.0,13.3,18.8,,0.3,0.3,0.6,0.11,,2.0,-0.2,1.9,0.3
Bob Lanier,31,7,256,20.9,0.565,0.0,0.41600000000000004,7.6,20.7,14.3,19.6,1.4,1.8,12.5,22.3,,0.6,0.4,1.1,0.19899999999999998,,5.4,1.1,6.6,0.5
Dave Meyers,26,7,195,10.1,0.439,0.048,0.484,9.4,10.8,10.1,10.4,2.3,1.8,16.6,19.4,,-0.2,0.3,0.1,0.026000000000000002,,-1.0,0.0,-1.0,0.0
Sidney Moncrief,22,7,182,17.9,0.6729999999999999,0.0,0.608,10.7,8.5,9.6,9.2,1.4,0.3,17.8,18.1,,0.5,0.2,0.7,0.19,,4.6,-0.9,3.7,0.3
Quinn Buckner,25,7,165,9.8,0.37200000000000005,0.019,0.20800000000000002,4.2,6.7,5.5,26.4,4.5,0.0,18.4,18.0,,-0.2,0.3,0.1,0.015,,-2.1,1.9,-0.3,0.1
Junior Bridgeman,26,5,124,8.6,0.40700000000000003,0.018000000000000002,0.268,3.7,13.4,8.6,20.8,2.0,0.9,18.3,25.9,,-0.3,0.2,-0.1,-0.039,,-3.0,-0.7,-3.7,-0.1
Richard Washington,24,7,112,13.2,0.523,0.0,0.085,7.2,12.8,10.0,4.5,1.8,4.1,14.1,21.2,,0.0,0.2,0.2,0.073,,-1.5,0.8,-0.7,0.0
Harvey Catchings,28,6,64,8.0,0.387,0.0,0.667,9.0,27.6,18.5,4.0,0.0,7.2,20.5,6.4,,0.0,0.1,0.1,0.08900000000000001,,-3.2,2.5,-0.7,0.0
Pat Cummings,23,6,57,13.5,0.687,0.0,0.353,8.0,23.3,15.8,5.6,0.9,0.0,28.9,20.3,,0.0,0.1,0.1,0.092,,-1.0,-0.8,-1.8,0.0
Lloyd Walton,26,1,4,-0.1,0.0,0.0,0.0,0.0,27.6,14.1,30.5,0.0,14.3,50.0,20.9,,0.0,0.0,0.0,-0.37799999999999995,,-2.8,1.3,-1.5,0.0
