SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1982,11,HOU,Moses Malone,26,3,,136,11.9,27.5,0.43,0.0,0.0,,11.9,27.5,0.43,5.7,6.2,0.93,11.5,9.4,20.9,4.1,0.8,0.8,2.5,3.3,29.5,,114,106
1982,11,HOU,Elvin Hayes,36,3,,124,7.7,22.5,0.34,0.0,0.0,,7.7,22.5,0.34,3.6,6.8,0.53,3.2,10.4,13.5,1.4,0.9,4.5,2.7,5.4,18.9,,82,102
1982,11,HOU,Robert Reid,26,3,,115,7.3,15.0,0.48,0.0,0.0,,7.3,15.0,0.48,1.9,2.4,0.8,4.4,8.3,12.6,4.4,2.4,1.0,0.0,4.9,16.5,,128,103
1982,11,HOU,Allen Leavell,24,3,,93,12.0,28.2,0.43,0.0,0.6,0.0,12.0,27.6,0.44,1.2,1.2,1.0,0.6,2.4,3.0,6.0,2.4,0.6,3.0,5.4,25.2,,95,109
1982,11,HOU,Tom Henderson,30,3,,68,4.1,13.1,0.31,0.0,0.0,,4.1,13.1,0.31,3.3,3.3,1.0,4.1,2.5,6.6,7.4,0.0,0.0,3.3,4.1,11.5,,92,114
1982,11,HOU,Mike Dunleavy,27,3,,66,7.6,18.6,0.41,0.0,3.4,0.0,7.6,15.2,0.5,4.2,5.1,0.83,0.0,2.5,2.5,7.6,1.7,0.0,0.8,5.9,19.4,,112,111
1982,11,HOU,Calvin Murphy,33,3,,57,4.9,21.5,0.23,0.0,2.9,0.0,4.9,18.6,0.26,6.9,7.8,0.88,2.0,1.0,2.9,3.9,1.0,0.0,3.9,6.9,16.6,,76,114
1982,11,HOU,Billy Paultz,33,3,,34,4.9,14.8,0.33,0.0,0.0,,4.9,14.8,0.33,1.6,4.9,0.33,3.3,3.3,6.6,1.6,0.0,3.3,1.6,6.6,11.5,,80,111
1982,11,HOU,Bill Willoughby,24,2,,17,3.3,6.6,0.5,0.0,0.0,,3.3,6.6,0.5,6.6,6.6,1.0,6.6,13.1,19.7,3.3,0.0,0.0,3.3,3.3,13.1,,124,104
1982,11,HOU,Larry Spriggs,22,2,,9,18.6,24.8,0.75,0.0,0.0,,18.6,24.8,0.75,0.0,6.2,0.0,0.0,6.2,6.2,12.4,0.0,0.0,0.0,18.6,37.2,,144,110
1982,11,HOU,Calvin Garrett,25,1,,1,0.0,55.8,0.0,0.0,55.8,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,117
