Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2006,14,444,LAL,Los Angeles Lakers,18.0,NBA,C,1.0,2.0,-20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,0.0,0.0,0.0,-0.55,-15.9,-10.3,-26.2,0.0
2007,14,444,LAL,Los Angeles Lakers,19.0,NBA,C,5.0,55.0,16.9,0.52,0.0,0.67,15.4,33.6,23.8,0.0,0.0,2.9,9.3,16.9,0.1,0.0,0.1,0.08,0.1,-2.0,-1.9,0.0
2009,14,444,LAL,Los Angeles Lakers,21.0,NBA,C,23.0,400.0,11.8,0.49,0.0,0.34,9.7,15.3,12.6,4.0,1.1,4.4,11.5,18.9,0.1,0.6,0.8,0.09,-3.6,-0.4,-4.1,-0.2
2010,14,444,LAL,Los Angeles Lakers,22.0,NBA,C,23.0,561.0,17.3,0.57,0.0,0.38,12.2,20.6,16.4,3.4,0.6,5.1,10.8,15.8,1.0,0.7,1.7,0.15,0.3,-0.2,0.1,0.3
2011,14,444,LAL,Los Angeles Lakers,23.0,NBA,C,10.0,320.0,20.6,0.6,0.0,0.34,13.2,25.1,18.8,4.6,0.9,3.9,14.2,20.9,0.7,0.3,1.0,0.15,1.4,-0.6,0.8,0.2
2012,14,444,LAL,Los Angeles Lakers,24.0,NBA,C,12.0,451.0,22.9,0.55,0.0,0.45,10.7,21.0,15.8,7.0,0.6,5.8,8.0,20.0,1.3,0.3,1.6,0.17,3.4,0.5,4.0,0.7
