Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1989,3,2048,NJN,New Jersey Nets,23.0,NBA,SF,76.0,48.0,2096.0,9.5,20.7,0.46,1.5,4.0,0.37,8.0,16.7,0.48,4.2,5.8,0.72,4.3,4.8,9.1,2.7,2.3,1.4,4.3,5.7,24.6,,102.0,109.0
1990,3,2048,NJN,New Jersey Nets,24.0,NBA,SF,80.0,76.0,2449.0,8.9,21.0,0.42,1.2,3.8,0.32,7.7,17.2,0.44,4.5,6.2,0.72,3.8,4.5,8.3,2.8,2.6,1.6,3.7,4.3,23.4,,101.0,108.0
1991,3,2048,NJN,New Jersey Nets,25.0,NBA,SF,79.0,68.0,2553.0,7.7,18.2,0.42,0.9,3.4,0.25,6.9,14.8,0.46,3.4,4.6,0.73,4.0,5.9,9.9,4.2,2.6,1.8,3.2,4.7,19.7,,103.0,105.0
1992,3,2048,NJN,New Jersey Nets,26.0,NBA,SF,77.0,74.0,2394.0,7.1,14.9,0.48,0.5,2.3,0.2,6.6,12.6,0.53,3.4,4.7,0.71,4.1,6.0,10.1,4.0,2.6,1.7,3.5,4.3,18.0,,107.0,107.0
1993,3,2048,NJN,New Jersey Nets,27.0,NBA,SF,77.0,57.0,2302.0,9.5,19.7,0.48,0.4,1.7,0.22,9.1,18.0,0.5,4.3,5.4,0.79,4.9,4.9,9.9,2.3,3.1,1.1,2.6,3.7,23.6,,112.0,104.0
1994,3,2048,NJN,New Jersey Nets,28.0,NBA,SF,50.0,27.0,1349.0,7.6,16.9,0.45,2.0,5.5,0.36,5.6,11.4,0.49,3.2,4.4,0.72,3.4,5.1,8.5,3.1,2.0,1.8,1.9,4.5,20.3,,114.0,105.0
1995,3,2048,NJN,New Jersey Nets,29.0,NBA,SF,71.0,49.0,2131.0,8.6,20.9,0.41,2.6,7.7,0.33,6.0,13.2,0.46,3.5,4.8,0.73,4.4,5.4,9.8,3.6,2.1,1.2,2.9,3.8,23.2,,106.0,108.0
1996,29,2048,UTA,Utah Jazz,30.0,NBA,SG,66.0,33.0,1424.0,9.9,22.7,0.44,2.4,7.4,0.32,7.6,15.3,0.49,3.7,4.8,0.77,3.7,4.8,8.6,2.9,2.4,0.7,2.7,5.2,25.9,,108.0,106.0
1997,29,2048,UTA,Utah Jazz,31.0,NBA,SF,73.0,1.0,977.0,6.7,16.3,0.41,1.7,6.2,0.27,5.0,10.1,0.49,2.1,2.9,0.72,2.0,6.8,8.8,2.3,1.6,1.3,2.5,6.6,17.1,,97.0,104.0
1998,29,2048,UTA,Utah Jazz,32.0,NBA,SF,54.0,1.0,538.0,8.5,20.7,0.41,1.9,6.2,0.31,6.6,14.5,0.46,4.4,6.1,0.72,3.5,7.9,11.4,2.4,2.5,1.7,3.3,6.1,23.3,,101.0,102.0
1999,24,2048,PHO,Phoenix Suns,33.0,NBA,SF,44.0,2.0,535.0,6.4,14.9,0.43,1.6,5.6,0.29,4.8,9.3,0.52,4.0,4.6,0.87,5.4,6.7,12.1,2.3,1.6,1.1,2.1,5.4,18.3,,114.0,104.0
