SEASON,TEAM ID,TEAM,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
2019,30,WAS,1,Trevor Ariza,SF,6-8,215,1985-06-30,US,14,UCLA
2019,30,WAS,84,Ron Baker,SG,6-4,220,1993-03-30,US,2,Wichita State
2019,30,WAS,3,Bradley Beal,SG,6-3,207,1993-06-28,US,6,Florida
2019,30,WAS,6,Troy Brown,SF,6-6,215,1999-07-28,US,R,Oregon
2019,30,WAS,13,Thomas Bryant,C,6-10,248,1997-07-31,US,1,Indiana
2019,30,WAS,8,Sam Dekker,PF,6-9,230,1994-05-06,US,3,Wisconsin
2019,30,WAS,32,Jeff Green,PF,6-8,235,1986-08-28,US,10,Georgetown
2019,30,WAS,21,Dwight Howard,C,6-10,265,1985-12-08,US,14,
2019,30,WAS,20,John Jenkins,SG,6-4,215,1991-03-06,US,5,Vanderbilt
2019,30,WAS,4,Wesley Johnson,SF,6-7,215,1987-07-11,US,8,"Iowa State, Syracuse"
2019,30,WAS,28,Ian Mahinmi,C,6-11,262,1986-11-05,FR,10,
2019,30,WAS,52,Jordan McRae,SG,6-5,179,1991-03-28,US,2,Tennessee
2019,30,WAS,5,Markieff Morris,PF,6-8,245,1989-09-02,US,7,Kansas
2019,30,WAS,12,Kelly Oubre,SF,6-7,203,1995-12-09,US,3,Kansas
2019,30,WAS,12,Jabari Parker,PF,6-8,245,1995-03-15,US,4,Duke
2019,30,WAS,4,Gary Payton,PG,6-3,190,1992-12-01,US,2,Oregon State
2019,30,WAS,22,Otto Porter,SF,6-8,198,1993-06-03,US,5,Georgetown
2019,30,WAS,5,Bobby Portis,PF,6-10,250,1995-02-10,US,3,Arkansas
2019,30,WAS,9,Chasson Randle,PG,6-2,185,1993-02-05,US,1,Stanford
2019,30,WAS,1,Austin Rivers,SG,6-3,200,1992-08-01,US,6,Duke
2019,30,WAS,7,Devin Robinson,SF,6-8,200,1995-03-07,US,1,Florida
2019,30,WAS,31,Tomas Satoransky,PG,6-7,210,1991-10-30,CZ,2,
2019,30,WAS,14,Jason Smith,C,7-0,240,1986-03-02,US,10,Colorado State
2019,30,WAS,2,John Wall,PG,6-4,210,1990-09-06,US,8,Kentucky
2019,30,WAS,15,Okaro White,PF,6-8,205,1992-08-13,US,2,Florida State
