Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1997,24,1604,PHO,Phoenix Suns,Jason Kidd,"March 23, 1973",23.0,NBA,PG,5.0,5.0,207.0,21.0,53.0,0.4,8.0,22.0,0.36,13.0,31.0,0.42,0.47,10.0,19.0,0.53,4.0,26.0,30.0,49.0,11.0,2.0,13.0,11.0,60.0,,0.0
1998,24,1604,PHO,Phoenix Suns,Jason Kidd,"March 23, 1973",24.0,NBA,PG,4.0,4.0,171.0,22.0,58.0,0.38,0.0,7.0,0.0,22.0,51.0,0.43,0.38,13.0,16.0,0.81,5.0,18.0,23.0,31.0,16.0,2.0,12.0,13.0,57.0,,0.0
1999,24,1604,PHO,Phoenix Suns,Jason Kidd,"March 23, 1973",25.0,NBA,PG,3.0,3.0,126.0,18.0,43.0,0.42,4.0,16.0,0.25,14.0,27.0,0.52,0.46,5.0,7.0,0.71,1.0,6.0,7.0,31.0,5.0,1.0,9.0,12.0,45.0,,0.0
2000,24,1604,PHO,Phoenix Suns,Jason Kidd,"March 23, 1973",26.0,NBA,PG,6.0,6.0,229.0,22.0,55.0,0.4,8.0,22.0,0.36,14.0,33.0,0.42,0.47,7.0,9.0,0.78,8.0,32.0,40.0,53.0,11.0,1.0,23.0,14.0,59.0,,1.0
2001,24,1604,PHO,Phoenix Suns,Jason Kidd,"March 23, 1973",27.0,NBA,PG,4.0,4.0,166.0,22.0,69.0,0.32,4.0,17.0,0.24,18.0,52.0,0.35,0.35,9.0,12.0,0.75,9.0,15.0,24.0,53.0,8.0,0.0,12.0,13.0,57.0,,0.0
2002,3,1604,NJN,New Jersey Nets,Jason Kidd,"March 23, 1973",28.0,NBA,PG,20.0,20.0,803.0,147.0,354.0,0.42,17.0,90.0,0.19,130.0,264.0,0.49,0.44,80.0,99.0,0.81,42.0,122.0,164.0,182.0,34.0,8.0,67.0,40.0,391.0,,4.0
2003,3,1604,NJN,New Jersey Nets,Jason Kidd,"March 23, 1973",29.0,NBA,PG,20.0,20.0,852.0,137.0,341.0,0.4,34.0,104.0,0.33,103.0,237.0,0.44,0.45,94.0,114.0,0.82,36.0,118.0,154.0,163.0,36.0,4.0,79.0,46.0,402.0,,1.0
2004,3,1604,NJN,New Jersey Nets,Jason Kidd,"March 23, 1973",30.0,NBA,PG,11.0,11.0,474.0,43.0,129.0,0.33,10.0,48.0,0.21,33.0,81.0,0.41,0.37,43.0,53.0,0.81,16.0,57.0,73.0,99.0,25.0,6.0,43.0,15.0,139.0,,1.0
2005,3,1604,NJN,New Jersey Nets,Jason Kidd,"March 23, 1973",31.0,NBA,PG,4.0,4.0,182.0,26.0,67.0,0.39,11.0,30.0,0.37,15.0,37.0,0.4,0.47,6.0,11.0,0.55,10.0,26.0,36.0,29.0,10.0,0.0,9.0,16.0,69.0,,1.0
2006,3,1604,NJN,New Jersey Nets,Jason Kidd,"March 23, 1973",32.0,NBA,PG,11.0,11.0,450.0,49.0,132.0,0.37,15.0,50.0,0.3,34.0,82.0,0.42,0.43,19.0,23.0,0.83,22.0,62.0,84.0,106.0,17.0,2.0,24.0,31.0,132.0,,1.0
2007,3,1604,NJN,New Jersey Nets,Jason Kidd,"March 23, 1973",33.0,NBA,PG,12.0,12.0,484.0,64.0,148.0,0.43,34.0,81.0,0.42,30.0,67.0,0.45,0.55,13.0,25.0,0.52,23.0,108.0,131.0,131.0,22.0,5.0,41.0,31.0,175.0,,2.0
2008,7,1604,DAL,Dallas Mavericks,Jason Kidd,"March 23, 1973",34.0,NBA,PG,5.0,5.0,180.0,16.0,38.0,0.42,6.0,13.0,0.46,10.0,25.0,0.4,0.5,5.0,8.0,0.62,8.0,24.0,32.0,34.0,7.0,2.0,9.0,12.0,43.0,,0.0
2009,7,1604,DAL,Dallas Mavericks,Jason Kidd,"March 23, 1973",35.0,NBA,PG,10.0,10.0,386.0,38.0,83.0,0.46,21.0,47.0,0.45,17.0,36.0,0.47,0.58,17.0,20.0,0.85,7.0,51.0,58.0,59.0,22.0,3.0,20.0,24.0,114.0,,0.0
2010,7,1604,DAL,Dallas Mavericks,Jason Kidd,"March 23, 1973",36.0,NBA,PG,6.0,6.0,243.0,14.0,46.0,0.3,9.0,28.0,0.32,5.0,18.0,0.28,0.4,11.0,12.0,0.92,6.0,35.0,41.0,42.0,14.0,1.0,9.0,15.0,48.0,,0.0
2011,7,1604,DAL,Dallas Mavericks,Jason Kidd,"March 23, 1973",37.0,NBA,PG,21.0,21.0,744.0,64.0,161.0,0.4,43.0,115.0,0.37,21.0,46.0,0.46,0.53,24.0,30.0,0.8,11.0,84.0,95.0,153.0,40.0,10.0,56.0,36.0,195.0,,0.0
2012,7,1604,DAL,Dallas Mavericks,Jason Kidd,"March 23, 1973",38.0,NBA,PG,4.0,4.0,144.0,14.0,41.0,0.34,9.0,26.0,0.35,5.0,15.0,0.33,0.45,9.0,10.0,0.9,3.0,21.0,24.0,24.0,12.0,1.0,11.0,7.0,46.0,,0.0
2013,20,1604,NYK,New York Knicks,Jason Kidd,"March 23, 1973",39.0,NBA,SG,12.0,0.0,247.0,3.0,25.0,0.12,3.0,17.0,0.18,0.0,8.0,0.0,0.18,2.0,2.0,1.0,7.0,35.0,42.0,24.0,12.0,4.0,13.0,12.0,11.0,,0.0
