Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2001,3,1417,NJN,New Jersey Nets,Stephen Jackson,"April 5, 1978",22.0,NBA,SF,77.0,40.0,1660.0,243.0,572.0,0.42,52.0,155.0,0.34,191.0,417.0,0.46,0.47,97.0,135.0,0.72,41.0,167.0,208.0,140.0,86.0,14.0,130.0,166.0,635.0,,0.0
2002,27,1417,SAS,San Antonio Spurs,Stephen Jackson,"April 5, 1978",23.0,NBA,SF,23.0,1.0,227.0,34.0,91.0,0.37,9.0,36.0,0.25,25.0,55.0,0.46,0.42,12.0,17.0,0.71,3.0,23.0,26.0,11.0,15.0,3.0,23.0,29.0,89.0,,0.0
2003,27,1417,SAS,San Antonio Spurs,Stephen Jackson,"April 5, 1978",24.0,NBA,SG,80.0,58.0,2254.0,356.0,818.0,0.44,95.0,297.0,0.32,261.0,521.0,0.5,0.49,139.0,183.0,0.76,66.0,220.0,286.0,183.0,125.0,30.0,176.0,202.0,946.0,,0.0
2004,1,1417,ATL,Atlanta Hawks,Stephen Jackson,"April 5, 1978",25.0,NBA,SF,80.0,78.0,2940.0,536.0,1261.0,0.42,145.0,427.0,0.34,391.0,834.0,0.47,0.48,233.0,297.0,0.78,97.0,273.0,370.0,244.0,142.0,20.0,223.0,216.0,1450.0,,0.0
2005,12,1417,IND,Indiana Pacers,Stephen Jackson,"April 5, 1978",26.0,NBA,SF,51.0,49.0,1806.0,330.0,819.0,0.4,103.0,286.0,0.36,227.0,533.0,0.43,0.47,190.0,229.0,0.83,44.0,206.0,250.0,119.0,64.0,14.0,123.0,154.0,953.0,,0.0
2006,12,1417,IND,Indiana Pacers,Stephen Jackson,"April 5, 1978",27.0,NBA,SG,81.0,81.0,2910.0,472.0,1148.0,0.41,117.0,339.0,0.34,355.0,809.0,0.44,0.46,268.0,341.0,0.79,48.0,264.0,312.0,225.0,104.0,43.0,203.0,195.0,1329.0,,0.0
2007,31,1417,TOT,Total After Trade,Stephen Jackson,"April 5, 1978",28.0,NBA,"SF,SG",75.0,69.0,2479.0,409.0,944.0,0.43,100.0,311.0,0.32,309.0,633.0,0.49,0.49,243.0,299.0,0.81,61.0,161.0,222.0,287.0,84.0,34.0,183.0,200.0,1161.0,,0.0
2007,12,1417,IND,Indiana Pacers,Stephen Jackson,"April 5, 1978",28.0,NBA,SG,37.0,32.0,1186.0,180.0,430.0,0.42,41.0,138.0,0.3,139.0,292.0,0.48,0.47,120.0,146.0,0.82,17.0,78.0,95.0,114.0,33.0,20.0,81.0,87.0,521.0,,0.0
2007,10,1417,GSW,Golden State Warriors,Stephen Jackson,"April 5, 1978",28.0,NBA,SF,38.0,37.0,1293.0,229.0,514.0,0.45,59.0,173.0,0.34,170.0,341.0,0.5,0.5,123.0,153.0,0.8,44.0,83.0,127.0,173.0,51.0,14.0,102.0,113.0,640.0,,0.0
2008,10,1417,GSW,Golden State Warriors,Stephen Jackson,"April 5, 1978",29.0,NBA,SF,73.0,73.0,2855.0,488.0,1204.0,0.4,182.0,501.0,0.36,306.0,703.0,0.44,0.48,308.0,370.0,0.83,67.0,251.0,318.0,300.0,92.0,29.0,197.0,171.0,1466.0,,0.0
