Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1980,14,1503,LAL,Los Angeles Lakers,20.0,NBA,SG,77,,2795,503,949,0.53,7,31,0.23,496,918,0.54,0.53,374,462,0.81,166,430,596,563,187,41,305,218,1387,,7
1981,14,1503,LAL,Los Angeles Lakers,21.0,NBA,SG,37,,1371,312,587,0.53,3,17,0.18,309,570,0.54,0.53,171,225,0.76,101,219,320,317,127,27,143,100,798,,6
1982,14,1503,LAL,Los Angeles Lakers,22.0,NBA,SG,78,77.0,2991,556,1036,0.54,6,29,0.21,550,1007,0.55,0.54,329,433,0.76,252,499,751,743,208,34,286,223,1447,,18
1983,14,1503,LAL,Los Angeles Lakers,23.0,NBA,SG,79,79.0,2907,511,933,0.55,0,21,0.0,511,912,0.56,0.55,304,380,0.8,214,469,683,829,176,47,301,200,1326,,16
1984,14,1503,LAL,Los Angeles Lakers,24.0,NBA,PG,67,66.0,2567,441,780,0.56,6,29,0.21,435,751,0.58,0.57,290,358,0.81,99,392,491,875,150,49,306,169,1178,,12
1985,14,1503,LAL,Los Angeles Lakers,25.0,NBA,PG,77,77.0,2781,504,899,0.56,7,37,0.19,497,862,0.58,0.56,391,464,0.84,90,386,476,968,113,25,305,155,1406,,11
1986,14,1503,LAL,Los Angeles Lakers,26.0,NBA,PG,72,70.0,2578,483,918,0.53,10,43,0.23,473,875,0.54,0.53,378,434,0.87,85,341,426,907,113,16,273,133,1354,,3
1987,14,1503,LAL,Los Angeles Lakers,27.0,NBA,PG,80,80.0,2904,683,1308,0.52,8,39,0.2,675,1269,0.53,0.52,535,631,0.85,122,382,504,977,138,36,300,168,1909,,11
1988,14,1503,LAL,Los Angeles Lakers,28.0,NBA,PG,72,70.0,2637,490,996,0.49,11,56,0.2,479,940,0.51,0.5,417,489,0.85,88,361,449,858,114,13,269,147,1408,,12
1989,14,1503,LAL,Los Angeles Lakers,29.0,NBA,PG,77,77.0,2886,579,1137,0.51,59,188,0.31,520,949,0.55,0.54,513,563,0.91,111,496,607,988,138,22,312,172,1730,,17
1990,14,1503,LAL,Los Angeles Lakers,30.0,NBA,PG,79,79.0,2937,546,1138,0.48,106,276,0.38,440,862,0.51,0.53,567,637,0.89,128,394,522,907,132,34,289,167,1765,,11
1991,14,1503,LAL,Los Angeles Lakers,31.0,NBA,PG,79,79.0,2933,466,976,0.48,80,250,0.32,386,726,0.53,0.52,519,573,0.91,105,446,551,989,102,17,314,150,1531,,13
1996,14,1503,LAL,Los Angeles Lakers,36.0,NBA,PF,32,9.0,958,137,294,0.47,22,58,0.38,115,236,0.49,0.5,172,201,0.86,40,143,183,220,26,13,103,48,468,,1
