Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1988,2,BOS,Boston Celtics,Larry Bird,31,17,17,763,10.4,23.0,0.45,0.8,2.2,0.38,9.5,20.9,0.46,6.9,7.7,0.89,2.0,8.3,10.2,7.8,2.5,1.0,3.3,3.1,28.4,,112,106
1988,2,BOS,Boston Celtics,Kevin McHale,30,17,17,716,11.5,19.0,0.6,0.1,0.1,1.0,11.4,19.0,0.6,8.4,10.0,0.84,4.0,5.9,9.9,2.9,0.5,2.2,2.8,4.7,31.4,,129,110
1988,2,BOS,Boston Celtics,Dennis Johnson,33,17,17,702,6.7,15.6,0.43,0.4,1.2,0.38,6.3,14.4,0.44,6.1,7.6,0.8,1.1,4.6,5.7,10.3,1.8,0.6,3.3,3.8,20.0,,111,110
1988,2,BOS,Boston Celtics,Danny Ainge,28,17,17,670,5.5,14.3,0.39,1.5,4.5,0.33,4.0,9.8,0.41,2.9,3.3,0.88,1.2,3.0,4.1,8.5,0.7,0.1,3.2,5.0,15.4,,102,113
1988,2,BOS,Boston Celtics,Robert Parish,34,17,17,626,8.3,15.6,0.53,0.0,0.0,,8.3,15.6,0.53,4.2,5.1,0.82,4.2,9.7,14.0,1.7,0.9,1.6,3.2,3.5,20.8,,110,107
1988,2,BOS,Boston Celtics,Jim Paxson,30,15,0,188,4.7,16.3,0.29,0.0,0.6,0.0,4.7,15.8,0.3,4.4,5.5,0.8,0.3,2.2,2.5,3.0,1.7,0.6,3.3,5.0,13.8,,75,111
1988,2,BOS,Boston Celtics,Mark Acres,25,17,0,158,4.6,8.6,0.54,0.0,0.0,,4.6,8.6,0.54,3.0,5.9,0.5,4.6,7.2,11.9,0.7,0.3,0.3,2.0,10.9,12.2,,108,111
1988,2,BOS,Boston Celtics,Fred Roberts,27,15,0,100,5.7,10.9,0.52,0.0,0.0,,5.7,10.9,0.52,3.6,5.7,0.64,4.2,4.2,8.3,1.6,1.6,0.0,3.1,10.4,15.1,,104,111
1988,2,BOS,Boston Celtics,Artis Gilmore,38,14,0,86,2.4,4.8,0.5,0.0,0.0,,2.4,4.8,0.5,4.2,8.5,0.5,2.4,9.7,12.1,0.6,0.0,2.4,2.4,8.5,9.1,,94,108
1988,2,BOS,Boston Celtics,Reggie Lewis,22,12,0,70,9.7,25.3,0.38,0.0,0.7,0.0,9.7,24.5,0.39,2.2,3.7,0.6,6.7,5.2,11.9,3.0,2.2,1.5,0.0,9.7,21.6,,103,107
1988,2,BOS,Boston Celtics,Dirk Minniefield,27,11,0,50,6.2,14.6,0.43,2.1,4.2,0.5,4.2,10.4,0.4,2.1,2.1,1.0,1.0,1.0,2.1,11.4,2.1,0.0,10.4,13.5,16.6,,79,112
1988,2,BOS,Boston Celtics,Brad Lohaus,23,9,0,26,16.0,22.0,0.73,0.0,4.0,0.0,16.0,18.0,0.89,0.0,0.0,,2.0,6.0,8.0,0.0,0.0,2.0,2.0,8.0,32.0,,125,111
