Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1990,23.0,MIN,NBA,PG,82.0,2581.0,15.8,0.482,0.09,0.116,2.4,8.0,5.0,35.3,2.7,0.6,12.7,19.0,,2.0,2.4,4.4,0.082,,1.0,0.4,1.4,2.2
1991,24.0,MIN,NBA,PG,82.0,3154.0,18.1,0.492,0.095,0.122,2.8,8.0,5.3,37.6,2.2,0.3,10.9,21.8,,4.5,1.3,5.9,0.089,,3.1,-1.1,2.0,3.2
1992,25.0,MIN,NBA,PG,82.0,2922.0,17.4,0.504,0.123,0.141,3.3,8.2,5.7,36.1,2.1,0.5,13.2,22.5,,3.1,1.0,4.1,0.068,,2.7,-1.4,1.3,2.4
1993,26.0,IND,NBA,PG,74.0,2396.0,14.5,0.508,0.041,0.176,2.9,9.2,6.1,33.6,2.0,0.3,18.1,16.3,,2.5,1.5,4.0,0.079,,0.9,-0.5,0.3,1.4
1994,27.0,IND,NBA,PG,37.0,1022.0,13.3,0.477,0.034,0.218,3.3,9.0,6.2,36.0,1.6,0.2,18.5,20.4,,0.4,0.9,1.4,0.064,,0.2,-0.6,-0.4,0.4
1995,28.0,LAC,NBA,PG,80.0,2864.0,12.6,0.459,0.272,0.139,1.5,9.8,5.4,34.1,2.3,0.3,15.2,17.1,,0.6,1.5,2.1,0.036,,-0.9,-0.7,-1.6,0.2
1996,29.0,LAC,NBA,PG,63.0,2013.0,14.5,0.517,0.369,0.158,2.1,7.5,4.7,25.9,2.0,0.5,11.8,17.8,,3.0,0.8,3.8,0.091,,0.9,-0.9,0.0,1.0
1997,30.0,LAC,NBA,PG,59.0,1065.0,11.8,0.455,0.372,0.125,2.6,8.3,5.4,25.3,2.7,0.4,14.6,17.8,,0.1,0.8,1.0,0.043,,-1.2,0.4,-0.8,0.3
1998,31.0,LAC,NBA,PG,69.0,1252.0,10.3,0.411,0.171,0.129,1.5,7.2,4.4,28.1,1.8,0.2,13.3,14.4,,0.3,-0.1,0.2,0.006,,-2.3,-1.6,-3.9,-0.6
1999,32.0,LAC,NBA,PG,11.0,130.0,10.7,0.371,0.167,0.111,0.9,11.6,5.9,37.6,1.7,0.0,19.2,16.3,,-0.1,0.0,-0.1,-0.038,,-1.8,-3.1,-4.9,-0.1
