Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004,24,161,PHO,Phoenix Suns,21.0,NBA,PG,70.0,46.0,1500.0,5.0,11.3,0.45,2.0,5.0,0.4,3.0,6.2,0.49,1.1,1.5,0.77,0.6,2.4,3.0,4.0,2.2,0.2,2.9,4.4,13.2
2005,24,161,PHO,Phoenix Suns,22.0,NBA,PG,63.0,6.0,1087.0,5.6,11.7,0.48,1.7,4.6,0.37,3.9,7.1,0.54,1.8,2.3,0.8,1.1,3.2,4.3,4.2,1.0,0.2,2.9,4.2,14.6
2006,24,161,PHO,Phoenix Suns,23.0,NBA,SG,57.0,11.0,1592.0,6.2,12.8,0.48,2.0,4.4,0.44,4.2,8.4,0.5,2.5,3.3,0.76,0.7,2.7,3.4,3.6,1.1,0.1,2.0,3.3,16.8
2007,24,161,PHO,Phoenix Suns,24.0,NBA,SG,80.0,18.0,2613.0,7.3,15.3,0.48,2.6,6.0,0.43,4.7,9.3,0.5,2.7,3.2,0.84,0.3,2.6,2.9,4.4,1.3,0.2,2.0,2.9,19.9
2008,24,161,PHO,Phoenix Suns,25.0,NBA,SG,82.0,12.0,2421.0,7.0,15.2,0.46,2.4,6.3,0.39,4.6,8.9,0.51,2.6,3.2,0.82,0.6,2.8,3.4,3.2,1.1,0.3,1.7,2.9,19.1
2009,24,161,PHO,Phoenix Suns,26.0,NBA,SG,70.0,11.0,1705.0,7.7,16.0,0.48,1.9,5.1,0.38,5.8,11.0,0.53,3.6,4.1,0.88,0.7,3.1,3.8,3.4,1.7,0.1,2.0,2.4,21.0
2010,24,161,PHO,Phoenix Suns,27.0,NBA,PG,44.0,5.0,786.0,7.1,16.7,0.42,2.0,6.2,0.32,5.1,10.5,0.48,2.9,3.3,0.88,0.5,2.7,3.2,2.9,1.1,0.5,2.1,3.3,19.1
2011,28,161,TOR,Toronto Raptors,28.0,NBA,SG,58.0,0.0,1395.0,7.6,16.9,0.45,1.9,5.5,0.34,5.7,11.4,0.5,2.8,3.5,0.8,0.4,2.2,2.6,3.1,1.3,0.2,2.2,2.9,19.8
2012,31,161,TOT,Total After Trade,29.0,NBA,SG,64.0,0.0,1382.0,7.1,16.6,0.42,1.7,4.4,0.38,5.4,12.2,0.44,2.6,3.2,0.82,0.9,2.5,3.3,2.5,1.5,0.2,2.4,3.5,18.4
2012,28,161,TOR,Toronto Raptors,29.0,NBA,SG,42.0,0.0,946.0,7.5,17.3,0.44,1.5,4.2,0.36,6.0,13.1,0.46,2.9,3.5,0.84,0.8,2.2,3.0,2.4,1.4,0.3,2.6,3.8,19.5
2012,12,161,IND,Indiana Pacers,29.0,NBA,SG,22.0,0.0,436.0,6.0,15.1,0.4,2.1,4.9,0.42,4.0,10.2,0.39,2.1,2.7,0.76,1.0,3.1,4.0,2.7,1.7,0.0,2.1,2.8,16.2
2013,2,161,BOS,Boston Celtics,30.0,NBA,PG,41.0,2.0,513.0,5.8,13.5,0.43,1.3,3.3,0.38,4.6,10.2,0.44,2.2,2.9,0.76,0.6,2.7,3.2,4.1,1.2,0.4,1.5,3.6,15.1
2014,24,161,PHO,Phoenix Suns,31.0,NBA,PG,20.0,0.0,368.0,5.5,12.8,0.43,0.7,2.4,0.28,4.8,10.4,0.46,3.0,3.8,0.8,0.5,3.1,3.6,3.1,0.7,0.4,1.9,2.9,14.7
2015,10,161,GSW,Golden State Warriors,32.0,NBA,SG,66.0,1.0,982.0,6.7,14.2,0.47,1.6,4.1,0.38,5.1,10.0,0.51,2.1,2.7,0.78,0.8,2.5,3.3,3.6,1.5,0.3,1.6,3.2,17.1
2016,10,161,GSW,Golden State Warriors,33.0,NBA,SG,68.0,0.0,1079.0,5.7,12.3,0.46,1.3,3.7,0.36,4.4,8.7,0.51,1.7,2.1,0.84,0.9,3.0,3.9,2.7,1.5,0.3,1.8,3.6,14.4
2017,24,161,PHO,Phoenix Suns,34.0,NBA,SG,67.0,0.0,963.0,6.4,14.7,0.44,1.3,3.7,0.36,5.1,11.0,0.47,1.5,1.7,0.89,0.6,3.3,3.9,3.0,1.2,0.3,1.8,3.1,15.7
