PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Charles Barkley,26,10,10,41.9,8.8,16.2,0.5429999999999999,0.6,1.8,0.33299999999999996,8.2,14.4,0.569,0.562,6.5,10.8,0.602,6.6,8.9,15.5,4.3,0.8,0.7,3.0,3.6,24.7
Hersey Hawkins,23,10,10,41.5,8.1,16.3,0.49700000000000005,1.4,3.6,0.389,6.7,12.7,0.528,0.54,5.9,6.3,0.937,0.8,2.3,3.1,3.6,1.2,0.7,3.1,2.5,23.5
Johnny Dawkins,26,10,10,38.6,5.3,11.5,0.461,0.0,0.7,0.0,5.3,10.8,0.491,0.461,3.6,4.3,0.8370000000000001,0.5,1.7,2.2,9.3,1.7,0.2,2.9,2.2,14.2
Mike Gminski,30,10,10,34.2,5.7,11.7,0.48700000000000004,0.0,0.5,0.0,5.7,11.2,0.509,0.48700000000000004,1.4,1.5,0.9329999999999999,0.8,4.6,5.4,1.1,0.8,2.3,1.7,2.7,12.8
Rick Mahorn,31,10,10,34.2,3.7,8.6,0.43,0.0,0.1,0.0,3.7,8.5,0.435,0.43,2.0,2.6,0.769,1.8,5.2,7.0,1.0,0.7,0.8,1.3,4.1,9.4
Ron Anderson,31,10,0,25.6,4.0,9.3,0.43,0.3,0.5,0.6,3.7,8.8,0.42,0.446,2.9,3.0,0.9670000000000001,0.6,3.1,3.7,1.4,0.4,0.0,1.5,2.2,11.2
Derek Smith,28,1,0,15.0,5.0,8.0,0.625,0.0,1.0,0.0,5.0,7.0,0.7140000000000001,0.625,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,11.0
Scott Brooks,24,9,0,11.0,0.7,2.1,0.316,0.3,0.8,0.429,0.3,1.3,0.25,0.395,0.7,1.0,0.667,0.2,0.7,0.9,1.8,0.3,0.0,0.8,1.4,2.3
Bob Thornton,27,9,0,9.9,0.8,2.0,0.389,0.0,0.0,,0.8,2.0,0.389,0.389,0.6,1.1,0.5,1.2,0.4,1.7,0.4,0.2,0.1,0.2,2.4,2.1
Kurt Nimphius,31,4,0,4.5,0.3,1.8,0.14300000000000002,0.0,0.0,,0.3,1.8,0.14300000000000002,0.14300000000000002,0.0,0.0,,0.8,0.3,1.0,0.0,0.3,0.3,0.0,0.3,0.5
Kenny Payne,23,3,0,3.3,0.7,1.7,0.4,0.0,0.7,0.0,0.7,1.0,0.667,0.4,0.7,0.7,1.0,0.3,0.3,0.7,0.0,0.0,0.0,0.3,1.0,2.0
Lanard Copeland,24,4,0,2.3,0.5,1.5,0.33299999999999996,0.0,0.0,,0.5,1.5,0.33299999999999996,0.33299999999999996,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.3,1.0
