SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1990,9,DET,Isiah Thomas,28,20,20,37.9,7.4,16.0,0.46,1.6,3.4,0.47,5.8,12.6,0.46,0.51,4.1,5.1,0.79,1.1,4.4,5.5,8.2,2.2,0.4,3.6,3.3,20.5
1990,9,DET,Joe Dumars,26,20,20,37.7,6.5,14.2,0.46,0.3,1.0,0.26,6.3,13.3,0.47,0.47,5.0,5.7,0.88,0.9,1.3,2.2,4.8,1.1,0.0,2.7,1.9,18.2
1990,9,DET,Bill Laimbeer,32,20,20,33.4,4.6,10.0,0.46,0.8,2.2,0.35,3.8,7.8,0.49,0.5,1.3,1.5,0.86,2.1,8.5,10.6,1.4,1.2,0.9,0.8,3.9,11.1
1990,9,DET,Dennis Rodman,28,19,17,29.5,2.8,5.0,0.57,0.0,0.0,,2.8,5.0,0.57,0.57,0.9,1.8,0.51,2.9,5.6,8.5,0.9,0.5,0.7,1.6,3.3,6.6
1990,9,DET,John Salley,25,20,0,27.4,2.9,6.1,0.48,0.0,0.0,,2.9,6.1,0.48,0.48,3.7,4.9,0.76,2.9,3.0,5.9,1.0,0.5,1.7,1.1,3.8,9.5
1990,9,DET,James Edwards,34,20,20,26.8,5.7,11.6,0.49,0.0,0.1,0.0,5.7,11.5,0.5,0.49,2.9,4.8,0.6,1.2,2.4,3.6,0.7,0.3,0.6,1.6,3.7,14.3
1990,9,DET,Vinnie Johnson,33,20,0,23.2,4.3,9.2,0.46,0.1,0.4,0.29,4.2,8.9,0.47,0.47,1.7,2.2,0.79,1.4,1.4,2.8,2.7,0.4,0.2,1.6,1.9,10.3
1990,9,DET,Mark Aguirre,30,20,3,22.0,4.3,9.2,0.47,0.4,1.2,0.33,3.9,8.0,0.49,0.49,2.0,2.6,0.75,1.6,3.0,4.6,1.4,0.5,0.2,1.5,2.6,11.0
1990,9,DET,Dave Greenwood,32,5,0,9.4,0.4,0.8,0.5,0.0,0.0,,0.4,0.8,0.5,0.5,0.2,0.8,0.25,0.4,1.4,1.8,0.0,0.4,0.0,0.4,2.2,1.0
1990,9,DET,William Bedford,26,5,0,3.8,0.2,1.2,0.17,0.0,0.0,,0.2,1.2,0.17,0.17,0.4,0.4,1.0,0.0,0.4,0.4,0.0,0.0,0.2,0.0,0.8,0.8
1990,9,DET,Scott Hastings,29,5,0,3.2,0.2,0.8,0.25,0.0,0.6,0.0,0.2,0.2,1.0,0.25,0.0,0.0,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.4
1990,9,DET,Gerald Henderson,34,8,0,2.4,0.1,0.6,0.2,0.0,0.4,0.0,0.1,0.3,0.5,0.2,0.0,0.0,,0.3,0.1,0.4,0.5,0.3,0.0,0.1,0.4,0.3
