PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Sleepy Floyd,29,4,4,43.0,7.5,16.0,0.469,0.8,3.0,0.25,6.8,13.0,0.519,0.49200000000000005,2.8,4.3,0.647,1.8,2.0,3.8,10.3,1.3,0.3,3.8,1.3,18.5
Otis Thorpe,27,4,4,41.0,6.8,11.3,0.6,0.0,0.0,,6.8,11.3,0.6,0.6,6.5,9.5,0.684,3.5,4.8,8.3,1.8,1.3,0.0,2.3,3.0,20.0
Hakeem Olajuwon,27,4,4,40.3,7.8,17.5,0.44299999999999995,0.0,0.0,,7.8,17.5,0.44299999999999995,0.44299999999999995,3.0,4.3,0.706,3.8,7.8,11.5,2.0,2.5,5.8,2.8,4.8,18.5
Vernon Maxwell,24,4,4,39.8,7.5,20.3,0.37,2.0,6.5,0.308,5.5,13.8,0.4,0.42,2.8,5.3,0.524,1.3,1.8,3.0,4.3,1.3,0.0,1.5,3.0,19.8
Buck Johnson,26,4,4,37.0,5.0,12.0,0.41700000000000004,0.0,0.3,0.0,5.0,11.8,0.426,0.41700000000000004,2.8,3.3,0.846,2.0,2.0,4.0,2.3,1.5,0.5,1.0,4.0,12.8
Larry Smith,32,4,0,18.3,1.5,2.0,0.75,0.0,0.0,,1.5,2.0,0.75,0.75,0.0,0.0,,1.8,1.5,3.3,1.3,1.0,0.0,1.3,2.8,3.0
Mitchell Wiggins,30,4,0,12.8,1.8,3.8,0.467,0.0,0.0,,1.8,3.8,0.467,0.467,0.5,0.8,0.667,1.0,2.3,3.3,0.5,0.3,0.0,1.0,1.3,4.0
Tim McCormick,27,3,0,7.0,0.3,1.0,0.33299999999999996,0.0,0.0,,0.3,1.0,0.33299999999999996,0.33299999999999996,0.3,0.7,0.5,0.3,2.3,2.7,0.0,0.0,0.0,0.0,1.7,1.0
Mike Woodson,31,1,0,6.0,1.0,3.0,0.33299999999999996,0.0,1.0,0.0,1.0,2.0,0.5,0.33299999999999996,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0
Anthony Bowie,26,2,0,2.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Adrian Caldwell,23,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
