PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Patrick Ewing,27,10,10,39.5,11.4,21.9,0.521,0.1,0.2,0.5,11.3,21.7,0.521,0.523,6.5,7.9,0.823,2.1,8.4,10.5,3.1,1.3,2.0,2.7,4.1,29.4
Maurice Cheeks,33,10,10,38.8,5.0,10.4,0.48100000000000004,0.0,0.4,0.0,5.0,10.0,0.5,0.48100000000000004,2.8,3.1,0.903,1.2,2.7,3.9,8.5,1.7,0.2,1.9,2.1,12.8
Charles Oakley,26,10,8,33.6,4.3,8.4,0.512,0.1,0.1,1.0,4.2,8.3,0.506,0.518,3.4,5.2,0.654,3.9,7.1,11.0,2.7,1.1,0.2,2.2,3.3,12.1
Gerald Wilkins,26,10,10,31.9,6.3,13.7,0.46,0.2,0.8,0.25,6.1,12.9,0.473,0.467,1.8,2.2,0.818,1.4,2.2,3.6,5.2,1.4,0.1,1.8,2.3,14.6
Kiki Vandeweghe,31,10,10,23.6,3.1,7.4,0.419,0.6,1.3,0.462,2.5,6.1,0.41,0.45899999999999996,0.8,1.0,0.8,0.7,0.5,1.2,1.4,0.5,0.2,0.7,1.4,7.6
Johnny Newman,26,10,0,23.1,3.8,8.5,0.447,0.4,1.0,0.4,3.4,7.5,0.45299999999999996,0.47100000000000003,3.7,4.9,0.755,1.1,1.0,2.1,1.0,0.9,0.3,1.7,4.1,11.7
Trent Tucker,30,10,0,17.8,2.2,5.5,0.4,1.0,2.7,0.37,1.2,2.8,0.429,0.491,0.6,0.6,1.0,0.5,0.9,1.4,2.0,1.0,0.0,0.6,1.9,6.0
Kenny Walker,25,10,2,15.4,1.6,2.9,0.552,0.0,0.1,0.0,1.6,2.8,0.5710000000000001,0.552,0.9,1.4,0.643,0.7,1.8,2.5,0.6,0.0,0.4,0.1,2.2,4.1
Mark Jackson,24,9,0,9.0,1.4,3.4,0.419,0.0,0.2,0.0,1.4,3.2,0.44799999999999995,0.419,0.9,1.2,0.727,0.1,0.4,0.6,2.3,0.2,0.0,0.8,0.6,3.8
Eddie Lee Wilkins,27,7,0,7.7,1.3,2.6,0.5,0.0,0.0,,1.3,2.6,0.5,0.5,0.9,1.6,0.545,0.7,0.9,1.6,0.0,0.3,0.0,0.3,1.0,3.4
Brian Quinnett,23,3,0,5.3,0.7,1.3,0.5,0.3,0.3,1.0,0.3,1.0,0.33299999999999996,0.625,0.0,0.0,,1.7,1.0,2.7,0.7,0.0,0.0,0.3,0.7,1.7
Stuart Gray,26,4,0,3.0,0.5,1.3,0.4,0.0,0.0,,0.5,1.3,0.4,0.4,0.0,0.0,,0.8,1.3,2.0,0.0,0.3,0.0,0.8,0.8,1.0
