PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Tom Chambers,30,16,16,38.3,7.3,17.2,0.425,0.3,1.2,0.263,7.0,16.0,0.43799999999999994,0.435,7.3,8.3,0.879,1.3,5.4,6.7,1.9,0.4,0.4,3.1,3.4,22.2
Jeff Hornacek,26,16,16,36.4,7.0,13.7,0.511,0.4,1.5,0.25,6.6,12.2,0.544,0.525,4.3,4.6,0.932,0.8,3.1,3.9,4.6,1.5,0.0,2.1,2.7,18.6
Kevin Johnson,23,16,16,36.4,7.7,16.1,0.479,0.1,0.7,0.182,7.6,15.4,0.49200000000000005,0.48200000000000004,5.8,7.0,0.821,0.6,2.8,3.3,10.6,1.6,0.0,3.9,1.8,21.3
Mark West,29,16,16,34.0,4.7,8.1,0.5770000000000001,0.0,0.0,,4.7,8.1,0.5770000000000001,0.5770000000000001,1.7,3.1,0.54,3.3,6.9,10.3,0.3,0.3,2.6,1.6,4.6,11.1
Dan Majerle,24,16,0,29.9,4.6,9.4,0.48700000000000004,0.3,0.8,0.33299999999999996,4.3,8.6,0.5,0.5,3.2,4.1,0.785,1.9,3.2,5.1,2.1,1.3,0.1,1.1,2.1,12.6
Kurt Rambis,31,16,16,24.1,1.5,3.4,0.444,0.0,0.1,0.0,1.5,3.3,0.45299999999999996,0.444,1.2,1.8,0.679,2.4,5.3,7.7,1.4,0.5,0.5,1.1,3.2,4.2
Eddie Johnson,30,16,0,21.1,4.5,10.0,0.45,0.9,2.4,0.395,3.6,7.6,0.467,0.49700000000000005,2.3,2.9,0.787,0.9,2.6,3.6,1.1,0.6,0.3,1.3,2.5,12.3
Tim Perry,24,11,0,9.1,1.2,2.3,0.52,0.0,0.0,,1.2,2.3,0.52,0.52,0.7,1.6,0.444,0.9,1.0,1.9,0.2,0.3,0.5,0.5,1.7,3.1
Andrew Lang,23,12,0,7.8,0.5,0.8,0.667,0.0,0.0,,0.5,0.8,0.667,0.667,0.3,0.6,0.5710000000000001,0.3,1.3,1.7,0.2,0.3,0.8,0.4,1.4,1.3
Greg Grant,23,7,0,6.7,1.3,2.9,0.45,0.1,0.4,0.33299999999999996,1.1,2.4,0.47100000000000003,0.475,0.0,0.0,,0.3,0.6,0.9,1.4,0.3,0.0,0.7,0.3,2.7
Mike McGee,30,10,0,4.4,0.7,2.0,0.35,0.3,0.7,0.429,0.4,1.3,0.308,0.425,0.1,0.4,0.25,0.1,0.3,0.4,0.2,0.1,0.1,0.2,0.6,1.8
Kenny Battle,25,8,0,4.3,0.5,1.6,0.308,0.0,0.0,,0.5,1.6,0.308,0.308,0.1,0.1,1.0,0.1,0.5,0.6,0.0,0.0,0.0,0.3,0.6,1.1
