PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Clyde Drexler,27,21,21,40.6,8.2,18.6,0.441,0.4,2.0,0.22,7.8,16.6,0.467,0.45299999999999996,4.6,5.9,0.774,3.0,4.2,7.2,7.1,2.5,0.9,3.2,3.4,21.4
Jerome Kersey,27,21,21,39.6,7.9,17.2,0.46,0.0,0.1,0.0,7.9,17.0,0.46399999999999997,0.46,4.9,6.9,0.715,3.1,5.1,8.3,2.1,1.6,1.0,2.1,4.1,20.7
Terry Porter,26,21,21,38.8,6.0,13.0,0.46399999999999997,1.9,4.9,0.392,4.1,8.2,0.506,0.536,6.6,7.9,0.8420000000000001,0.4,2.5,2.9,7.4,1.3,0.1,3.0,2.4,20.6
Buck Williams,29,21,21,37.0,4.8,9.5,0.508,0.0,0.0,,4.8,9.5,0.508,0.508,3.4,5.0,0.6759999999999999,3.2,6.0,9.2,1.9,0.6,0.3,2.0,3.5,13.0
Kevin Duckworth,25,15,15,30.2,5.5,12.5,0.439,0.0,0.0,,5.5,12.5,0.439,0.439,2.2,3.1,0.7170000000000001,1.9,3.9,5.8,1.1,0.3,0.6,2.2,4.0,13.1
Clifford Robinson,23,21,6,18.6,2.6,7.2,0.358,0.0,0.2,0.0,2.6,7.0,0.36700000000000005,0.358,1.4,2.5,0.5579999999999999,1.5,2.6,4.1,1.1,0.9,1.1,1.2,3.4,6.5
Danny Young,27,21,0,14.0,1.3,3.4,0.389,0.5,1.4,0.379,0.8,2.0,0.395,0.465,0.9,1.3,0.7040000000000001,0.5,0.9,1.4,1.5,0.7,0.1,0.8,1.4,4.1
Wayne Cooper,33,18,0,13.8,1.1,2.6,0.40399999999999997,0.0,0.0,,1.1,2.6,0.40399999999999997,0.40399999999999997,0.6,1.1,0.526,1.4,2.6,3.9,0.3,0.3,1.6,0.3,2.2,2.7
Dražen Petrović,25,20,0,12.7,2.4,5.5,0.44,0.3,0.8,0.313,2.2,4.7,0.462,0.46299999999999997,1.1,1.8,0.583,0.5,1.1,1.6,1.0,0.3,0.0,1.0,1.9,6.1
Mark Bryant,24,13,0,12.3,1.4,2.5,0.545,0.0,0.0,,1.4,2.5,0.545,0.545,0.5,0.6,0.75,0.7,1.5,2.2,0.2,0.2,0.2,0.9,2.1,3.2
Byron Irvin,23,4,0,11.8,1.3,5.5,0.22699999999999998,0.0,0.0,,1.3,5.5,0.22699999999999998,0.22699999999999998,1.3,1.5,0.833,1.0,1.0,2.0,1.3,0.5,0.0,0.8,1.8,3.8
Nate Johnston,23,3,0,6.3,2.0,3.7,0.545,0.0,0.0,,2.0,3.7,0.545,0.545,0.3,0.3,1.0,0.7,1.3,2.0,0.3,0.3,0.3,0.0,1.7,4.3
