PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Roy Tarpley,25,3,3,43.0,7.3,15.3,0.478,0.0,0.3,0.0,7.3,15.0,0.489,0.478,2.0,4.0,0.5,3.0,12.3,15.3,0.3,2.3,3.3,3.0,4.0,16.7
Rolando Blackman,30,3,3,42.3,8.0,18.0,0.444,0.7,1.7,0.4,7.3,16.3,0.449,0.46299999999999997,3.3,3.3,1.0,0.7,2.3,3.0,4.3,2.0,0.7,4.3,2.3,20.0
Derek Harper,28,3,3,39.7,7.0,16.0,0.43799999999999994,1.7,5.3,0.313,5.3,10.7,0.5,0.49,3.7,5.3,0.688,0.7,2.0,2.7,7.7,1.3,0.0,4.0,4.3,19.3
Sam Perkins,28,3,3,39.3,5.3,12.0,0.444,0.0,0.3,0.0,5.3,11.7,0.457,0.444,4.3,5.7,0.765,3.3,4.0,7.3,2.7,1.0,0.7,2.3,5.7,15.0
Herb Williams,31,3,0,27.0,4.7,7.7,0.609,0.0,0.0,,4.7,7.7,0.609,0.609,4.3,5.3,0.813,1.3,3.0,4.3,1.7,0.3,0.7,1.0,5.3,13.7
James Donaldson,32,3,3,24.7,3.0,4.3,0.6920000000000001,0.0,0.0,,3.0,4.3,0.6920000000000001,0.6920000000000001,1.3,1.7,0.8,2.0,3.3,5.3,0.7,0.7,0.0,1.3,2.7,7.3
Steve Alford,25,3,0,14.0,2.7,6.0,0.444,0.7,2.0,0.33299999999999996,2.0,4.0,0.5,0.5,1.7,1.7,1.0,0.3,0.7,1.0,2.7,0.3,0.0,1.0,1.3,7.7
Bill Wennington,26,3,0,8.3,0.3,1.7,0.2,0.0,0.0,,0.3,1.7,0.2,0.2,0.0,0.0,,0.0,1.0,1.0,0.3,0.0,0.3,0.7,1.7,0.7
Anthony Jones,27,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Randy White,22,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
