SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1990,8,DEN,Fat Lever,29,3,3,37.7,6.3,17.0,0.37,0.3,2.3,0.14,6.0,14.7,0.41,0.38,4.3,4.7,0.93,3.7,7.0,10.7,7.0,2.7,0.3,1.7,2.3,17.3
1990,8,DEN,Michael Adams,27,3,3,35.0,4.3,11.3,0.38,2.0,6.7,0.3,2.3,4.7,0.5,0.47,2.3,2.7,0.88,0.0,2.0,2.0,6.0,1.3,0.0,2.7,3.3,13.0
1990,8,DEN,Blair Rasmussen,27,3,0,28.0,6.3,16.0,0.4,0.0,0.0,,6.3,16.0,0.4,0.4,3.0,3.3,0.9,2.7,6.0,8.7,0.3,0.7,1.3,0.7,3.3,15.7
1990,8,DEN,Bill Hanzlik,32,3,0,26.3,1.7,5.7,0.29,0.3,1.0,0.33,1.3,4.7,0.29,0.32,3.3,3.3,1.0,1.7,1.7,3.3,3.7,1.7,0.7,0.7,4.3,7.0
1990,8,DEN,Alex English,36,3,3,25.3,8.3,14.7,0.57,0.0,0.0,,8.3,14.7,0.57,0.57,3.0,3.7,0.82,1.0,2.0,3.0,3.0,0.7,0.3,0.7,2.0,19.7
1990,8,DEN,Walter Davis,35,3,0,23.3,6.0,15.0,0.4,0.0,0.3,0.0,6.0,14.7,0.41,0.4,2.0,2.0,1.0,1.3,1.7,3.0,2.0,0.3,0.0,1.7,1.3,14.0
1990,8,DEN,Todd Lichti,23,3,0,23.3,5.0,9.7,0.52,0.0,0.3,0.0,5.0,9.3,0.54,0.52,4.7,6.3,0.74,1.7,4.3,6.0,3.0,0.3,0.0,2.7,2.0,14.7
1990,8,DEN,Joe Barry Carroll,31,3,3,15.3,3.0,5.3,0.56,0.0,0.0,,3.0,5.3,0.56,0.56,0.7,0.7,1.0,0.3,2.7,3.0,1.0,0.3,1.7,0.3,2.0,6.7
1990,8,DEN,Tim Kempton,26,3,1,10.7,2.3,3.0,0.78,0.0,0.0,,2.3,3.0,0.78,0.78,1.3,1.3,1.0,0.3,1.3,1.7,1.3,0.0,0.0,0.7,2.7,6.0
1990,8,DEN,T.R. Dunn,34,3,0,10.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.3,2.0,2.3,0.7,1.3,0.3,0.3,1.0,0.0
1990,8,DEN,Jerome Lane,23,2,2,7.0,0.0,1.5,0.0,0.0,0.0,,0.0,1.5,0.0,0.0,0.5,1.0,0.5,0.0,0.5,0.5,1.0,0.0,0.0,1.0,2.0,0.5
