PLAYER,AGE,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
Clarence Weatherspoon,23.0,82.0,3147.0,0.483,0.48700000000000004,0.235,0.485,0.693,0.525,0.345,0.013999999999999999,104.0,101.0,71.0,100.0,94.0,99.0,109.0,12.0,-1.2,-9.0
Dana Barros,26.0,81.0,2519.0,0.469,0.529,0.381,0.546,0.8,0.5710000000000001,0.165,0.40299999999999997,101.0,109.0,114.0,113.0,109.0,108.0,52.0,344.0,106.9,80.8
Orlando Woolridge,34.0,74.0,1955.0,0.47100000000000003,0.478,0.071,0.47200000000000003,0.6890000000000001,0.517,0.391,0.018000000000000002,101.0,99.0,21.0,97.0,94.0,98.0,124.0,15.0,-21.2,-19.2
Jeff Hornacek,30.0,53.0,1994.0,0.455,0.49700000000000005,0.313,0.491,0.873,0.547,0.285,0.23199999999999998,98.0,103.0,94.0,101.0,119.0,104.0,90.0,198.0,8.1,30.5
Tim Perry,28.0,80.0,2336.0,0.435,0.46799999999999997,0.365,0.494,0.58,0.512,0.282,0.32,93.0,97.0,110.0,102.0,79.0,97.0,89.0,273.0,10.5,-22.5
Shawn Bradley,21.0,49.0,1385.0,0.409,0.41200000000000003,0.0,0.409,0.607,0.446,0.342,0.006,88.0,85.0,,84.0,83.0,85.0,108.0,5.0,-74.5,-92.3
Johnny Dawkins,30.0,72.0,1343.0,0.418,0.44,0.35200000000000004,0.462,0.84,0.509,0.23600000000000002,0.248,90.0,91.0,106.0,95.0,114.0,96.0,75.0,212.0,-19.5,-18.0
Jeff Malone,32.0,27.0,903.0,0.48100000000000004,0.478,0.667,0.486,0.8079999999999999,0.527,0.242,0.015,103.0,99.0,200.0,100.0,110.0,100.0,77.0,13.0,0.5,-0.3
Eric Leckner,27.0,71.0,1163.0,0.486,0.489,0.0,0.486,0.6459999999999999,0.527,0.455,0.006999999999999999,104.0,101.0,,100.0,88.0,100.0,144.0,6.0,0.4,-0.3
Greg Graham,23.0,70.0,889.0,0.4,0.429,0.08,0.40299999999999997,0.836,0.478,0.361,0.08199999999999999,86.0,89.0,24.0,83.0,114.0,91.0,114.0,70.0,-50.0,-35.0
Moses Malone,38.0,55.0,618.0,0.44,0.442,0.0,0.44,0.769,0.519,0.504,0.004,94.0,91.0,,91.0,105.0,98.0,160.0,4.0,-21.1,-5.2
Warren Kidd,23.0,68.0,884.0,0.5920000000000001,0.5920000000000001,,0.5920000000000001,0.546,0.597,0.509,0.0,127.0,122.0,,122.0,74.0,113.0,161.0,,36.0,28.7
Sean Green,23.0,35.0,332.0,0.34600000000000003,0.376,0.244,0.374,0.722,0.392,0.099,0.225,74.0,78.0,73.0,77.0,98.0,74.0,31.0,192.0,-40.6,-51.5
Isaac Austin,24.0,14.0,201.0,0.439,0.446,0.0,0.439,0.609,0.473,0.348,0.015,94.0,92.0,,91.0,83.0,90.0,110.0,13.0,-6.1,-8.4
Michael Curry,25.0,10.0,43.0,0.214,0.25,0.0,0.214,0.75,0.285,0.28600000000000003,0.14300000000000002,46.0,52.0,,44.0,102.0,54.0,91.0,122.0,-7.6,-7.6
Manute Bol,31.0,4.0,49.0,0.429,0.429,,0.429,,0.429,0.0,0.0,92.0,89.0,,88.0,,81.0,,,-0.8,-1.4
Bill Edwards,22.0,3.0,44.0,0.111,0.154,0.0,0.111,0.4,0.14800000000000002,0.278,0.278,24.0,32.0,,23.0,54.0,28.0,88.0,237.0,-13.5,-15.3
Team,,,,0.457,0.474,0.34600000000000003,0.48,0.6920000000000001,0.518,0.325,0.132,98.0,98.0,104.0,99.0,94.0,98.0,103.0,113.0,-60.8,-123.4
League Average,,,,0.466,0.483,0.33299999999999996,0.485,0.7340000000000001,0.528,0.316,0.11699999999999999,,,,,,,,,,
