Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004,22,1460,ORL,Orlando Magic,24.0,NBA,C,20.0,4.0,14.5,0.9,3.0,0.29,0.1,0.6,0.08,0.8,2.4,0.34,0.3,0.4,0.8,0.44,0.8,1.5,2.3,0.6,0.4,0.1,0.7,1.4,2.1
2005,12,1460,IND,Indiana Pacers,25.0,NBA,SF,6.0,1.0,14.5,1.0,3.7,0.27,0.0,0.7,0.0,1.0,3.0,0.33,0.27,0.0,0.0,,0.8,0.8,1.7,0.7,0.2,0.0,0.5,1.7,2.0
