PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Caron Butler,22,78,78,2858,5.4,13.0,0.41600000000000004,0.4,1.3,0.318,5.0,11.7,0.42700000000000005,3.9,4.7,0.8240000000000001,1.7,3.3,5.0,2.7,1.7,0.4,2.4,2.9,15.1
Brian Grant,30,82,82,2641,4.7,9.2,0.509,0.0,0.0,,4.7,9.2,0.509,2.2,2.8,0.7709999999999999,3.3,8.1,11.4,1.4,0.9,0.6,1.8,4.1,11.5
Malik Allen,24,80,73,2318,5.2,12.3,0.424,0.0,0.1,0.0,5.2,12.2,0.426,1.5,1.9,0.802,2.1,4.5,6.6,0.8,0.6,1.2,2.0,3.6,11.9
Travis Best,30,72,52,1807,4.6,11.6,0.396,0.7,2.2,0.33,3.9,9.4,0.41100000000000003,2.1,2.5,0.8540000000000001,0.5,2.4,2.9,5.1,0.9,0.1,2.1,3.5,12.0
Eddie Jones,31,47,47,1789,5.9,13.8,0.423,2.0,4.8,0.40700000000000003,3.9,9.0,0.43200000000000005,3.8,4.6,0.8220000000000001,0.7,3.8,4.5,3.5,1.3,0.6,1.7,2.8,17.5
Mike James,27,78,8,1722,4.6,12.2,0.373,1.4,4.8,0.294,3.2,7.5,0.423,2.2,3.0,0.732,0.5,2.6,3.1,5.1,1.3,0.1,2.3,3.7,12.7
Vladimir Stepania,26,79,6,1594,4.2,9.6,0.433,0.0,0.0,,4.2,9.6,0.433,1.6,3.0,0.53,4.8,7.7,12.5,0.5,1.0,0.9,1.6,3.8,10.0
Rasual Butler,23,72,28,1514,4.9,13.6,0.36200000000000004,1.2,4.1,0.292,3.7,9.5,0.392,1.8,2.5,0.731,0.7,3.7,4.4,2.2,0.5,1.0,1.8,2.5,12.8
Eddie House,24,55,7,1025,6.0,15.6,0.387,1.3,4.2,0.3,4.8,11.4,0.42,1.1,1.3,0.861,0.6,3.0,3.5,3.1,1.5,0.0,1.6,2.6,14.4
Anthony Carter,27,49,26,912,3.3,9.2,0.35600000000000004,0.0,0.3,0.0,3.3,8.9,0.369,1.3,2.0,0.66,0.5,2.8,3.3,8.0,1.8,0.2,3.2,2.8,7.9
LaPhonso Ellis,32,55,3,784,4.6,12.0,0.382,1.2,4.9,0.252,3.4,7.1,0.47100000000000003,2.3,3.0,0.758,2.0,5.2,7.2,0.7,0.7,0.7,1.4,4.0,12.7
Sean Lampley,23,35,0,487,4.1,9.5,0.434,0.0,0.3,0.0,4.1,9.2,0.44799999999999995,4.2,6.1,0.695,1.9,4.2,6.1,2.3,0.5,0.2,1.8,3.2,12.5
Sean Marks,27,23,0,223,3.6,9.5,0.373,0.0,0.2,0.0,3.6,9.4,0.379,1.6,2.4,0.667,1.3,4.4,5.7,0.5,0.8,1.0,2.3,6.0,8.7
Ken Johnson,24,16,0,156,3.5,8.5,0.405,0.0,0.0,,3.5,8.5,0.405,0.5,1.4,0.33299999999999996,0.9,6.5,7.4,0.0,0.2,2.8,1.4,4.6,7.4
