Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1985,11,1911,HOU,Houston Rockets,23.0,NBA,SF,5.0,5.0,181.0,19.0,34.0,0.56,0.0,0.0,,19.0,34.0,0.56,0.56,15.0,23.0,0.65,9.0,21.0,30.0,11.0,6.0,1.0,13.0,17.0,53.0,,0.0
1986,11,1911,HOU,Houston Rockets,24.0,NBA,SF,20.0,20.0,835.0,108.0,202.0,0.54,0.0,3.0,0.0,108.0,199.0,0.54,0.54,43.0,58.0,0.74,23.0,95.0,118.0,125.0,18.0,19.0,37.0,45.0,259.0,,0.0
1987,11,1911,HOU,Houston Rockets,25.0,NBA,SF,10.0,10.0,436.0,57.0,101.0,0.56,0.0,2.0,0.0,57.0,99.0,0.58,0.56,43.0,54.0,0.8,32.0,51.0,83.0,56.0,5.0,9.0,26.0,21.0,157.0,,1.0
1988,11,1911,HOU,Houston Rockets,26.0,NBA,SF,4.0,4.0,159.0,12.0,31.0,0.39,0.0,1.0,0.0,12.0,30.0,0.4,0.39,8.0,12.0,0.67,15.0,12.0,27.0,9.0,4.0,3.0,7.0,12.0,32.0,,0.0
1993,5,1911,CHI,Chicago Bulls,31.0,NBA,SF,7.0,0.0,39.0,1.0,6.0,0.17,0.0,0.0,,1.0,6.0,0.17,0.17,0.0,0.0,,2.0,11.0,13.0,5.0,0.0,1.0,4.0,4.0,2.0,,0.0
