PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Julius Randle,25,64,64,2080,8.0,17.4,0.46,1.1,4.0,0.27699999999999997,6.9,13.4,0.515,4.5,6.1,0.733,2.6,8.2,10.8,3.4,0.9,0.4,3.3,3.1,21.6
RJ Barrett,19,56,55,1704,6.2,15.4,0.402,1.3,4.2,0.32,4.8,11.2,0.43200000000000005,3.3,5.4,0.614,1.1,4.8,5.9,3.0,1.2,0.4,2.6,2.6,17.0
Mitchell Robinson,21,61,7,1412,6.5,8.7,0.742,0.0,0.0,,6.5,8.7,0.742,2.1,3.8,0.568,4.7,6.2,10.9,0.9,1.3,3.0,0.9,4.9,15.0
Bobby Portis,24,66,5,1393,6.8,15.2,0.45,1.7,4.8,0.358,5.1,10.4,0.493,1.8,2.4,0.763,2.1,6.7,8.7,2.5,0.8,0.5,1.9,2.8,17.3
Marcus Morris,30,43,43,1387,7.3,16.5,0.442,3.0,6.9,0.439,4.3,9.7,0.444,4.2,5.1,0.823,1.2,4.8,6.0,1.5,0.9,0.4,1.9,3.3,21.8
Elfrid Payton,25,45,36,1246,5.6,12.7,0.439,0.4,2.0,0.203,5.2,10.7,0.48200000000000004,1.4,2.5,0.57,1.5,4.6,6.1,9.3,2.0,0.5,2.8,2.6,13.0
Frank Ntilikina,21,57,26,1187,4.0,10.1,0.39299999999999996,1.3,4.2,0.321,2.6,5.9,0.444,1.5,1.8,0.8640000000000001,0.7,3.0,3.7,5.2,1.6,0.5,2.2,4.3,10.8
Kevin Knox,20,65,4,1166,4.4,12.4,0.359,2.0,6.1,0.327,2.4,6.2,0.391,2.0,3.1,0.653,0.9,4.8,5.7,1.9,0.7,0.9,1.4,3.3,12.9
Taj Gibson,34,62,56,1025,5.9,10.0,0.584,0.1,0.5,0.28600000000000003,5.7,9.6,0.599,1.4,2.0,0.732,3.9,5.5,9.4,1.8,0.9,1.1,1.7,4.3,13.3
Damyean Dotson,25,48,0,836,5.2,12.5,0.414,2.5,7.0,0.36200000000000004,2.6,5.5,0.48,0.9,1.4,0.667,0.4,3.5,3.9,2.5,1.0,0.2,0.9,1.9,13.8
Reggie Bullock,28,29,19,684,4.7,11.8,0.402,1.9,5.8,0.33299999999999996,2.8,5.9,0.469,0.9,1.1,0.81,0.7,2.9,3.6,2.2,1.3,0.2,1.0,2.9,12.3
Wayne Ellington,32,36,1,558,3.9,11.2,0.35100000000000003,3.2,9.2,0.35,0.7,2.0,0.355,0.7,0.8,0.846,0.3,3.9,4.2,2.8,0.8,0.3,1.2,2.6,11.8
Dennis Smith,22,34,3,537,4.8,14.1,0.341,1.1,3.6,0.29600000000000004,3.8,10.5,0.35700000000000004,1.8,3.6,0.509,1.4,3.8,5.2,6.6,1.9,0.5,3.9,4.4,12.5
Allonzo Trier,24,24,1,291,6.3,13.1,0.48100000000000004,2.4,6.6,0.358,4.0,6.6,0.604,4.2,5.3,0.7909999999999999,0.7,2.8,3.6,3.5,0.4,0.5,2.7,3.6,19.2
Maurice Harkless,26,12,10,286,3.8,8.3,0.455,0.9,3.1,0.28,2.9,5.2,0.561,1.9,3.0,0.625,1.0,4.0,5.0,2.5,1.1,0.4,0.9,3.5,10.3
Kadeem Allen,27,10,0,117,5.8,13.5,0.43200000000000005,1.5,4.9,0.313,4.3,8.6,0.5,2.2,3.4,0.636,0.6,2.2,2.8,6.5,1.5,0.6,2.5,2.2,15.4
Ignas Brazdeikis,21,9,0,53,4.1,14.9,0.273,0.7,6.1,0.111,3.4,8.8,0.385,2.7,3.4,0.8,1.4,2.0,3.4,2.7,0.0,0.7,1.4,2.0,11.5
