PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Devonte' Graham,24,63,53,2211,6.0,15.7,0.382,3.5,9.5,0.373,2.4,6.2,0.397,3.1,3.8,0.82,0.7,2.8,3.5,7.7,1.0,0.2,2.9,1.9,18.6
Terry Rozier,25,63,63,2164,6.6,15.7,0.423,2.9,7.0,0.40700000000000003,3.8,8.6,0.436,2.8,3.2,0.8740000000000001,0.8,3.8,4.6,4.3,1.0,0.2,2.3,2.1,18.9
Miles Bridges,21,65,64,1995,5.8,13.6,0.424,1.8,5.4,0.33,4.0,8.2,0.486,1.9,2.4,0.809,1.6,4.9,6.5,2.1,0.7,0.9,1.7,2.4,15.2
P.J. Washington,21,58,57,1759,5.5,12.1,0.455,1.8,4.7,0.374,3.7,7.3,0.507,1.8,2.8,0.647,1.2,5.3,6.5,2.5,1.0,0.9,1.9,3.2,14.5
Cody Zeller,27,58,39,1341,6.7,12.9,0.524,0.5,2.0,0.24,6.3,10.8,0.5770000000000001,3.3,4.8,0.682,4.3,6.7,11.0,2.4,1.1,0.7,2.0,3.8,17.2
Malik Monk,21,55,1,1169,6.5,15.0,0.434,1.8,6.3,0.284,4.7,8.7,0.542,2.5,3.1,0.82,0.8,4.0,4.8,3.5,0.8,0.5,2.4,2.3,17.4
Bismack Biyombo,27,53,29,1029,5.3,9.7,0.5429999999999999,0.0,0.0,,5.3,9.7,0.5429999999999999,3.2,5.3,0.603,4.2,6.6,10.8,1.7,0.3,1.7,1.7,4.1,13.7
Cody Martin,24,48,3,903,3.5,8.3,0.43,0.7,3.1,0.23399999999999999,2.8,5.2,0.546,1.7,2.6,0.6459999999999999,1.5,4.8,6.3,3.8,1.6,0.4,1.8,3.1,9.5
Marvin Williams,33,41,1,808,4.2,9.4,0.44799999999999995,2.0,5.2,0.376,2.2,4.1,0.5379999999999999,1.9,2.2,0.86,0.7,4.2,4.9,1.8,1.2,1.0,1.1,3.2,12.3
Dwayne Bacon,24,39,11,687,4.5,12.8,0.348,1.0,3.5,0.284,3.5,9.3,0.373,1.8,2.8,0.66,0.8,4.5,5.2,2.7,1.2,0.1,1.9,2.7,11.7
Nicolas Batum,31,22,3,505,2.0,5.8,0.34600000000000003,1.0,3.5,0.28600000000000003,1.0,2.3,0.43799999999999994,0.6,0.7,0.9,1.8,5.3,7.1,4.7,1.2,0.6,1.6,2.9,5.6
Willy Hernangómez,25,31,0,375,7.1,13.3,0.532,0.5,2.1,0.22699999999999998,6.6,11.2,0.59,3.6,5.7,0.627,4.1,8.7,12.9,2.8,1.0,0.7,2.9,3.1,18.2
Caleb Martin,24,18,1,317,4.2,9.5,0.44,2.3,4.2,0.541,1.9,5.3,0.36200000000000004,1.9,2.4,0.81,1.1,3.2,4.3,2.6,1.4,0.8,1.7,3.6,12.6
Jalen McDaniels,22,16,0,293,4.1,8.6,0.47100000000000003,1.1,2.9,0.375,2.9,5.7,0.522,1.7,2.1,0.8240000000000001,1.8,6.1,8.0,1.6,1.0,0.4,1.4,4.4,10.9
Michael Kidd-Gilchrist,26,12,0,160,4.1,11.9,0.34,1.1,3.8,0.294,2.9,8.1,0.361,1.6,2.0,0.778,2.0,5.9,7.9,2.3,0.0,0.7,1.6,4.1,10.8
Joe Chealey,24,4,0,33,0.0,7.6,0.0,0.0,4.4,0.0,0.0,3.3,0.0,2.2,2.2,1.0,0.0,0.0,0.0,1.1,4.4,0.0,2.2,2.2,2.2
