SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1996,25,POR,Rod Strickland,29,5,5,40.4,7.4,16.8,0.44,1.2,2.4,0.5,6.2,14.4,0.43,0.48,4.6,7.2,0.64,2.4,3.8,6.2,8.4,1.0,0.0,2.4,2.8,20.6
1996,25,POR,Clifford Robinson,29,5,5,36.2,4.2,12.2,0.34,1.2,4.6,0.26,3.0,7.6,0.4,0.39,5.6,7.4,0.76,0.8,2.8,3.6,1.6,1.4,1.0,3.2,3.8,15.2
1996,25,POR,Arvydas Sabonis,31,5,5,35.4,7.0,16.2,0.43,1.0,1.8,0.56,6.0,14.4,0.42,0.46,8.6,12.0,0.72,2.4,7.8,10.2,1.8,0.8,0.6,2.0,3.4,23.6
1996,25,POR,Harvey Grant,30,5,5,32.8,2.6,7.6,0.34,0.2,1.4,0.14,2.4,6.2,0.39,0.36,0.0,0.8,0.0,1.0,3.0,4.0,0.8,0.0,0.4,0.6,3.2,5.4
1996,25,POR,Aaron McKie,23,5,4,26.8,2.2,6.0,0.37,0.4,1.6,0.25,1.8,4.4,0.41,0.4,1.4,1.8,0.78,0.8,2.8,3.6,1.8,1.2,0.4,1.8,2.6,6.2
1996,25,POR,Buck Williams,35,5,1,26.6,1.8,4.6,0.39,0.2,0.4,0.5,1.6,4.2,0.38,0.41,1.0,1.4,0.71,2.6,2.4,5.0,0.2,0.2,0.8,1.0,3.6,4.8
1996,25,POR,Chris Dudley,30,5,0,18.4,1.0,2.6,0.38,0.0,0.0,,1.0,2.6,0.38,0.38,0.8,1.2,0.67,1.8,3.6,5.4,0.2,0.4,0.4,0.8,3.6,2.8
1996,25,POR,James Robinson,25,2,0,13.0,1.5,5.0,0.3,1.0,3.0,0.33,0.5,2.0,0.25,0.4,0.0,0.0,,0.0,0.5,0.5,1.5,0.5,0.5,1.5,2.0,4.0
1996,25,POR,Dontonio Wingfield,21,5,0,12.4,1.6,4.2,0.38,1.2,2.0,0.6,0.4,2.2,0.18,0.52,0.4,1.2,0.33,2.0,0.8,2.8,0.8,0.0,0.0,0.6,2.0,4.8
1996,25,POR,Rumeal Robinson,29,5,0,8.6,1.6,3.8,0.42,0.8,1.8,0.44,0.8,2.0,0.4,0.53,0.2,0.8,0.25,0.0,0.4,0.4,0.6,0.6,0.0,0.6,1.6,4.2
1996,25,POR,Gary Trent,21,2,0,5.0,0.5,2.0,0.25,0.0,0.0,,0.5,2.0,0.25,0.25,0.0,0.0,,0.0,0.5,0.5,0.0,0.5,0.0,0.0,1.5,1.0
1996,25,POR,Elmore Spencer,26,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
