PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Tim Hardaway,29,3,3,36.7,6.7,14.3,0.465,2.7,7.3,0.364,4.0,7.0,0.5710000000000001,0.5579999999999999,1.7,2.3,0.7140000000000001,0.3,1.3,1.7,5.7,1.0,0.0,5.0,3.3,17.7
Alonzo Mourning,25,3,3,30.7,5.7,11.7,0.486,0.0,0.0,,5.7,11.7,0.486,0.486,6.7,9.3,0.7140000000000001,1.0,5.0,6.0,1.3,0.7,1.0,5.3,4.3,18.0
Rex Chapman,28,3,3,29.3,4.0,9.3,0.429,1.0,4.3,0.231,3.0,5.0,0.6,0.48200000000000004,0.0,0.0,,0.0,2.0,2.0,1.7,1.0,0.0,0.3,2.0,9.0
Walt Williams,25,3,3,23.3,2.0,6.0,0.33299999999999996,0.3,3.0,0.111,1.7,3.0,0.556,0.361,0.3,0.7,0.5,1.0,3.0,4.0,1.7,0.3,0.3,1.0,1.3,4.7
Chris Gatling,28,3,0,22.7,2.0,7.3,0.273,0.0,0.0,,2.0,7.3,0.273,0.273,2.0,4.0,0.5,3.3,4.7,8.0,0.3,0.7,0.0,2.7,2.7,6.0
Tony Smith,27,3,0,20.3,3.0,6.3,0.474,1.3,3.3,0.4,1.7,3.0,0.556,0.579,0.0,0.0,,1.0,0.3,1.3,2.7,1.3,0.0,1.0,2.3,7.3
Sasha Danilović,25,3,0,20.0,3.0,6.0,0.5,1.3,3.3,0.4,1.7,2.7,0.625,0.611,1.0,1.0,1.0,0.3,0.0,0.3,1.3,0.3,0.0,1.0,2.7,8.3
Kurt Thomas,23,3,3,20.0,1.3,3.3,0.4,0.0,0.0,,1.3,3.3,0.4,0.4,1.3,1.3,1.0,1.3,4.0,5.3,1.0,0.7,0.3,1.7,4.3,4.0
Tyrone Corbin,33,2,0,17.0,0.5,2.5,0.2,0.0,0.0,,0.5,2.5,0.2,0.2,1.5,2.0,0.75,2.0,1.5,3.5,0.5,1.0,0.0,0.5,1.5,2.5
Keith Askins,28,3,0,16.0,1.3,3.7,0.364,0.7,2.0,0.33299999999999996,0.7,1.7,0.4,0.455,1.0,1.0,1.0,1.0,1.7,2.7,0.7,0.3,0.0,1.3,3.0,4.3
Stacey King,29,1,0,12.0,0.0,3.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0
Danny Schayes,36,2,0,8.5,1.5,2.0,0.75,0.0,0.0,,1.5,2.0,0.75,0.75,0.5,1.0,0.5,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.5,3.5
