Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994,7.0,1865,DAL,Dallas Mavericks,Jamal Mashburn,"November 29, 1972",21.0,NBA,SF,79,73,36.7,7.1,17.5,0.406,1.1,3.8,0.284,6.0,13.7,0.44,0.437,3.9,5.5,0.699,1.4,3.1,4.5,3.4,1.1,0.2,3.1,2.6,19.2
1995,7.0,1865,DAL,Dallas Mavericks,Jamal Mashburn,"November 29, 1972",22.0,NBA,SF,80,80,37.3,8.5,19.6,0.436,1.4,4.3,0.328,7.1,15.3,0.466,0.472,5.6,7.6,0.739,1.5,2.7,4.1,3.7,1.0,0.1,2.9,2.4,24.1
1996,7.0,1865,DAL,Dallas Mavericks,Jamal Mashburn,"November 29, 1972",23.0,NBA,SF,18,18,37.2,8.1,21.3,0.379,1.9,5.7,0.343,6.1,15.6,0.391,0.424,5.4,7.4,0.729,2.1,3.3,5.4,2.8,0.8,0.2,3.1,2.2,23.4
1997,31.0,1865,TOT,Total After Trade,Jamal Mashburn,"November 29, 1972",24.0,NBA,SF,69,51,31.4,4.1,10.8,0.385,1.3,4.0,0.325,2.8,6.8,0.421,0.445,2.3,3.3,0.702,1.0,3.3,4.3,3.0,1.1,0.2,1.7,2.7,11.9
1997,7.0,1865,DAL,Dallas Mavericks,Jamal Mashburn,"November 29, 1972",24.0,NBA,SF,37,21,26.4,3.8,10.2,0.372,1.1,3.5,0.321,2.6,6.6,0.4,0.428,1.9,3.0,0.649,0.8,2.4,3.1,2.5,0.9,0.1,1.5,1.9,10.6
1997,16.0,1865,MIA,Miami Heat,Jamal Mashburn,"November 29, 1972",24.0,NBA,SF,32,30,37.2,4.6,11.5,0.398,1.5,4.6,0.329,3.1,6.9,0.443,0.463,2.8,3.7,0.752,1.3,4.3,5.6,3.5,1.3,0.2,1.8,3.7,13.4
1998,16.0,1865,MIA,Miami Heat,Jamal Mashburn,"November 29, 1972",25.0,NBA,SF,48,48,36.0,5.2,12.0,0.435,0.8,2.5,0.303,4.5,9.5,0.47,0.467,3.8,4.8,0.797,1.5,3.4,4.9,2.8,0.9,0.3,2.3,2.9,15.1
1999,16.0,1865,MIA,Miami Heat,Jamal Mashburn,"November 29, 1972",26.0,NBA,SF,24,23,35.6,5.6,12.4,0.451,0.5,1.3,0.433,5.0,11.1,0.453,0.473,3.1,4.3,0.721,1.0,5.1,6.1,3.1,0.8,0.1,2.5,2.4,14.8
2000,16.0,1865,MIA,Miami Heat,Jamal Mashburn,"November 29, 1972",27.0,NBA,SF,76,76,37.2,6.8,15.2,0.445,1.5,3.7,0.403,5.3,11.6,0.458,0.493,2.4,3.1,0.778,0.8,4.2,5.0,3.9,1.0,0.2,2.4,2.8,17.5
2001,4.0,1865,CHO,Charlotte Hornets,Jamal Mashburn,"November 29, 1972",28.0,NBA,SF,76,76,39.3,7.5,18.3,0.413,1.4,3.8,0.356,6.2,14.5,0.428,0.45,3.7,4.8,0.766,1.2,6.4,7.6,5.4,1.1,0.2,2.8,2.4,20.1
2002,4.0,1865,CHO,Charlotte Hornets,Jamal Mashburn,"November 29, 1972",29.0,NBA,SF,40,40,40.0,7.6,18.6,0.407,1.0,2.8,0.366,6.6,15.8,0.415,0.435,5.3,6.0,0.876,0.8,5.3,6.1,4.3,1.1,0.2,2.8,2.0,21.5
2003,19.0,1865,NOH,New Orleans Hornets,Jamal Mashburn,"November 29, 1972",30.0,NBA,SF,82,81,40.5,8.2,19.3,0.422,1.5,3.7,0.389,6.7,15.6,0.43,0.46,3.8,4.5,0.848,0.8,5.3,6.1,5.6,1.0,0.2,2.8,2.4,21.6
2004,19.0,1865,NOH,New Orleans Hornets,Jamal Mashburn,"November 29, 1972",31.0,NBA,SF,19,18,38.4,8.2,20.9,0.392,1.0,3.5,0.284,7.2,17.4,0.414,0.416,3.4,4.2,0.813,1.0,5.2,6.2,2.5,0.7,0.3,1.9,2.2,20.8
