PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Richard Hamilton,26,25,25,43.2,7.9,17.5,0.45299999999999996,0.4,1.4,0.294,7.5,16.1,0.467,0.465,3.8,4.8,0.7979999999999999,1.2,3.1,4.3,4.3,0.8,0.1,3.1,3.2,20.0
Tayshaun Prince,24,25,25,40.9,5.3,12.3,0.433,0.9,2.4,0.36700000000000005,4.4,9.9,0.449,0.469,1.9,2.4,0.8,2.2,4.1,6.3,3.3,1.0,0.4,1.5,2.0,13.4
Chauncey Billups,28,25,25,39.4,5.8,13.6,0.428,1.8,5.0,0.349,4.0,8.5,0.474,0.493,5.3,6.0,0.893,0.9,3.4,4.3,6.5,1.0,0.2,2.0,2.8,18.7
Ben Wallace,30,25,25,39.2,4.1,8.5,0.48100000000000004,0.0,0.2,0.0,4.1,8.3,0.49,0.48100000000000004,1.9,4.1,0.461,3.8,7.5,11.3,1.0,1.7,2.4,1.2,2.6,10.0
Rasheed Wallace,30,25,25,33.0,5.4,12.4,0.439,1.2,3.4,0.337,4.3,9.0,0.478,0.485,1.6,2.2,0.741,1.6,5.4,6.9,1.3,1.0,1.8,1.5,3.8,13.6
Antonio McDyess,30,25,0,19.8,3.5,7.2,0.486,0.0,0.0,,3.5,7.2,0.486,0.486,1.0,1.4,0.6940000000000001,1.8,4.0,5.9,0.8,0.6,0.9,1.0,3.1,8.0
Lindsey Hunter,34,25,0,15.0,1.4,4.5,0.319,0.3,1.4,0.222,1.1,3.1,0.364,0.354,0.6,0.9,0.727,0.4,1.2,1.6,1.6,0.9,0.3,0.6,1.8,3.8
Carlos Arroyo,25,19,0,7.9,0.8,2.4,0.35600000000000004,0.0,0.1,0.0,0.8,2.3,0.364,0.35600000000000004,0.4,0.6,0.667,0.1,0.5,0.5,2.1,0.2,0.1,0.5,1.0,2.1
Elden Campbell,36,10,0,5.7,0.4,1.3,0.308,0.0,0.0,,0.4,1.3,0.308,0.308,0.4,0.8,0.5,0.3,1.5,1.8,0.5,0.2,0.0,0.4,1.3,1.2
Ronald Dupree,24,14,0,2.7,0.1,0.5,0.28600000000000003,0.0,0.0,,0.1,0.5,0.28600000000000003,0.28600000000000003,0.0,0.0,,0.1,0.3,0.4,0.0,0.0,0.0,0.1,0.4,0.3
Darko Miličić,19,9,0,2.3,0.2,0.8,0.28600000000000003,0.0,0.0,,0.2,0.8,0.28600000000000003,0.28600000000000003,0.1,0.1,1.0,0.1,0.3,0.4,0.1,0.0,0.1,0.1,0.3,0.6
Darvin Ham,31,14,0,1.7,0.1,0.2,0.33299999999999996,0.0,0.0,,0.1,0.2,0.33299999999999996,0.33299999999999996,0.1,0.1,1.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.3
