PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Tracy McGrady,23,7,7,44.0,10.6,23.6,0.44799999999999995,2.3,6.7,0.34,8.3,16.9,0.49200000000000005,0.49700000000000005,8.3,10.7,0.773,1.4,5.3,6.7,4.7,2.0,0.9,3.7,2.3,31.7
Drew Gooden,21,7,7,33.4,5.1,12.9,0.4,0.0,0.4,0.0,5.1,12.4,0.414,0.4,3.7,5.1,0.722,4.0,8.7,12.7,0.6,0.4,0.9,1.7,3.3,14.0
Darrell Armstrong,34,7,1,32.3,2.9,6.3,0.455,0.9,2.6,0.33299999999999996,2.0,3.7,0.5379999999999999,0.523,2.9,3.1,0.909,1.0,1.4,2.4,3.7,0.9,0.0,2.4,3.1,9.4
Gordan Giriček,25,7,7,31.9,3.7,8.0,0.46399999999999997,0.7,2.1,0.33299999999999996,3.0,5.9,0.512,0.509,1.3,1.6,0.818,0.6,2.6,3.1,1.0,0.3,0.1,1.9,3.9,9.4
Pat Garrity,26,7,1,23.3,1.4,5.0,0.28600000000000003,0.6,2.4,0.235,0.9,2.6,0.33299999999999996,0.34299999999999997,0.6,0.6,1.0,0.6,2.0,2.6,0.7,0.3,0.4,0.7,3.4,4.0
Jacque Vaughn,27,7,6,18.7,1.7,4.7,0.364,0.0,0.1,0.0,1.7,4.6,0.375,0.364,1.4,1.9,0.769,0.1,0.7,0.9,3.6,0.6,0.1,1.3,2.6,4.9
Chris Whitney,31,7,0,15.9,1.1,3.0,0.381,0.6,1.3,0.444,0.6,1.7,0.33299999999999996,0.47600000000000003,0.3,0.3,1.0,0.4,1.1,1.6,1.0,0.3,0.3,0.3,3.0,3.1
Andrew DeClercq,29,7,6,14.9,1.7,2.9,0.6,0.0,0.0,,1.7,2.9,0.6,0.6,0.6,0.7,0.8,1.1,2.1,3.3,0.3,0.3,0.7,1.3,3.6,4.0
Shawn Kemp,33,7,0,10.3,1.1,3.0,0.381,0.0,0.0,,1.1,3.0,0.381,0.381,0.7,0.9,0.833,0.1,2.0,2.1,0.0,0.0,0.0,0.6,1.9,3.0
Pat Burke,29,6,0,7.2,1.0,1.7,0.6,0.0,0.0,,1.0,1.7,0.6,0.6,0.8,1.0,0.833,0.2,1.7,1.8,0.2,0.2,0.0,0.7,1.5,2.8
Steven Hunter,21,7,0,5.7,0.4,1.4,0.3,0.0,0.0,,0.4,1.4,0.3,0.3,0.0,0.4,0.0,0.1,0.3,0.4,0.1,0.0,0.4,0.1,1.4,0.9
Jeryl Sasser,23,6,0,4.2,0.3,1.2,0.28600000000000003,0.2,0.7,0.25,0.2,0.5,0.33299999999999996,0.35700000000000004,0.0,0.0,,0.2,0.7,0.8,0.2,0.2,0.2,0.2,0.2,0.8
