PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Tobias Harris,20,27,20,36.1,6.7,14.7,0.45299999999999996,1.0,3.2,0.31,5.7,11.5,0.494,0.48700000000000004,3.0,4.1,0.721,2.1,6.4,8.5,2.1,0.9,1.4,1.8,3.3,17.3
Arron Afflalo,27,64,64,36.0,6.2,14.1,0.439,1.1,3.8,0.3,5.1,10.4,0.489,0.478,3.0,3.5,0.857,0.5,3.3,3.7,3.2,0.6,0.2,2.2,2.1,16.5
Jameer Nelson,30,56,56,35.3,5.5,13.9,0.392,2.2,6.3,0.341,3.3,7.6,0.435,0.47,1.6,1.8,0.873,0.4,3.3,3.7,7.4,1.3,0.1,2.8,2.9,14.7
Nikola Vučević,22,77,77,33.2,6.0,11.5,0.519,0.0,0.0,0.0,6.0,11.5,0.52,0.519,1.1,1.6,0.6829999999999999,3.5,8.4,11.9,1.9,0.8,1.0,1.8,2.8,13.1
J.J. Redick,28,50,11,31.5,5.2,11.6,0.45,2.3,6.0,0.39,2.9,5.6,0.514,0.551,2.3,2.6,0.8909999999999999,0.2,2.2,2.4,4.4,0.6,0.1,2.1,1.4,15.1
Glen Davis,27,34,33,31.3,6.3,14.1,0.44799999999999995,0.0,0.1,0.0,6.3,14.0,0.45,0.44799999999999995,2.5,3.4,0.718,1.6,5.6,7.2,2.1,0.9,0.6,1.9,2.6,15.1
Beno Udrih,30,27,9,27.3,3.6,8.8,0.408,0.8,2.0,0.396,2.8,6.9,0.41100000000000003,0.452,2.2,2.6,0.857,0.6,1.7,2.3,6.1,0.9,0.0,2.0,1.9,10.2
Maurice Harkless,19,76,59,26.0,3.4,7.4,0.461,0.4,1.5,0.27399999999999997,3.0,5.9,0.51,0.489,1.0,1.7,0.57,1.6,2.8,4.4,0.7,1.2,0.8,0.9,1.9,8.2
E'Twaun Moore,23,75,21,22.4,3.2,8.0,0.396,0.9,2.6,0.34,2.3,5.3,0.424,0.452,0.6,0.8,0.797,0.6,1.6,2.2,2.7,0.7,0.3,1.4,1.6,7.8
Hedo Türkoğlu,33,11,1,17.2,1.3,4.8,0.264,0.1,2.2,0.042,1.2,2.6,0.44799999999999995,0.27399999999999997,0.3,0.5,0.5,0.4,2.0,2.4,2.1,0.6,0.1,1.1,1.0,2.9
Josh McRoberts,25,41,3,16.7,1.5,3.7,0.392,0.4,1.3,0.309,1.0,2.4,0.439,0.44799999999999995,0.5,0.7,0.733,1.0,2.3,3.3,1.7,0.2,0.3,0.7,1.6,3.9
Andrew Nicholson,23,75,28,16.7,3.4,6.5,0.527,0.0,0.0,,3.4,6.5,0.527,0.527,1.0,1.3,0.7979999999999999,0.9,2.5,3.4,0.6,0.3,0.4,1.1,1.8,7.8
Gustavo Ayón,27,43,3,13.3,1.6,2.9,0.536,0.0,0.0,,1.6,2.9,0.536,0.536,0.4,0.9,0.5,0.9,2.3,3.3,1.4,0.3,0.3,0.9,1.9,3.6
DeQuan Jones,22,63,17,12.7,1.5,3.5,0.436,0.1,0.6,0.257,1.4,2.9,0.47,0.456,0.5,0.8,0.667,0.3,1.4,1.7,0.3,0.3,0.3,0.5,0.9,3.7
Doron Lamb,21,24,0,12.4,1.1,2.8,0.397,0.4,0.9,0.47600000000000003,0.7,2.0,0.36200000000000004,0.47100000000000003,0.5,0.8,0.632,0.2,1.0,1.2,0.5,0.3,0.0,0.4,1.0,3.2
Al Harrington,32,10,0,11.9,2.0,5.7,0.35100000000000003,0.8,3.0,0.267,1.2,2.7,0.444,0.42100000000000004,0.3,0.4,0.75,0.6,2.1,2.7,1.0,0.4,0.1,0.7,1.8,5.1
Kyle O'Quinn,22,57,5,11.2,1.8,3.5,0.513,0.0,0.0,0.0,1.8,3.4,0.515,0.513,0.5,0.8,0.667,1.1,2.5,3.7,0.9,0.2,0.5,0.6,1.9,4.1
Ish Smith,24,36,3,10.5,1.1,3.2,0.336,0.1,0.5,0.235,1.0,2.8,0.354,0.353,0.1,0.2,0.429,0.3,1.0,1.3,1.6,0.4,0.2,0.8,0.4,2.4
