Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1996-97,22.0,WSB,NBA,PF,34.0,0.0,197.0,16.0,46.0,0.348,0.0,0.0,,16.0,46.0,0.348,0.348,6.0,20.0,0.3,25.0,33.0,58.0,2.0,8.0,11.0,18.0,27.0,38.0,,0.0
1997-98,23.0,WAS,NBA,C,67.0,16.0,1124.0,85.0,164.0,0.518,0.0,0.0,,85.0,164.0,0.518,0.518,35.0,98.0,0.357,112.0,212.0,324.0,18.0,61.0,72.0,28.0,116.0,205.0,,0.0
1998-99,24.0,WAS,NBA,C,46.0,16.0,1231.0,115.0,199.0,0.578,0.0,0.0,,115.0,199.0,0.578,0.578,47.0,132.0,0.356,137.0,247.0,384.0,18.0,50.0,90.0,36.0,111.0,277.0,,0.0
1999-00,25.0,ORL,NBA,PF,81.0,81.0,1959.0,168.0,334.0,0.503,0.0,0.0,,168.0,334.0,0.503,0.503,54.0,114.0,0.474,211.0,454.0,665.0,67.0,72.0,130.0,67.0,162.0,390.0,,0.0
2000-01,26.0,DET,NBA,C,80.0,80.0,2760.0,215.0,439.0,0.49,1.0,4.0,0.25,214.0,435.0,0.492,0.491,80.0,238.0,0.336,303.0,749.0,1052.0,123.0,107.0,186.0,117.0,192.0,511.0,,0.0
2001-02,27.0,DET,NBA,C,80.0,80.0,2921.0,255.0,480.0,0.531,0.0,3.0,0.0,255.0,477.0,0.535,0.531,99.0,234.0,0.423,318.0,721.0,1039.0,115.0,138.0,278.0,70.0,178.0,609.0,,1.0
2002-03,28.0,DET,NBA,C,73.0,73.0,2873.0,210.0,437.0,0.481,1.0,6.0,0.167,209.0,431.0,0.485,0.482,85.0,189.0,0.45,293.0,833.0,1126.0,120.0,104.0,230.0,88.0,179.0,506.0,,1.0
2003-04,29.0,DET,NBA,C,81.0,81.0,3050.0,315.0,748.0,0.421,1.0,8.0,0.125,314.0,740.0,0.424,0.422,142.0,290.0,0.49,324.0,682.0,1006.0,138.0,143.0,246.0,123.0,162.0,773.0,,0.0
2004-05,30.0,DET,NBA,C,74.0,74.0,2671.0,295.0,651.0,0.453,1.0,9.0,0.111,294.0,642.0,0.458,0.454,130.0,304.0,0.428,292.0,610.0,902.0,123.0,106.0,176.0,82.0,159.0,721.0,,0.0
2005-06,31.0,DET,NBA,C,82.0,82.0,2890.0,237.0,465.0,0.51,0.0,4.0,0.0,237.0,461.0,0.514,0.51,123.0,296.0,0.416,301.0,622.0,923.0,158.0,146.0,181.0,88.0,164.0,597.0,,0.0
2006-07,32.0,CHI,NBA,C,77.0,77.0,2697.0,192.0,424.0,0.453,1.0,5.0,0.2,191.0,419.0,0.456,0.454,109.0,267.0,0.408,303.0,518.0,821.0,186.0,111.0,156.0,101.0,153.0,494.0,,0.0
2007-08,33.0,TOT,NBA,"C,PF",72.0,72.0,2205.0,138.0,352.0,0.392,0.0,4.0,0.0,138.0,348.0,0.397,0.392,72.0,169.0,0.426,234.0,370.0,604.0,105.0,88.0,117.0,67.0,121.0,348.0,,0.0
2007-08,33.0,CHI,NBA,C,50.0,50.0,1627.0,101.0,271.0,0.373,0.0,4.0,0.0,101.0,267.0,0.378,0.373,53.0,125.0,0.424,175.0,266.0,441.0,92.0,69.0,80.0,49.0,86.0,255.0,,0.0
2007-08,33.0,CLE,NBA,PF,22.0,22.0,578.0,37.0,81.0,0.457,0.0,0.0,,37.0,81.0,0.457,0.457,19.0,44.0,0.432,59.0,104.0,163.0,13.0,19.0,37.0,18.0,35.0,93.0,,0.0
2008-09,34.0,CLE,NBA,PF,56.0,53.0,1314.0,69.0,155.0,0.445,0.0,0.0,,69.0,155.0,0.445,0.445,27.0,64.0,0.422,136.0,226.0,362.0,44.0,48.0,75.0,34.0,82.0,165.0,,0.0
2009-10,35.0,DET,NBA,C,69.0,67.0,1975.0,158.0,292.0,0.541,0.0,2.0,0.0,158.0,290.0,0.545,0.541,65.0,160.0,0.406,245.0,352.0,597.0,105.0,86.0,84.0,64.0,131.0,381.0,,0.0
2010-11,36.0,DET,NBA,C,54.0,49.0,1238.0,67.0,149.0,0.45,1.0,2.0,0.5,66.0,147.0,0.449,0.453,19.0,57.0,0.333,129.0,221.0,350.0,72.0,54.0,54.0,44.0,81.0,154.0,,0.0
2011-12,37.0,DET,NBA,C,62.0,11.0,980.0,34.0,86.0,0.395,1.0,4.0,0.25,33.0,82.0,0.402,0.401,16.0,47.0,0.34,81.0,188.0,269.0,43.0,47.0,51.0,34.0,60.0,85.0,,0.0
