Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1980,25,804,POR,Portland Trail Blazers,24.0,NBA,SG,3.0,,24.0,4.3,17.0,0.25,0.0,0.0,,4.3,17.0,0.25,4.3,4.3,1.0,2.1,6.4,8.5,8.5,2.1,0.0,2.1,6.4,12.8,,91.0,108.0
1982,8,804,DEN,Denver Nuggets,26.0,NBA,SG,3.0,,81.0,3.4,7.3,0.46,0.0,0.0,,3.4,7.3,0.46,3.9,4.5,0.88,5.6,4.5,10.1,5.6,4.5,0.6,2.8,6.2,10.6,,119.0,109.0
1983,8,804,DEN,Denver Nuggets,27.0,NBA,SG,8.0,,300.0,2.6,6.0,0.44,0.0,0.0,,2.6,6.0,0.44,0.7,1.2,0.62,3.9,7.4,11.4,2.9,1.8,0.4,2.0,3.1,6.0,,98.0,109.0
1984,8,804,DEN,Denver Nuggets,28.0,NBA,SG,5.0,,178.0,3.6,6.4,0.56,0.0,0.0,,3.6,6.4,0.56,1.3,1.8,0.71,5.1,4.8,9.9,2.0,2.5,1.0,2.0,4.8,8.4,,117.0,114.0
1985,8,804,DEN,Denver Nuggets,29.0,NBA,SG,15.0,15.0,371.0,3.2,7.7,0.42,0.0,0.0,,3.2,7.7,0.42,1.7,2.3,0.74,3.2,3.9,7.1,4.1,2.9,0.4,1.2,5.4,8.1,,112.0,109.0
1986,8,804,DEN,Denver Nuggets,30.0,NBA,SG,10.0,10.0,276.0,3.4,7.8,0.44,0.0,0.0,,3.4,7.8,0.44,1.5,2.4,0.64,3.7,5.3,9.0,2.2,2.7,0.0,0.5,5.8,8.3,,117.0,109.0
1987,8,804,DEN,Denver Nuggets,31.0,NBA,SG,3.0,0.0,22.0,2.0,8.0,0.25,0.0,0.0,,2.0,8.0,0.25,0.0,0.0,,2.0,4.0,6.0,4.0,2.0,2.0,2.0,6.0,4.0,,67.0,124.0
1988,8,804,DEN,Denver Nuggets,32.0,NBA,SG,11.0,3.0,185.0,2.9,5.2,0.55,0.0,0.0,,2.9,5.2,0.55,1.0,2.1,0.5,2.9,4.7,7.6,0.8,2.1,0.0,1.0,5.2,6.8,,113.0,114.0
1989,24,804,PHO,Phoenix Suns,33.0,NBA,SG,8.0,0.0,79.0,1.7,4.1,0.43,0.0,0.0,,1.7,4.1,0.43,0.6,1.2,0.5,4.1,4.7,8.7,0.6,2.9,0.0,1.2,6.4,4.1,,104.0,106.0
1990,8,804,DEN,Denver Nuggets,34.0,NBA,SF,3.0,0.0,31.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.4,8.5,10.0,2.8,5.7,1.4,1.4,4.3,0.0,,88.0,106.0
